median,mean,std,rxns
0,0.0167105811058769,0.124594992195577,r_3650_REV
0,0.0167140256206121,0.124594531069973,r_3651
0,0,0,r_3651_REV
0,0,0,r_3652
0,0.0167140256206121,0.124594531069973,r_3652_REV
0,0,0,r_3653
0,8.70651363619707e-05,0.00120162526994189,r_3653_REV
0,0,0,r_3658
0,0,0,r_3658_REV
0,0,0,r_3660
0,0,0,r_3660_REV
0,0.0135687952505043,0.112398846533071,r_3662
0,0,0,r_3662_REV
0,0,0,r_3663
0,0.0135687952505043,0.112398846533071,r_3663_REV
0,0,0,r_3664
0,0.0135629717371652,0.112399389224721,r_3664_REV
0,0,0,r_3665
0,0,0,r_3665_REV
0,0.0135629717371652,0.112399389224721,r_3666
0,0,0,r_3666_REV
0,0,0,r_3667
0,0.0135629717371652,0.112399389224721,r_3667_REV
1.88636419753086e-05,0.00642329151570912,0.0632286153512535,r_3668
0,0,0,r_3668_REV
0,0,0,r_3669
0.000186982014910615,0.000484243486271887,0.00210306882361562,r_3669_REV
0,0,0,r_3670
0,0,0,r_3670_REV
1.25757613168724e-05,1.26070250953852e-05,1.13892735933398e-07,r_3671
0,0,0,r_3671_REV
1.25757613168724e-05,1.26070250953849e-05,1.13892735933473e-07,r_3678
0,0,0,r_3678_REV
0,0,0,r_3679
0,0,0,r_3679_REV
1.25757613168724e-05,1.26070250953852e-05,1.13892735933398e-07,r_3680
0,0,0,r_3680_REV
0,0,0,r_3684
0,0,0,r_3684_REV
0,0,0,r_3701
0,0,0,r_3701_REV
0,0,0,r_3703
0,0,0,r_3703_REV
0,6.15205691235234e-05,0.00204210738960341,r_3704
0,2.37003867298308e-06,8.28958606969629e-05,r_3704_REV
0,0,0,r_3709
0,0,0,r_3709_REV
0,0,0,r_3711
0,0,0,r_3711_REV
0,4.57820779854367e-05,0.00186972087862861,r_3712
0,1.24950227383901e-06,4.20832035909959e-05,r_3712_REV
0,0,0,r_3717
0,5.75276740638227e-05,0.00199454359835488,r_3717_REV
0,0,0,r_3718
0,8.82675579144802e-05,0.00247602396723969,r_3718_REV
0,0,0,r_3719
0,4.49764041562806e-05,0.00174373212441753,r_3719_REV
0,0,0,r_3720
0,8.58933092172013e-05,0.00240835801915156,r_3720_REV
0,3.90997428976654e-06,0.000159584116966009,r_3721
0,0,0,r_3721_REV
0,3.2259926003829e-05,0.0015506400809819,r_3722
0,0,0,r_3722_REV
0,4.5615640860551e-06,0.000172359180509212,r_3723
0,0,0,r_3723_REV
0,5.29661099777676e-05,0.00198720400149786,r_3724
0,0,0,r_3724_REV
0,1.95498714492632e-06,0.00011285994662166,r_3725
0,0,0,r_3725_REV
0,8.63125707695539e-05,0.00247351871480264,r_3726
0,0,0,r_3726_REV
0,3.90997428970499e-06,0.000159584116963485,r_3727
0,0,0,r_3727_REV
0,4.10664298665756e-05,0.00173650678110542,r_3728
0,0,0,r_3728_REV
0,5.61576637421851e-06,0.000188586657824063,r_3729
0,0,0,r_3729_REV
0,8.02775428429828e-05,0.0024011507972069,r_3730
0,0,0,r_3730_REV
0,0,0,r_3735
0,0,0,r_3735_REV
0,0,0,r_3737
0,0,0,r_3737_REV
0,3.08514134101921e-05,0.000446416497383399,r_3743
0,1.96504273902607e-05,0.000361819934081762,r_3743_REV
0,0,0,r_3745
0,3.74510740016945e-07,6.13446236334081e-06,r_3745_REV
0,0,0,r_3747
0,0,0,r_3747_REV
0,0,0,r_3749
0,0,0,r_3749_REV
0,2.50931124732664e-05,0.000378138098751612,r_3751
0,3.52020944601701e-05,0.000488680594125354,r_3751_REV
0,0,0,r_3753
0,0,0,r_3753_REV
1.25757613168724e-05,0.00108570391750707,0.0183738629737078,r_3763
0,0,0,r_3763_REV
8.497971283713e-05,0.000156294016043895,0.00116684077684174,r_3769
0,0,0,r_3769_REV
0.000102002302073485,0.000150821903837356,0.000908619211727863,r_3771
0,0,0,r_3771_REV
0,0,0,r_3785
0,0,0,r_3785_REV
0,0,0,r_3787
0,0,0,r_3787_REV
0,0,0,r_3793
0,0.00101472401841999,0.018880065457792,r_3793_REV
0,0,0,r_3795
0,0.000903635907368184,0.0177427290666352,r_3795_REV
0,0,0,r_3801
0,0,0,r_3801_REV
0,0,0,r_3803
0,0,0,r_3803_REV
0,0.00101472031319585,0.0188800218516582,r_3809
0,2.27828654110033e-06,1.08674952466073e-05,r_3809_REV
0,0.000903633828328606,0.0177426929274355,r_3811
0,1.43846213348963e-06,9.01462410928926e-06,r_3811_REV
0,0.00482521478760407,0.0239050266856481,r_3833
0,0,0,r_3833_REV
0,0.00161101680264969,0.0201330012153143,r_3835
0,0,0,r_3835_REV
0,2.4108833613608e-06,1.14613486936049e-05,r_3841
0,0,0,r_3841_REV
0,1.53873624611958e-06,9.54792807519202e-06,r_3843
0,0,0,r_3843_REV
0,2.16422115537489e-05,0.000611980165592566,r_3849
0,0,0,r_3849_REV
0,1.59807843264665e-05,0.000459416268914177,r_3851
0,0,0,r_3851_REV
0,0.0014249906272064,0.0367673699916472,r_3873
0,0.000209656545173585,0.00936848494064445,r_3873_REV
0,0.00127298416521686,0.0344394322571965,r_3875
0,0.000209603187086093,0.00936747239750898,r_3875_REV
0,0.000974646612641768,0.0141930083771964,r_3881
0,0,0,r_3881_REV
0,0.000664416543087341,0.011936040522958,r_3883
0,0,0,r_3883_REV
0,0,0,r_3889
0,0,0,r_3889_REV
0,0,0,r_3891
0,0,0,r_3891_REV
0,0,0,r_3897
0,0,0,r_3897_REV
0,0,0,r_3899
0,0,0,r_3899_REV
0,0,0,r_3902
0,0,0,r_3902_REV
0,1.95498714487212e-06,0.000112859946618537,r_3927
0,0,0,r_3927_REV
0,2.37933042012469e-05,0.00130989965349857,r_3928
0,0,0,r_3928_REV
0,0.000712496045175115,0.01838370381747,r_3933
0,0,0,r_3933_REV
0,0.000616865891873808,0.0170985643317706,r_3935
0,0,0,r_3935_REV
0,0,0,r_3938
0,0,0,r_3938_REV
0,1.4483522625e-06,3.01669904634886e-05,r_3939
0,0,0,r_3939_REV
0,0,0,r_3940
0,2.28199176523774e-06,1.08671255290258e-05,r_3945
0,0,0,r_3945_REV
0,1.44054117306693e-06,9.01440110896268e-06,r_3947
0,0,0,r_3947_REV
0,1.28891596123061e-07,3.72242052521583e-06,r_3953
0,0,0,r_3953_REV
0,9.81950730526526e-08,3.191620209374e-06,r_3955
