Par.Wo.mean,Par.Ac.mean,Par_Ac.vs.Par_wo.log.2,Par_Ac.vs.Par_wo_adj_p,Rxn
11185.0532099489,3832.44284030063,-1.54523593984866,2.88767338277372e-05,r_0236
11185.0532099489,3832.44284030063,-1.54523593984866,2.88767338277372e-05,r_0237
3774.24675098836,1055.69109847657,-1.83800099062683,0.0010685760849291,r_0242
8553.85204995843,3518.70995355129,-1.28152765616567,0.0011626880684067,r_0244
32199.7417561341,10172.6015245117,-1.66236043902896,0.000866475265909325,r_0250
23743.8809849674,4076.50920126447,-2.54214958914922,0.0132314211218499,r_0252
24135.328537575,5887.34153640433,-2.03545823652561,0.00789967436920788,r_0253
24135.328537575,5887.34153640433,-2.03545823652561,0.00789967436920788,r_0254
2725.93400527967,1105.71155540878,-1.30177555308789,0.00304835891035808,r_0273
34057.2865249837,10669.3710053477,-1.67448836749948,0.00564460849487726,r_0280
34057.2865249837,10669.3710053477,-1.67448836749948,0.00564460849487726,r_0302
34057.2865249837,10669.3710053477,-1.67448836749948,0.00564460849487726,r_0303
2725.93400527967,1105.71155540878,-1.30177555308789,0.00304835891035808,r_0368
8746.24578439336,2744.46155515551,-1.67214076121761,0.0017054160106268,r_0443
11172.962114829,3584.92931437376,-1.63999513790959,0.00208871724372945,r_0446
11172.962114829,3584.92931437376,-1.63999513790959,0.00208871724372945,r_0447
8685.91405505729,2360.09697272634,-1.87983153884862,0.000621802028673539,r_0449
13725.8788536972,2446.02017644989,-2.4883903170817,0.00953816570036656,r_0490
5544.49006520079,1958.64555185041,-1.5011984371816,0.00181094193466156,r_0514
1459.92323273025,463.028250203171,-1.65672038698636,0.0115837252404562,r_0541
38217.5154736767,13547.6384761579,-1.49619259794917,0.00436951996689733,r_0542
3718.17485969068,1451.48200178311,-1.35706793662827,0.00116158143716718,r_0557
17404.6281250521,4687.90645761845,-1.89245530147829,0.00670974809488095,r_0565
59649.0654037783,14836.2463349269,-2.00737340652999,0.0181869272183815,r_0662
21421.5539877381,7712.73743852372,-1.47374823779574,0.00192620761533353,r_0669
4465.59641832677,1526.81352875363,-1.54832899726883,0.0087039629947307,r_0694
5520.67021813476,1476.53474085806,-1.90262812157857,0.00212310314133617,r_0697
11172.962114829,3584.92931437376,-1.63999513790959,0.00208871724372945,r_0724
11172.962114829,3584.92931437376,-1.63999513790959,0.00208871724372945,r_0725
11172.962114829,3584.92931437376,-1.63999513790959,0.00208871724372945,r_0732
11172.962114829,3584.92931437376,-1.63999513790959,0.00208871724372945,r_0733
59649.0654037783,14836.2463349269,-2.00737340652999,0.0181869272183815,r_0734
26631.3636618018,7000.26919777608,-1.92764399621819,0.00140462694611644,r_0842
17761.0084576126,5602.1706627573,-1.6646556602265,0.000760436423552888,r_0844
3252.48571517711,1035.62902030554,-1.65103542269128,0.000530158149331784,r_0915
4434.31570581485,1874.29326938601,-1.24236477990124,0.00837478248078812,r_1038
1183.36926321456,421.104942802907,-1.49064861354587,0.00619226486555785,r_1047
11127.8813242212,3562.53189268209,-1.64320410442668,0.00564460849487726,r_1067
47371.6923905807,4927.2849435429,-3.26516040440771,0.000760436423552888,r_1101
390.250831661207,76.2434011879097,-2.35571732287518,0.0345565366968549,r_1108
972.706898530945,384.988722775696,-1.33718896307269,0.00630945098684501,r_1110
