Rxn	Par_wo_1	Par_wo_2	Par_wo_3	Par_Ac_1	Par_Ac_2	Par_Ac_3	ATS_wo_1	ATS_wo_2	ATS_wo_3	ATS_Ac_1	ATS_Ac_2	ATS_Ac_3	Norm_Par_wo_1	Norm_Par_wo_2	Norm_Par_wo_3	Norm_Par_Ac_1	Norm_Par_Ac_2	Norm_Par_Ac_3	Norm_ATS_wo_1	Norm_ATS_wo_2	Norm_ATS_wo_3	Norm_ATS_Ac_1	Norm_ATS_Ac_2	Norm_ATS_Ac_3
r_0558	3725.84529248248	3762.68429869259	3529.29074921157	2244.98172674499	1581.21851693319	2768.29537607549	1737.25519118262	1272.71602643063	1668.09691661656	1213.39646861098	894.683772659616	1022.90292373005	0.990209381578223	1	0.937971530175381	0.596643658763784	0.420236828660489	0.73572353041614	0.461706338686522	0.338246827370784	0.443326302234862	0.322481604165568	0.237778059926656	0.271854570442031
r_0559	8775.21986325793	9194.5455791412	8959.63860428956	6259.94676655066	6466.62471760936	6343.57166025917	4238.21274715981	3817.3135114057	4310.43341538471	2703.83390085171	2975.64458315045	2906.63286197375	0.954394079373041	1	0.974451486174091	0.680832642860786	0.703310964304705	0.689927697422071	0.460948582034836	0.415171525177457	0.468803311515839	0.294069334648321	0.323631500604121	0.316125776630849
r_0560	8775.21986325793	9194.5455791412	8959.63860428956	6259.94676655066	6466.62471760936	6343.57166025917	4238.21274715981	3817.3135114057	4310.43341538471	2703.83390085171	2975.64458315045	2906.63286197375	0.954394079373041	1	0.974451486174091	0.680832642860786	0.703310964304705	0.689927697422071	0.460948582034836	0.415171525177457	0.468803311515839	0.294069334648321	0.323631500604121	0.316125776630849
r_0561	940.579182543233	1121.44445726281	954.882118824511	1048.27236123432	999.242257228616	1019.83674184108	841.318288945583	831.229614639282	792.346035392866	724.816474612751	882.741386372725	859.753664121482	0.838721147937163	1	0.851475177963927	0.93475192145754	0.891031428937228	0.909395677366197	0.750209503018142	0.741213360372857	0.706540596158281	0.646324006435292	0.787146773659478	0.766648458203578
r_0562	634.41106087865	670.052238461079	631.750783781566	423.813239795908	420.260729563684	468.984556741137	336.33567132107	315.466660977559	320.310099414138	235.162678429915	259.746901739889	295.171357844454	0.946808359801488	1	0.942838106522141	0.632507759050679	0.627205918345866	0.699922378915206	0.501954402978398	0.470809054682209	0.478037503687474	0.35096170855278	0.387651718523401	0.440519919047475
r_0564	637.290384906843	634.330552081086	659.807097303259	468.856192817695	525.076350951301	436.237505397617	389.037842040896	550.814804881452	431.22079865726	381.199775537076	438.88269604326	412.166550590074	0.965873794797835	0.961387888480891	1	0.710595861629843	0.795802823427294	0.661159158761086	0.589623609129029	0.834811882340647	0.653555865676091	0.577744278737078	0.665168195124069	0.624677352327168
r_0565	16439.9804263092	18157.4414344849	17616.4625143622	4842.11744984213	4635.84519737232	4585.7567256409	6161.36286779055	6049.78260694795	6377.80884927651	2542.76357315999	2660.16654540507	2617.90160648227	0.90541282953479	1	0.97020621423593	0.266673995194384	0.255313790442295	0.252555226031546	0.339329904492424	0.333184751209392	0.351250415554896	0.140039750772966	0.146505583124329	0.144177890697216
r_0566	5908.3729058532	6059.69698046062	5647.0586905559	4935.27446631901	5873.66777375942	5213.79838890771	4714.44872620987	4729.49621100483	4457.72282397958	4381.11291321485	4574.92914673666	4822.5633119823	0.975027781901412	1	0.931904467956853	0.814442451863965	0.96930057603523	0.860405793510716	0.778000738553681	0.780483946021559	0.735634609841618	0.722992078208146	0.754976554353862	0.795842321411874
r_0567	16516.7624003944	16933.1618194615	16530.9734187988	15390.3580847625	14855.8674046716	15006.3362781684	21600.2242248421	22418.9971265613	21139.5792757391	21778.8559082901	22897.5353073998	22928.9110773572	0.720346567905925	0.738507021215821	0.72096635392003	0.671220627653828	0.647909852960357	0.654472261135309	0.942051899105352	0.977761091703153	0.921961762790161	0.949842573631732	0.998631606627478	1
r_0568	8765.62211649729	8915.26694017035	9473.35937946263	8615.48846889458	8510.03021266129	8824.16079953088	6848.40752971991	6876.83938215631	6984.71219553488	7552.05076437256	7459.01543502094	7321.32302493462	0.925291838447547	0.941088222568419	1	0.90944385447597	0.898311767957442	0.931471133530609	0.722912248485646	0.725913491370829	0.737300456549457	0.797188247787233	0.787367515180665	0.772832817976543
