Rxn,Par_wo_1,Par_wo_2,Par_wo_3,Par_Ac_1,Par_Ac_2,Par_Ac_3,ATS_wo_1,ATS_wo_2,ATS_wo_3,ATS_Ac_1,ATS_Ac_2,ATS_Ac_3,Par.Wo.mean,Par.Ac.mean,ATS.Wo.mean,ATS.Ac.mean,Par_Ac.vs.Par_wo.t.test,Par_Ac.vs.Par_wo.log.2,Par_Ac.vs.Par_wo_adj_p,ATS_Ac.vs.ATS_wo.t.test,ATS_Ac.vs.ATS_wo.log.2,ATS_Ac.vs.ATS_wo_adj_p,ATS_Ac.vs.Par_Ac.t.test,ATS_Ac.vs.Par_Ac.log.2,ATS_Ac.vs.Par_Ac_adj_p,ATS_wo.vs.Par_wo.t.test,ATS_wo.vs.Par_wo.log.2,ATS_wo.vs.Par_wo_adj_p
t_1287,2968.58307306757,2588.19854953221,2629.55379834349,3202.14447845797,3067.60385261093,3231.43224507671,2565.1583821268,2479.50118985272,2817.13176077531,2753.22880134384,2703.95529512367,2628.63511040388,2728.77847364776,3167.06019204854,2620.59711091828,2695.27306895713,0.0518255122888805,0.214889007782292,0.0743069718594441,0.546555834236657,0.0405358740064434,0.600746922617062,0.00235781028691045,-0.232712841367856,0.00803976054631722,0.530808793705764,-0.0583597075920079,0.575691997086894
t_1288,2968.58307306757,2588.19854953221,2629.55379834349,3202.14447845797,3067.60385261093,3231.43224507671,2565.1583821268,2479.50118985272,2817.13176077531,2753.22880134384,2703.95529512367,2628.63511040388,2728.77847364776,3167.06019204854,2620.59711091828,2695.27306895713,0.0518255122888805,0.214889007782292,0.0743069718594441,0.546555834236657,0.0405358740064434,0.600746922617062,0.00235781028691045,-0.232712841367856,0.00803976054631722,0.530808793705764,-0.0583597075920079,0.575691997086894
t_1293,4900.60949598546,5119.02590578747,4809.23912125293,4946.53520457446,5167.90925641613,5027.84191877843,5542.35191715405,5458.90854352966,5713.23193941172,4727.95101884436,5247.68357423154,4863.35062688444,4942.95817434195,5047.42879325634,5571.49746669848,4946.32840665345,0.410678516757852,0.0301739539127901,0.4652358087651,0.0388128993962251,-0.1717071075593,0.0673046031988171,0.595680076415355,-0.0291906236005684,0.664284597387253,0.00679251017525835,0.172690437871522,0.0133105754949507
t_1294,4900.60949598546,5119.02590578747,4809.23912125293,4946.53520457446,5167.90925641613,5027.84191877843,5542.35191715405,5458.90854352966,5713.23193941172,4727.95101884436,5247.68357423154,4863.35062688444,4942.95817434195,5047.42879325634,5571.49746669848,4946.32840665345,0.410678516757852,0.0301739539127901,0.4652358087651,0.0388128993962251,-0.1717071075593,0.0673046031988171,0.595680076415355,-0.0291906236005684,0.664284597387253,0.00679251017525835,0.172690437871522,0.0133105754949507
t_1299,10586.3146769917,11112.6918902123,10319.8860805482,11685.5751987205,11342.0484781534,11742.1569817482,9404.94192027438,9214.46403135774,8918.99479033493,11411.2958158662,11069.5968890911,11371.0740545605,10672.9642159174,11589.9268862073,9179.46691398902,11283.9889198393,0.0390815762391038,0.118910551947446,0.0634462409237334,0.000424019455373306,0.297794875919843,0.00582370083840151,0.139019720861752,-0.0385943108865236,0.184724834569725,0.00928240823884767,-0.217478634858921,0.0171117171662755
t_1300,10586.3146769917,11112.6918902123,10319.8860805482,11685.5751987205,11342.0484781534,11742.1569817482,9404.94192027438,9214.46403135774,8918.99479033493,11411.2958158662,11069.5968890911,11371.0740545605,10672.9642159174,11589.9268862073,9179.46691398902,11283.9889198393,0.0390815762391038,0.118910551947446,0.0634462409237334,0.000424019455373306,0.297794875919843,0.00582370083840151,0.139019720861752,-0.0385943108865236,0.184724834569725,0.00928240823884767,-0.217478634858921,0.0171117171662755
t_1305,6070.57482610811,6327.06839063814,6112.40651138122,6314.20305087236,6508.55096616441,6792.6740786846,4337.86776088457,4495.81720287331,4007.86902784947,5163.91470579662,5039.68701306818,5361.38520884745,6170.01657604249,6538.47603190712,4280.51799720245,5188.32897590408,0.0997448445082772,0.0836800506866371,0.131748083980295,0.00924427654196149,0.277484567655682,0.0264219469486634,0.00220592368363704,-0.33368445661199,0.00776832877579432,0.00117617143146078,-0.527488973581035,0.00444140647597842
t_1306,6070.57482610811,6327.06839063814,6112.40651138122,6314.20305087236,6508.55096616441,6792.6740786846,4337.86776088457,4495.81720287331,4007.86902784947,5163.91470579662,5039.68701306818,5361.38520884745,6170.01657604249,6538.47603190712,4280.51799720245,5188.32897590408,0.0997448445082772,0.0836800506866371,0.131748083980295,0.00924427654196149,0.277484567655682,0.0264219469486634,0.00220592368363704,-0.33368445661199,0.00776832877579432,0.00117617143146078,-0.527488973581035,0.00444140647597842
t_1311,3159.57823360441,3198.71464402664,3484.78763121164,3741.63621124165,3725.44665731987,3514.46033168857,2896.70294701879,2870.07896058684,2735.50148613237,3242.88259752668,3083.12605973247,3107.34938530798,3281.0268362809,3660.51440008336,2834.09446457933,3144.45268085571,0.0448621304620127,0.157899005915616,0.0690734389653211,0.0116308392357148,0.149921079198836,0.0290677334844273,0.00633315418606204,-0.219237474532754,0.0146265703820957,0.0314373998500342,-0.211259547815974,0.047323806563776
t_1312,3159.57823360441,3198.71464402664,3484.78763121164,3741.63621124165,3725.44665731987,3514.46033168857,2896.70294701879,2870.07896058684,2735.50148613237,3242.88259752668,3083.12605973247,3107.34938530798,3281.0268362809,3660.51440008336,2834.09446457933,3144.45268085571,0.0448621304620127,0.157899005915616,0.0690734389653211,0.0116308392357148,0.149921079198836,0.0290677334844273,0.00633315418606204,-0.219237474532754,0.0146265703820957,0.0314373998500342,-0.211259547815974,0.047323806563776
