#node	identifier	node_degree
511354	STRG0A79TGQ.511354	0
511418	STRG0A79TGQ.511418	0
511419	STRG0A79TGQ.511419	0
511420	STRG0A79TGQ.511420	0
512494	STRG0A79TGQ.512494	0
512587	STRG0A79TGQ.512587	5
512911	STRG0A79TGQ.512911	0
513536	STRG0A79TGQ.513536	0
513628	STRG0A79TGQ.513628	0
513752	STRG0A79TGQ.513752	0
513814	STRG0A79TGQ.513814	0
517274	STRG0A79TGQ.517274	0
518256	STRG0A79TGQ.518256	0
521150	STRG0A79TGQ.521150	0
521346	STRG0A79TGQ.521346	1
524193	STRG0A79TGQ.524193	0
525572	STRG0A79TGQ.525572	0
526822	STRG0A79TGQ.526822	2
529435	STRG0A79TGQ.529435	0
534591	STRG0A79TGQ.534591	0
534783	STRG0A79TGQ.534783	1
535025	STRG0A79TGQ.535025	10
537812	STRG0A79TGQ.537812	2
538066	STRG0A79TGQ.538066	0
538744	STRG0A79TGQ.538744	0
539083	STRG0A79TGQ.539083	0
539178	STRG0A79TGQ.539178	0
539380	STRG0A79TGQ.539380	3
540101	STRG0A79TGQ.540101	2
540118	STRG0A79TGQ.540118	0
540460	STRG0A79TGQ.540460	1
541078	STRG0A79TGQ.541078	0
541951	STRG0A79TGQ.541951	0
542332	STRG0A79TGQ.542332	0
543643	STRG0A79TGQ.543643	0
545759	STRG0A79TGQ.545759	0
545899	STRG0A79TGQ.545899	0
546027	STRG0A79TGQ.546027	0
546551	STRG0A79TGQ.546551	0
548703	STRG0A79TGQ.548703	1
59445	STRG0A79TGQ.59445	0
63929	STRG0A79TGQ.63929	0
71299	STRG0A79TGQ.71299	0
73293	STRG0A79TGQ.73293	0
85931	STRG0A79TGQ.85931	0
86950	STRG0A79TGQ.86950	0
87007	STRG0A79TGQ.87007	0
88375	STRG0A79TGQ.88375	0
90526	STRG0A79TGQ.90526	0
93088	STRG0A79TGQ.93088	0
