Name,GrRule,REF,ALT
usage_prot_E6R459,CGB_D5440W,-0,-0
usage_prot_E6R464,CGB_D5490C,-0,23851.8014221094
usage_prot_E6R4A4,CGB_D6020C,-0,-0
usage_prot_E6R4A9,CGB_D6070W,-0,-0
usage_prot_E6R4B4,CGB_D6120C,-0,23851.8014221094
usage_prot_E6R4C0,CGB_D6180C,-0,-0
usage_prot_E6R4C3,CGB_D6210C,-0,-0
usage_prot_E6R4C9,CGB_D6270C,284041.76024042,32953.1064084316
usage_prot_E6R4D0,CGB_D6280W,-0,-0
usage_prot_E6R4D3,CGB_D6310C,-0,23851.8014221094
usage_prot_E6R4D8,CGB_D6360W,-0,-0
usage_prot_E6R4E2,CGB_D6400W,-0,23851.8014221094
usage_prot_E6R4E7,CGB_D6450W,-0,13646.550071811
usage_prot_E6R4F8,CGB_D6560C,964.763041378844,-0
usage_prot_E6R4G3,CGB_D6600W,-0,-0
usage_prot_E6R4H3,CGB_D6700W,-0,-0
usage_prot_E6R4I2,CGB_D7070W,285.746736048616,37.8109604156593
usage_prot_E6R4I3,CGB_D7080W,-0,-0
usage_prot_E6R4J3,CGB_D7190W,-0,-0
usage_prot_E6R4J8,CGB_D7240W,2862.64302921829,332.094228362986
usage_prot_E6R4L2,CGB_D7390W,-0,-0
usage_prot_E6R4L5,CGB_D7420W,-0,-0
usage_prot_E6R4N5,CGB_D7620W,1442.41988905701,23851.8014221094
usage_prot_E6R4P4,CGB_D7710W,-0,-0
usage_prot_E6R4Q5,CGB_D7820C,0.41937262754246,23851.8014221094
usage_prot_E6R4S4,CGB_D8130W,-0,-0
usage_prot_E6R4T2,CGB_D8210W,-0,-0
usage_prot_E6R4U3,CGB_D8320C,6.54908412757068,0.776630419758219
usage_prot_E6R4U7,CGB_D8360C,-0,23851.8014221094
usage_prot_E6R4V8,CGB_D8470W,-0,23851.8014221094
usage_prot_E6R4V9,CGB_D8480C,17893.6686723923,1501.02322085611
usage_prot_E6R4X3,CGB_D8620C,-0,44.867456834804
usage_prot_E6R4Z0,CGB_D8790W,25961.6750774628,-0
usage_prot_E6R4Z8,CGB_D9080W,-0,-0
usage_prot_E6R525,CGB_D9350C,0.0110972996002192,0.00131598908198098
usage_prot_E6R526,CGB_D9360C,1917.25954321803,222.433031232411
usage_prot_E6R529,CGB_D9390C,197.590460955301,23851.8014221094
usage_prot_E6R531,CGB_D9410C,-0,7111.13057542842
usage_prot_E6R552,CGB_D9620W,106.824107431614,23851.8014221094
usage_prot_E6R556,CGB_D9660W,36976.9320407022,35100.5031927422
usage_prot_E6R561,CGB_D9710C,-0,-0
usage_prot_E6R577,CGB_D0090W,-0,-0
usage_prot_E6R581,CGB_D0130W,-0,-0
usage_prot_E6R585,CGB_D0170C,-0,-0
