Gene,Par_wo_RNA,Par_Ac_RNA,ATS_wo_RNA,ATS_Ac_RNA,Parwo_PARROT,ParAc_PARROT,ATSwo_PARROT,ATSAc_PARROT
PAPLA_02492,10176.1838881537,6386.18443099738,3704.51146364852,2757.52935797279,1303.71262205651,150.41205389885,1380.3881821856,161.793010305276
PAPLA_02502,4667.98600027534,3052.7584945577,2317.48389751249,1908.54964443015,662.683201875372,76.4551480073964,693.505676358913,82.2401411908829
PAPLA_02528,2559.14403263522,1661.48896110734,3368.9450351256,2351.71533607092,0,17949.257443548,0,23851.8014221094
PAPLA_02531,1652.12999065299,1009.98753464195,804.840733027315,504.676874897926,0,0,0,0
PAPLA_02542,13831.7679425797,7537.03002234954,5724.99262822059,4417.69848849208,3477.93254840236,17949.257443548,3415.8986821138,23851.8014221094
PAPLA_02546,1244.69427264385,2050.19206862163,1976.62909118519,2364.95378925404,0,17949.257443548,0,23851.8014221094
PAPLA_02551,3233.47487123431,2937.65775614628,2478.37071556172,2581.04674046058,542.928727367982,17949.257443548,572.200355498973,23851.8014221094
PAPLA_02552,179.785765513036,165.018356875301,109.192824335111,104.027824300046,0.910307946626803,154.809524271578,0.935660370781036,166.509741569741
PAPLA_02561,12436.8518598391,4221.9850253689,4441.12400541957,1887.24077990619,0,0,0,0
PAPLA_02567,22065.263106126,23268.9389161808,18176.0620146308,15514.0881597483,100569.895271641,17949.257443548,104935.410754409,23851.8014221094
PAPLA_02571,562.066151236044,867.337785523095,401.323059011558,412.243446974808,1747.74533528334,172.118415482481,1716.64626884004,199.144246186988
PAPLA_02580,7417.56956594471,6755.55269289988,5073.64352474057,4379.68591964385,12402.2383236035,722.871469984436,12877.4552283729,827.596957946054
PAPLA_02587,3477.92923499377,3809.94984057759,5529.19197986071,5677.16986875839,0,0,0,0
PAPLA_02595,2429.03401418542,2849.48287021871,1442.3259001925,1538.40402245908,0,15942.2712205072,0,22138.314925901
PAPLA_02600,3672.60678012888,2198.16520658456,1559.35604474327,1043.66105500022,2969597.69507505,342608.701514244,3107718.51852436,368532.253485817
PAPLA_02604,12554.2374069188,9864.55888922692,15555.7508721648,13535.7059181353,0,0,0,0
PAPLA_02614,246.600311784023,481.551553295821,400.647410268142,341.613273054157,1400.80497803802,17949.257443548,1442.41988905701,23851.8014221094
PAPLA_02624,4745.75643401037,5108.79911368071,3034.51245263873,2786.15462833395,176.934258099777,20.4132756851102,187.340334642589,21.9578500371155
PAPLA_02635,190.093860667568,181.010683018289,127.321896997256,197.952627869755,0,17949.257443548,0,23851.8014221094
PAPLA_02639,5555.01252919579,5059.64782272665,3574.47376478859,3809.63684707937,0,17949.257443548,0,23851.8014221094
PAPLA_02653,23743.8809849674,4076.50920126447,17072.7804128746,5302.11577585338,0,6125.27253726933,0,7658.16931050698
PAPLA_02654,3373.93952366589,2599.83674804722,4124.93591175841,3870.76865914143,0,0,0,0
