Gene_id,Protein_ID
gene_1095,479665
gene_1097,479671
gene_1098,479675
gene_1099,479676
gene_1100,479678
gene_1101,479681
gene_1104,479687
gene_1105,479689
gene_1110,479705
gene_1116,479717
gene_1117,479722
gene_1118,479725
gene_1119,479729
gene_1120,479733
gene_1121,479734
gene_1122,479736
gene_1123,479741
gene_1124,479744
gene_1125,479750
gene_1131,479762
gene_1132,479763
gene_1134,479768
gene_1137,479781
gene_1138,479790
gene_1139,479798
gene_1140,479802
gene_1143,479808
gene_1144,479812
gene_1145,479815
gene_1148,479831
gene_1149,479834
gene_1150,479836
gene_1155,479850
gene_1156,479851
gene_1157,479857
gene_1158,479858
gene_1161,479867
gene_1162,479871
gene_1166,479885
gene_1167,479886
gene_1168,479887
gene_1170,479894
gene_1171,479899
gene_1172,479905
gene_1173,479907
gene_1175,479915
gene_1176,479920
gene_1178,479927
gene_1180,479931
gene_1181,479934
gene_1186,479946
gene_1190,479954
gene_1191,479956
gene_1192,479958
gene_1193,479960
gene_1195,479964
gene_1199,479979
gene_1200,479981
gene_1201,479985
gene_1203,479999
gene_1207,480008
gene_1209,480017
gene_1211,480030
gene_1213,480031
gene_1215,480038
gene_1218,480049
gene_1220,480053
gene_1222,480056
gene_1225,480064
gene_1226,480067
gene_1237,480079
gene_1238,480081
gene_1239,480088
gene_1245,480097
gene_1246,480100
gene_1247,480105
gene_1251,480144
gene_1253,480149
gene_1255,480153
gene_1261,480165
gene_1262,480167
gene_1271,480189
gene_1276,480204
gene_1277,480205
gene_1278,480208
gene_1290,480260
gene_1291,480268
gene_53,503690
gene_55,503692
gene_56,503693
gene_71,503698
gene_89,503708
gene_109,503719
gene_163,503751
gene_164,503752
gene_204,503771
gene_498,503892
gene_539,503905
gene_642,503948
gene_643,503949
gene_693,503968
gene_699,503971
gene_983,504061
gene_15,506980
gene_17,506982
gene_39,507003
gene_42,507006
gene_43,507007
gene_72,507031
gene_108,507061
gene_114,507068
gene_123,507076
gene_139,507091
gene_147,507099
gene_151,507102
gene_173,507122
gene_176,507125
gene_183,507132
gene_189,507138
gene_222,507168
gene_223,507169
gene_234,507180
gene_241,507188
gene_281,507224
gene_331,507272
gene_340,507280
gene_357,507295
gene_364,507301
gene_365,507302
gene_416,507347
gene_441,507372
gene_442,507373
gene_451,507381
gene_460,507390
gene_461,507391
gene_466,507395
gene_467,507396
gene_473,507401
gene_494,507415
gene_495,507416
gene_530,507446
gene_546,507460
gene_577,507489
gene_610,507519
gene_618,507526
gene_627,507533
gene_628,507534
gene_639,507546
gene_640,507547
gene_671,507579
gene_716,507615
gene_729,507625
gene_736,507629
gene_762,507651
gene_796,507681
gene_802,507686
gene_806,507690
gene_810,507693
gene_829,507711
gene_839,507720
gene_888,507761
gene_896,507769
gene_900,507773
gene_901,507774
