Protein_ID,log2FoldChange (1),log2FoldChange (2),padj (1),padj (2),Gene_id
487952,-1.93168427514563,-1.38428011633054,2.90879660139887E-96,1.77155651935485E-31,gene_3555
251548,-2.08876764815409,-1.41638075068204,2.29559021989738E-84,3.643321585514E-08,gene_3566
251553,-1.83398320681042,-1.51556000839429,7.05985246408087E-51,1.10172356479764E-08,gene_3567
510191,-1.44615304352103,-1.09311752840344,2.17621849701904E-29,1.81024169626552E-16,gene_3605
488095,-1.82293562124824,-2.27582866205324,1.79908967691636E-85,3.48546037021392E-76,gene_3608
254469,-1.2680581677557,-2.3984854469601,2.05489975585802E-22,4.35558801140714E-20,gene_3647
488204,-2.27394642869632,-2.79599224318687,3.02889632529036E-37,9.34371269586293E-51,gene_3649
472455,-1.19826396653305,-1.76795172999029,3.29462329038325E-28,5.57996011946321E-34,gene_3650
488290,-1.11307091239643,-1.12206757584515,4.66584357833907E-78,9.27403044660652E-95,gene_3672
488500,-1.92750931991408,-1.51220306602197,5.22143775961073E-197,3.30509723675471E-34,gene_3741
477246,-1.24290977956683,-1.03726941521698,2.15298534567354E-57,9.11282488408539E-27,gene_377
488765,-1.18528936094175,-1.40871025923221,3.24738222995594E-49,8.02573593090596E-36,gene_3808
488884,-1.26605216635584,-1.01654568777929,1.78578021135818E-79,3.88961170679483E-14,gene_3841
488988,-1.51697533728246,-1.39379061588244,2.40865927913819E-36,1.12771747419518E-25,gene_3881
438534,-1.29641033305832,-1.99529071063371,2.36751546849411E-59,1.43638782951136E-160,gene_4005
477349,-2.05442987730858,-1.27061110875654,1.8900512724935E-86,7.38476838610156E-16,gene_404
489899,-1.34881672185789,-1.05951844423926,5.03754287044808E-168,3.34101434705039E-98,gene_4154
507347,-1.76051580918243,-1.26226962867143,0,6.80288231703822E-101,gene_416
490186,-1.17353688801753,-1.12868131146853,4.71803530529665E-72,2.7140641483873E-52,gene_4206
540450,-1.87523226274847,-1.62335806285275,2.65635327286408E-68,7.29588084853988E-21,gene_4225
510790,-1.66158026910568,-1.70638827777846,2.43245251920586E-120,3.18133511660828E-72,gene_4262
490432,-1.15376416978748,-1.05906815160638,4.71575509055262E-39,2.43762054217291E-20,gene_4275
287799,-1.10249399320287,-1.02178887659368,9.18304384492173E-59,1.9621040625407E-30,gene_4289
438449,-2.06754914340419,-1.3669980062492,7.33151486325305E-223,1.50809577664128E-40,gene_4301
490577,-1.38994674244195,-1.45963118953977,1.02472216082861E-10,2.69723473427786E-29,gene_4317
490583,-1.87784690259457,-1.36739245517341,2.29664840391891E-51,3.78748226282378E-09,gene_4319
490857,-1.3618688752796,-1.1590638244294,5.04659154648722E-68,3.97012281714443E-79,gene_4397
491218,-1.34297066935934,-1.25261071733373,1.62915035867162E-54,1.0563181094018E-56,gene_4480
510988,-1.18843783435113,-1.32519297878238,4.4748021445041E-05,1.02803878132907E-11,gene_4483
491414,-1.09748643942321,-1.0742787423434,1.61778941120511E-51,3.48905383597733E-34,gene_4540
300337,-1.34588260421815,-1.03045683307177,3.00398829528369E-43,7.7176558821045E-16,gene_4542
491490,-1.7695478107542,-1.08356972284994,3.08736549595092E-14,0.006197171048379,gene_4571
491498,-1.43741033858784,-1.27970546447019,1.93647377160439E-71,3.58374847427093E-29,gene_4577
477510,-1.26309623036035,-1.07536824789384,9.93232129062391E-58,7.83123609208646E-17,gene_458
491537,-1.33301438845639,-1.18445590135501,4.54438616779506E-37,5.9216943523625E-10,gene_4585
491608,-2.28599213745279,-1.17873840370012,4.93390602969592E-193,1.50412470771765E-18,gene_4610
491829,-1.94830189676557,-1.57913015262047,9.1412899620516E-159,1.27684491765886E-39,gene_4672
546719,-1.60115486828867,-1.52252292877412,4.23772836054015E-55,2.15245761768451E-33,gene_4679
491901,-1.31922730944982,-1.29134510223261,1.91270657206272E-24,1.48899377415274E-16,gene_4690
454065,-2.44370785759669,-1.93576006810594,4.65176643822616E-268,1.29539062637949E-73,gene_4728
