log2FoldChange,padj,Gene_id
-1.21496479998312,2.59193380765427e-205,gene_5621
-1.20582466873293,1.20051290524691e-08,gene_4352
-1.20273844753874,2.59122881304914e-43,gene_3165
-1.19897449923301,6.50175883072694e-140,gene_2227
-1.19570010881877,4.8122577939394e-17,gene_2111
-1.18517551583667,1.93768770133824e-16,gene_3358
-1.18464648802014,3.41674154593258e-07,gene_248
-1.18368777213509,5.96283658989202e-14,gene_6642
-1.18133817111789,2.84964104360712e-146,gene_5121
-1.17642784481463,3.14556474618291e-23,gene_3407
-1.17615151591475,2.11398914856192e-20,gene_1908
-1.17588284910684,2.12290943023002e-26,gene_701
-1.16916503535183,1.8660543211137e-17,gene_4894
-1.16907631163512,1.58686777823029e-60,gene_2563
-1.16760667857616,1.62091938430331e-13,gene_159
-1.16658024996136,2.40668213710209e-21,gene_4610
-1.16625528642448,3.27470550930319e-18,gene_1293
-1.15716951547626,2.32217826276568e-21,gene_5748
-1.156432680324,2.65304034725943e-11,gene_4225
-1.15195175035159,1.082866364501e-129,gene_4325
-1.14954075975473,5.73252513136941e-37,gene_7034
-1.14508087525631,6.15396050155023e-35,gene_5076
-1.14504905923313,4.79905473641501e-21,gene_2441
-1.14247649338191,6.04628723923458e-17,gene_4670
-1.14048067942645,7.21333996105169e-07,gene_4006
-1.13826466652682,5.594814490484e-15,gene_2869
-1.13724146495241,6.49971087533428e-24,gene_7120
-1.13325219899691,3.26438085387749e-22,gene_1062
-1.13287639163896,1.29079937208651e-12,gene_6266
-1.13079591601791,1.55138552467464e-16,gene_6796
-1.12741777727456,7.51002289275599e-71,gene_3876
-1.11391115358272,1.17288960063433e-38,gene_4024
-1.11307539452897,5.2711197590258e-12,gene_2582
-1.11304822449827,0.002451943451339,gene_6654
-1.11047028635764,9.68885771558774e-21,gene_3418
-1.10882963469765,6.22972944059342e-104,gene_7499
-1.10723744541124,3.79172408968281e-88,gene_3972
-1.10354920764375,3.87670646880025e-23,gene_3285
