log2FoldChange (1),log2FoldChange (2),padj (1),padj (2),Gene_id
-1.26963307703532,-1.10354920764375,8.27071692954634e-19,3.87670646880025e-23,gene_3285
-1.54362433655013,-1.18517551583667,6.50595958280282e-61,1.93768770133824e-16,gene_3358
-1.27518234863238,-1.0972834364232,9.84253893773202e-49,4.29943146527494e-34,gene_3362
-2.76723940153127,-2.50125198329875,3.23662312255526e-275,4.58907811709633e-151,gene_3365
-2.51027002820666,-2.148568289231,3.24039402016e-121,1.98721108804716e-42,gene_3396
-1.01590101416414,-1.11047028635764,3.78534995886788e-25,9.68885771558774e-21,gene_3418
-2.31546426737157,-1.76348248931574,2.8254805572457e-163,5.27427551694206e-68,gene_3451
-2.41572537478662,-2.40251793295946,3.45519614505589e-102,5.48064827400821e-41,gene_3492
-3.02885369866944,-2.35606797939223,2.45028262585175e-264,8.55758798526509e-97,gene_3505
-2.41389696892518,-1.76398677242692,1.20831896171182e-86,1.56753183125397e-14,gene_3566
-2.32736053313368,-2.03082275049135,3.42280639952708e-57,8.29963846142895e-20,gene_3567
-3.38661656410545,-2.71904817212395,0.0,0.0,gene_3663
-1.01998779381264,-1.00634594617907,0.000291458675145,3.08517880948986e-08,gene_3706
-4.20382506090689,-3.59722088718607,1.79710545067478e-79,1.73236418291891e-95,gene_3736
-2.13355330208861,-1.74212281776448,2.89752412366497e-113,4.41079928221e-76,gene_3741
-2.01579809130883,-1.99568529499838,7.80999725595158e-18,1.97287379647961e-13,gene_380
-1.52415895499428,-1.77218982600425,2.49899929224469e-83,1.05005334798256e-59,gene_3808
-1.58703314757553,-1.52163529565079,8.40099218162708e-07,1.80895052401409e-11,gene_3842
-1.45839018660325,-1.26668921698619,3.84922566629085e-39,1.0685433338012e-17,gene_3862
-2.6523934928255,-1.12741777727456,5.48661483010046e-79,7.51002289275599e-71,gene_3876
-1.87851818630576,-1.52051204937669,3.19503138940769e-150,1.64672843077819e-56,gene_3969
-2.37225257609072,-1.10723744541124,0.0,3.79172408968281e-88,gene_3972
-1.26738537605576,-1.0197996704474,3.504466361757e-32,4.83736935868943e-13,gene_4013
-1.13634665210116,-2.14263965564652,1.08496944762483e-38,5.9905331771493e-93,gene_4029
-2.2192212801013,-1.45991289827314,3.21283694166046e-104,1.18970197211985e-20,gene_404
-3.27332330364965,-2.87845806052417,0.0,3.30073369889704e-291,gene_4071
-2.48825710685283,-1.49458791668707,0.0,4.57345747059275e-80,gene_4223
-1.38535131264835,-1.156432680324,1.24671819006207e-31,2.65304034725943e-11,gene_4225
-1.92151797805948,-1.24510427462689,3.0468779028331e-120,1.77781016825895e-44,gene_4301
-2.53933625659528,-2.05093199543297,2.25735281340901e-80,1.81663230240706e-24,gene_4319
-2.08901724369858,-1.15195175035159,2.55138196417307e-241,1.082866364501e-129,gene_4325
