log2FoldChange,padj,Gene_id
-1.31437622524313,2.00880439678309e-16,gene_5039
-1.31025480015096,1.38600898206832e-22,gene_6837
-1.3100851910886,6.01260135462432e-58,gene_2038
-1.30964834889094,1.06752765239923e-16,gene_2605
-1.30852345955957,9.62608786045797e-32,gene_260
-1.30693669166786,5.42219758842471e-20,gene_5375
-1.3044477971354,1.09606541409871e-14,gene_87
-1.30032586023619,4.55168398516671e-97,gene_5382
-1.29894586369254,1.30881562436834e-22,gene_6796
-1.29319021914906,1.71717675366297e-77,gene_6196
-1.29134510223261,1.48899377415274e-16,gene_4690
-1.29109711517543,1.28795742585802e-13,gene_626
-1.27970546447019,3.58374847427093e-29,gene_4577
-1.27779198790443,1.08444157444351e-12,gene_2739
-1.27426752652227,2.08084850394681e-80,gene_7159
-1.27274007540371,3.37392887407284e-22,gene_567
-1.27193484173932,3.03056011049622e-122,gene_2052
-1.27122385692393,6.29566890439382e-29,gene_2538
-1.27061110875654,7.38476838610156e-16,gene_404
-1.26226962867143,6.80288231703822e-101,gene_416
-1.26126239794757,4.3180743579002e-11,gene_6125
-1.2603172301643,4.85152679648493e-33,gene_7260
-1.25801731301566,4.13893548982685e-19,gene_1116
-1.25629196129107,5.80651463633471e-09,gene_5879
-1.25588314407101,2.37037453337812e-74,gene_3147
-1.25261071733373,1.0563181094018e-56,gene_4480
-1.24400132844645,1.45258843221219e-11,gene_5503
-1.24353334741032,2.88467454297002e-60,gene_1224
-1.24086351905582,1.51182062193221e-54,gene_427
-1.23911645554798,4.4060611834638e-67,gene_3292
-1.23911588025987,7.9321814958272e-10,gene_6738
-1.23314223668643,4.1933797024028e-77,gene_1271
-1.22477047021871,1.95286570063723e-19,gene_2869
-1.22216948071343,6.57335964616971e-09,gene_2332
-1.22061123031076,6.41300557460031e-06,gene_565
-1.21891180563704,3.16651825919531e-35,gene_5778
-1.21245670413731,1.43631774132394e-46,gene_1474
-1.21154089956803,1.43252765986141e-22,gene_2037
-1.21063519867064,8.60691612189188e-33,gene_5080
-1.21024740497892,4.68070907419664e-19,gene_7346
-1.20978624604058,2.09628923676961e-16,gene_3131
-1.20697553798857,2.98924367047004e-06,gene_5019
-1.20116747605689,5.5612396605559e-38,gene_1094
-1.20018052863677,1.88486219396333e-19,gene_3753
-1.19804611478364,6.77831183117583e-28,gene_3048
-1.19465608378046,1.83767317172894e-80,gene_2563
-1.18986251899973,1.39796809018469e-25,gene_6439
-1.18885578979915,2.09624342100748e-17,gene_3829
-1.18640605203203,7.39946220186905e-08,gene_5511
-1.18486577761685,7.51117841728065e-35,gene_4732
-1.18445590135501,5.9216943523625e-10,gene_4585
-1.18436677754349,2.44652422328933e-08,gene_1270
-1.18349543023823,7.51476018333903e-10,gene_7455
-1.18298281325465,3.39079732237041e-98,gene_7030
-1.18279059836588,2.42715342717747e-101,gene_1655
-1.18225705119854,3.62556172804081e-34,gene_2323
-1.18193556010385,4.59565613725004e-61,gene_1770
-1.18090925778169,1.65246099937066e-14,gene_2087
-1.17956588481159,5.06619386175725e-21,gene_2441
-1.17873840370012,1.50412470771765e-18,gene_4610
-1.17493375674665,2.37250199037697e-22,gene_7171
-1.17447395634671,0.002900413954446,gene_6212
-1.17411042978906,6.42619243797418e-22,gene_3164
-1.17407058880715,5.6860507108054e-26,gene_7540
-1.17297449100858,2.52313039987053e-40,gene_5453
-1.17216068729442,5.12069439688475e-59,gene_566
-1.1715206980537,5.9853104724124e-08,gene_913
-1.17128443014462,1.77721215997447e-19,gene_1043
-1.17127939918293,1.27377724664882e-35,gene_3408
-1.17096816216357,4.25057811722964e-23,gene_6008
-1.16752468951671,2.50724350311207e-31,gene_1161
-1.1641082294655,1.26555027946992e-50,gene_5561
-1.16322854891895,1.32106077076074e-38,gene_6468
-1.1590638244294,3.97012281714443e-79,gene_4397
-1.1565397495416,2.70287689551711e-24,gene_2984
-1.15357416510197,2.91590839595379e-13,gene_6808
-1.14907418975201,5.56572875603594e-31,gene_5930
-1.14618832394758,7.46769290356917e-92,gene_2229
-1.14576130022065,0.001176605649433,gene_6129
-1.14568753216884,1.0045620784495e-44,gene_1575
-1.14304076025128,1.22541393446643e-33,gene_4608
-1.13571251980816,1.64405904709802e-29,gene_5720
-1.13471931361862,4.21666755652053e-45,gene_5475
-1.13303278971822,7.45148020561721e-17,gene_2845
-1.13225203465858,7.17602462229576e-16,gene_5063
-1.13185710077347,5.21282240182691e-56,gene_1851
-1.13095980812615,2.10013108448727e-16,gene_6227
-1.13061541590687,1.7992294347413e-48,gene_2303
-1.12868131146853,2.7140641483873e-52,gene_4206
-1.12464631950231,1.81611331181528e-46,gene_1254
-1.12406244145265,4.29593125092649e-36,gene_5742
-1.12206757584515,9.27403044660652e-95,gene_3672
-1.12155362611414,2.32049265654742e-24,gene_5176
-1.1210645246685,2.46299846097348e-46,gene_7380
-1.11982559953852,0.004623326814623,gene_2765
-1.11955738464282,5.7540360275677e-55,gene_6103
-1.11933555019859,1.85664833681133e-31,gene_4826
-1.1191702421302,4.70744857716385e-55,gene_4453
-1.11856410252536,1.09597053015435e-24,gene_1226
