Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene_2095,2063.71299375214,0.037150208037635,0.062057570349692,0.598641033290455,0.549412286843471,0.628990238775991
gene_6282,3990.47716168423,0.03717053190388,0.055176311743298,0.673668295858767,0.50052222248773,0.585123334574273
gene_4085,3101.95188277256,0.037220630135857,0.066294831626372,0.561440903049983,0.57449700662196,0.650589978981612
gene_1647,2133.74193323555,0.037358610184535,0.066088654452341,0.565280235981745,0.571883169513329,0.648959934201511
gene_3297,3974.54124520516,0.037386590791079,0.050836454157844,0.735428766825384,0.462078407616214,0.549624839950574
gene_4986,770.40966498084,0.037692423531697,0.09170708365428,0.411008855911188,0.681066041008301,0.746771015024405
gene_2423,3726.97848954213,0.037692451966078,0.060833999582037,0.619595164300321,0.535524351221018,0.616409380696517
gene_3092,4840.97772145697,0.037718931539236,0.065617075742301,0.574834082630713,0.565403513908743,0.643164790972637
gene_6049,1416.46837984484,0.037730175844869,0.087026893435346,0.433546164357802,0.664618035914161,0.73251330759842
gene_4180,8370.28082009201,0.037768057420053,0.050587336745085,0.746591140197216,0.455310398069274,0.543044353912186
gene_4300,2757.00956741815,0.037950180021149,0.065130785801879,0.582676526222008,0.560111078285203,0.637804841605814
gene_165,740.880156369276,0.037985442180359,0.089525216094734,0.424298804709536,0.671347910835743,0.738325897268805
gene_7387,925.394443350273,0.038017530957457,0.090658534750355,0.419348614690771,0.674961372239121,0.741310457480888
gene_3605,238.38576357837,0.038086030537527,0.150210984750853,0.253550235361934,0.799843046801993,0.847746547760499
gene_6591,2200.42929495601,0.038148243341599,0.064514643803879,0.591311384397746,0.554311803072389,0.632621780791757
gene_1123,1857.12143373442,0.038162521750771,0.069897236749852,0.545980406741219,0.585079405546463,0.660305331512119
gene_2591,414.87155215996,0.038345989470543,0.118719652078634,0.32299614090129,0.746698164677975,0.803630090050157
gene_3687,1387.21716245355,0.038521002052791,0.068570273949767,0.561774072552348,0.574269959283412,0.650556379377256
gene_3255,4293.51999903232,0.038727393155232,0.059686357291575,0.648848328371653,0.516436416166257,0.599885260857792
gene_2636,6808.43523591997,0.038752949824851,0.047960003709529,0.808026414250484,0.419075376453182,0.507540856435674
gene_1113,2801.13347352508,0.038800721227341,0.056655314973342,0.684855802948028,0.49343491795207,0.578706491546553
gene_6120,2630.77901972452,0.038910433735214,0.067817839117572,0.573749241224821,0.566137501588659,0.643777541913479
gene_3929,11549.7257173928,0.039088032830145,0.074003995854991,0.52818813874235,0.59736876109137,0.670958404006528
gene_138,1574.82297795395,0.039109370833956,0.091307203795677,0.428327330245187,0.668412823776553,0.736076497715171
gene_4479,10742.0150270982,0.039214573002772,0.048593615082813,0.806990238037295,0.419672107367323,0.508015038643983
gene_401,4939.12753992259,0.03922806869077,0.04885721256641,0.80291254105929,0.422025286877019,0.510356316605165
gene_7096,2283.3698696951,0.039325892736558,0.067568359565592,0.58201639035476,0.560555640766275,0.638200826240291
gene_5598,3762.79076375496,0.039349718043681,0.054339500466261,0.724145744919256,0.468976263061449,0.555596517570865
gene_4869,1409.98045334969,0.039558316443346,0.078915411498495,0.501274918196427,0.616177654777794,0.687981872818546
gene_4334,5600.35252123742,0.039724179365868,0.048190052706157,0.824323218903485,0.409755928986469,0.498451943878724
gene_7393,3209.62677734829,0.039743707721316,0.058037899776466,0.684788868556398,0.493477160617596,0.578706491546553
gene_6014,1012.73541196188,0.039760348365487,0.081450844962266,0.488151453602564,0.625442567854038,0.696556412788278
gene_7200,1169.62025254396,0.039770880372437,0.08309065766243,0.478644428763731,0.632191605735736,0.702426251596205
gene_5917,2782.14156648829,0.039805461277079,0.06038134808331,0.659234391755506,0.509745265392938,0.593262851248278
gene_4144,1668.39393528675,0.039829577002352,0.072531810716664,0.549132533833205,0.582914499842726,0.658312897543815
gene_901,4196.49089808055,0.039906358756845,0.054088789816608,0.737793522320429,0.46063993023004,0.548309573867176
gene_2496,3671.81216723452,0.039987080226127,0.054537759306401,0.733199910203017,0.463436510118601,0.550644101424264
gene_728,1628.47225916602,0.040133466269208,0.080089338316557,0.501108725740477,0.616294606183806,0.687995604396893
gene_2380,6738.43042476991,0.0401977921624,0.045613707938546,0.881265610253774,0.378174074952638,0.467715478815721
gene_2018,4045.00422265723,0.040217548259666,0.052402173332261,0.767478631175508,0.442796993443194,0.531098577288488
gene_943,1678.5636398506,0.040243778080936,0.064945516471931,0.619654446790467,0.535485312453784,0.616409380696517
gene_1400,3291.55091826122,0.040333972652016,0.052681733385098,0.76561589872488,0.443904881667028,0.531943461179613
gene_5108,3959.33507413998,0.04046375084394,0.054570482406421,0.741495201427394,0.4583932402184,0.546029678265214
gene_7097,2175.27486503573,0.040818124385973,0.066223045803304,0.616373407336345,0.537648100263223,0.618421964218316
gene_4694,4095.50953093286,0.040847417878217,0.053299181116158,0.766379839667627,0.443450324922802,0.531688712602966
gene_373,43.2091004395844,0.041138881955343,0.360036710674537,0.114263020229988,0.90902929604001,0.933092668871963
gene_5845,703.914566501341,0.041224603979589,0.096251675359649,0.428300118678991,0.668432632539933,0.736076497715171
gene_6627,904.823857365933,0.041294327903696,0.092891029746308,0.444545915967059,0.656647939765168,0.724941085066486
gene_1284,555.651969240178,0.041416295872706,0.117777706540759,0.351648007837314,0.725102256768859,0.784743732822249
gene_7166,7802.10934900409,0.041446638396347,0.05168536452648,0.801902797359826,0.422609187856721,0.510694732603392
gene_300,10106.3846811492,0.041524409020241,0.044571161799907,0.931642957988321,0.351521074700519,0.440286324230633
gene_5929,1150.95961737324,0.041592771711646,0.074727936091658,0.556589327726515,0.577808047102776,0.653329441938508
gene_2337,1505.96395738547,0.041730718690623,0.074688687004063,0.558728776265047,0.576346837174733,0.651900883777598
gene_1282,1440.51809293767,0.041764977218971,0.076541970878623,0.545648050860872,0.585307887763269,0.660450119160471
gene_1190,1064.65690117425,0.041772205011746,0.080653182265878,0.517923829391392,0.604511415288503,0.677480321248183
gene_2804,1278.96519653894,0.042011939412576,0.07434890773438,0.565064648463546,0.57202979265683,0.648959934201511
gene_2397,3719.86819105008,0.042279671267355,0.051265958584986,0.824712390723481,0.409534895373938,0.49827501482189
gene_10,472.770520876398,0.042320776975052,0.112577286077223,0.375926427521281,0.706971592835187,0.768782042225265
gene_2955,67.0228527239409,0.042985457258985,0.286511386820258,0.150030537131678,0.880740522780153,0.911006045216816
gene_7221,1096.00372083112,0.043078218860856,0.089133029991267,0.483302529545742,0.628880944243061,0.699676486827048
gene_4271,4637.64598696899,0.043118804426438,0.051979700234898,0.82953161006282,0.406803657631185,0.495592258566766
gene_7110,1988.95739795468,0.04313450001587,0.067470070197127,0.639313104163725,0.522619265355026,0.605360428258712
gene_3994,2836.09065771034,0.04319849945992,0.059442571545281,0.726726626000919,0.467393439159547,0.554147041535924
gene_1966,6507.47196666573,0.043229849941131,0.052550418382774,0.822635694853028,0.41071519370805,0.499434524427867
gene_6937,1876.85879207222,0.043524494152235,0.072908642336171,0.596973044039824,0.550525377815213,0.629886556156816
gene_5305,2721.51595517894,0.043735654581031,0.062286980964219,0.702163660912619,0.482577104978084,0.568671483020295
gene_3531,3722.98769727288,0.043939902087769,0.061409720334669,0.715520309298049,0.4742875960038,0.56040577753308
gene_1787,4092.32897653152,0.044037314383818,0.059646025420621,0.738310961598339,0.460325506898596,0.548034267920452
gene_1975,2807.72847848873,0.044139033188907,0.070332578205666,0.627575930173304,0.530281780681487,0.611977853335498
gene_1619,1069.30338209585,0.044318820619915,0.077931240295826,0.568691329070107,0.569565633232943,0.646671831600337
gene_582,1385.47497944734,0.044378704372953,0.074101969683014,0.598886973757808,0.54924825854185,0.628911676273732
gene_3210,1400.00298186777,0.044583888278301,0.073599162341215,0.605766245974432,0.544669986780208,0.624972071863382
gene_7597,80.6812199455002,0.044619241209665,0.282445122402593,0.157974904399536,0.874476573768215,0.906803456706005
gene_2784,1942.47247991018,0.044963958616491,0.068633142017662,0.655134783206046,0.512380978968293,0.595909564812807
gene_1359,1449.66332964362,0.045057557449666,0.071253183482575,0.632358517155726,0.527152634033665,0.609113087388242
gene_6518,1625.14460621179,0.045162542891571,0.064892530200451,0.695959037998145,0.486454482728381,0.57252418320755
gene_4717,64.5031780128095,0.045333343961409,0.290214100033803,0.156206552183815,0.875870212240626,0.907820194825504
gene_5722,367.446174113076,0.045436807973718,0.15155496147804,0.299804160356051,0.764326541717427,0.819791826065942
gene_7202,2661.67664087253,0.045456416197595,0.061942872199605,0.733844179054475,0.46304371134488,0.550305950930617
gene_6159,620.420184075342,0.045470637653374,0.100031753297097,0.454562038099289,0.64942435069223,0.717928109972024
gene_3159,1683.05839275144,0.045535387330934,0.074493751441701,0.611264521515877,0.541024474593567,0.621546416263645
gene_2409,1081.51572498216,0.045649060358442,0.092994252961298,0.490880445885618,0.623511007996466,0.694757363879768
gene_4473,2066.52777916391,0.045759330842834,0.071041375491558,0.644122253070275,0.519496161236653,0.603014385432649
gene_7341,3510.75271738512,0.045788277435983,0.054846163029581,0.834849238428722,0.403802598584085,0.492847015342767
gene_2184,2073.94262146692,0.045939540111477,0.063647666039562,0.721778864332943,0.470430445971247,0.556946390057913
gene_705,844.119993089434,0.045949836348316,0.086802901287415,0.529358301010817,0.596556919078015,0.670160737996298
gene_3761,2318.6113134085,0.045995752577658,0.060156800103703,0.764597726248188,0.444511123531028,0.532455755941693
gene_1228,4034.37151896604,0.046141833794484,0.057069156270622,0.808524898733037,0.418788478572511,0.507286595139653
gene_7210,1568.1844181638,0.04660695942991,0.071515692998815,0.65170254912698,0.514593077824625,0.598244106496952
gene_5200,3806.24538873359,0.046870709511924,0.065246222213501,0.718366641344417,0.472531249723701,0.558931634340326
gene_6726,559.315659472894,0.046916027926144,0.099142868633269,0.473216365159732,0.636058823351227,0.706113129594356
gene_6819,1484.33935053363,0.047401389356108,0.069156928555092,0.685417793220052,0.493080319168039,0.578463332257646
gene_3220,5102.50234191328,0.047419109440564,0.053881532985458,0.880062366699219,0.37882552469684,0.468216588501723
gene_4609,1663.46073233106,0.047613931222843,0.069610393589619,0.684006062421458,0.493971337621774,0.578890499129375
gene_6144,583.656557234456,0.047712396851,0.103911878191334,0.45916210621414,0.646117760238267,0.714992156369088
gene_4051,2622.59677383849,0.047912754725586,0.05898503387807,0.812286635702008,0.416627177255712,0.505039785301518
gene_1819,512.27676598123,0.048012092369837,0.102588012184981,0.46800879895464,0.639778297401495,0.709048173582828
gene_2334,404.523974187401,0.048087855763772,0.121155217160503,0.396911143331668,0.691432986565914,0.755749667955979
gene_3014,133.605686141322,0.048180154028109,0.203026689882172,0.237309459441368,0.81241672411043,0.857388151501531
gene_2359,1016.80402073586,0.048195288392279,0.078720506558325,0.612232955545971,0.540383640417137,0.620918416878119
gene_3311,611.661758682318,0.048250363049379,0.124012254856418,0.389077378725546,0.697218906842261,0.760686367743162
gene_5103,3629.90561482729,0.04828093840325,0.064716849434928,0.746033510976082,0.45564717199484,0.543249440728881
gene_7524,138.826829007582,0.048379003415699,0.196747112603035,0.245894350242944,0.805764017438851,0.852310077496295
gene_3508,530.158635143491,0.048393858400065,0.114281954415061,0.423460192361631,0.671959536397291,0.738752045352059
gene_2270,524.102532689218,0.048415669226811,0.102636546992596,0.471719583768767,0.637126956757259,0.706703836268526
gene_7285,3104.49403959312,0.048518408614951,0.058155598983978,0.834286112818088,0.404119775512974,0.493069848350588
gene_6861,770.675583295326,0.048596912326424,0.089555591584737,0.542645204687656,0.587374108422308,0.662328108573358
gene_892,5297.09056788337,0.048622818736566,0.049207373784902,0.988120580242878,0.323093597726028,0.411244061828534
gene_3412,1042.23503566587,0.048763941675614,0.089160427003341,0.546923599567176,0.584431221635949,0.659799728211025
gene_1329,4133.70333446968,0.048784949074608,0.057990259335332,0.841261095117829,0.400201680665815,0.489267336600344
gene_7131,4370.5607791867,0.04918088546304,0.049889607851759,0.98579418802357,0.324234118373317,0.412297706079649
gene_3272,2283.58533587102,0.049270587129746,0.064432773340262,0.764682079871891,0.444460879622064,0.532455755941693
gene_2214,253.928136261407,0.049372556907484,0.156600334072921,0.315277468593995,0.75255099076287,0.808872677500218
gene_1868,420.535269714581,0.049527884184357,0.12885443101217,0.384370826795075,0.700703619753128,0.763630216453598
gene_5729,6892.99892724683,0.049652812144552,0.047279148329651,1.05020529977298,0.293623733422662,0.37933906924629
gene_6277,2390.52565201149,0.049655467677381,0.062628646448011,0.792855514107287,0.42786200833252,0.515813160008773
gene_4808,1106.0689331656,0.049657922506775,0.080831291393866,0.614340333433585,0.538990455065665,0.619425571790945
gene_6487,88.3572041179073,0.049839202637058,0.232002584680171,0.214821755997951,0.829906290036936,0.870721353481375
gene_3386,1886.69325801589,0.049857932892351,0.075147604411865,0.663466697076491,0.50703170168092,0.590776748370472
gene_5341,2507.13035412281,0.049907444210793,0.062652484673008,0.796575658112635,0.425697519167435,0.513767492924154
