Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene_1284,390.052940757564,0.070556071016916,0.128322186594195,0.549835323801343,0.582432328072152,0.627286202264174
gene_2799,975.238221737453,0.070872388579653,0.081565581523784,0.868900671773993,0.384901462102013,0.432397421021455
gene_5865,7252.67394413628,0.071294370108514,0.065264932165601,1.09238403753512,0.274664336175163,0.317287993265263
gene_741,2703.57040159374,0.071562954712452,0.062037386947544,1.1535455994135,0.248686512468868,0.2895176136128
gene_4402,4355.41248473468,0.071642107639716,0.060649776299,1.18124273511784,0.237506308900538,0.277682135966424
gene_2825,1615.7548398826,0.071880937583903,0.069870318172837,1.02877644561589,0.303584737623108,0.348187485673825
gene_6801,706.165822746445,0.072099850965504,0.093604629401584,0.770259456465344,0.441146001206331,0.48799270715739
gene_5637,4344.05353262205,0.072296568094323,0.056984716827674,1.26870101527316,0.204547720230235,0.241989230574754
gene_4856,776.224869009695,0.072391039059253,0.094971735839769,0.762237716507439,0.445918139303887,0.492360142725424
gene_5063,409.669833034474,0.072448165962681,0.111005514538652,0.652653755660532,0.513979521745457,0.559799071488466
gene_5542,850.279686490038,0.072736716462777,0.098343535589066,0.739618684920088,0.459531400788744,0.505692264755469
gene_6283,2938.74634249371,0.072970017300523,0.062261107699039,1.17199998517935,0.241197062102303,0.281746630388918
gene_3607,9667.76402441761,0.073026101354382,0.053651066971824,1.36113045790372,0.173472465893099,0.208452379947959
gene_3371,2511.34383059405,0.073052226359671,0.071740495126159,1.0182843905831,0.308542824294392,0.353257617851775
gene_1044,716.59483863822,0.073684069572896,0.095831224687645,0.768894165894918,0.44195614109807,0.488559992505485
gene_1650,649.382873946587,0.073688053993018,0.097341763043917,0.757003486363537,0.449047773756803,0.495316498893013
gene_7907,1554.0339640569,0.073959217169614,0.097597068125854,0.757801628571883,0.44856974728728,0.494872264001223
gene_4175,496.74714301637,0.074267774584129,0.123325490487574,0.602209440161215,0.547034732631857,0.592756231056577
gene_3510,10739.1747436332,0.074443285093655,0.049468764601913,1.50485433975798,0.132361529578157,0.1624369555484
gene_1092,2230.45874651448,0.074513846364862,0.073517627192832,1.01355075252111,0.310797167060903,0.35546716183945
gene_2676,656.705553435488,0.075121378815403,0.094339275408223,0.796289546324579,0.425863760210694,0.473077994907029
gene_2060,1544.83769389365,0.075157812728167,0.077127173013083,0.974466064190087,0.329825181056543,0.375661222506439
gene_6074,671.879909631028,0.075670298275226,0.091126840139048,0.830384310042609,0.406321533655353,0.454054988221121
gene_1402,107.821993558479,0.075855919911582,0.232009895595027,0.326951226442464,0.74370477521066,0.777042042196736
gene_179,3223.62295535389,0.076142467667899,0.058726784002329,1.2965543569503,0.194784565712323,0.23131327017653
gene_933,2299.87657626831,0.076537221770042,0.068289115592064,1.1207821496364,0.262380604153826,0.304381876297759
gene_778,25440.6958387022,0.076556012071878,0.048520573153258,1.5778051885345,0.11461037149184,0.142223653529478
gene_2804,921.982920824853,0.077109880833515,0.090821383348522,0.849027816914107,0.395865813955007,0.443426379537536
gene_2408,9137.64981904597,0.077112515053506,0.053784776713735,1.43372381118045,0.151651094410601,0.184149758647863
gene_2587,580.070406422588,0.077352743037432,0.100587177338976,0.76901196637376,0.441886206773988,0.488559992505485
gene_2965,660.375416568645,0.077600823787244,0.112804743315858,0.687921637922243,0.491502129687524,0.537945914256606
gene_5038,1067.06276185292,0.078177419706804,0.078515464084086,0.995694550350997,0.319398578777264,0.364290622644969
gene_330,26844.687300628,0.078361781219001,0.045192292206754,1.73396341262128,0.082924575136203,0.104920737703611
gene_3887,3419.27861008276,0.078567887461121,0.066392204196736,1.18339025510141,0.236654517607308,0.276747266337732
gene_6779,674.02047326084,0.078594152951099,0.094961866804229,0.827639089205423,0.407874924017347,0.455558517513343
gene_5371,13901.983663302,0.078860138534327,0.053415011118429,1.47636660337826,0.139845503071565,0.170919392281405
gene_6495,343.766968957255,0.079089934210034,0.149861855776861,0.527752267580325,0.597671290676167,0.641491409799877
gene_1076,286.019945246241,0.079112893016117,0.133632329011713,0.592019113946462,0.553837789110071,0.599436158047175
gene_6576,1022.21152214508,0.079344415748972,0.078036404597142,1.01676155069654,0.309266877132081,0.353901668417335
gene_5590,2713.87875710528,0.079538724841219,0.060320743673403,1.31859655563713,0.187304025828722,0.223236511654069
gene_5781,675.822319376975,0.079690895331337,0.098589827241281,0.808307485277441,0.41891359455199,0.466224019131431
gene_6275,2146.98011632302,0.079777572791247,0.068586450576617,1.1631681202416,0.244761298244035,0.285453515500007
gene_86,528.082750461062,0.080371425788829,0.123314869014582,0.651757784207882,0.514557439171271,0.560335660648238
gene_4675,1689.05746813315,0.080560109847725,0.06994984575045,1.15168388126441,0.249450998230956,0.290356191140795
gene_6579,4754.30869431038,0.080642203829994,0.059804398375059,1.348432657482,0.177519266148987,0.212770630269382
gene_1844,1036.03497351139,0.080924492231394,0.104273231510731,0.776081176913239,0.437701056900311,0.484589699680941
gene_2281,6075.3035531949,0.081030873546303,0.053878419065915,1.5039578916963,0.132592209277629,0.162689675486627
gene_75,2966.43989635921,0.08105275072768,0.068279957410475,1.18706504517013,0.235201964763071,0.275280300325519
gene_3436,1003.01631290876,0.081302324781887,0.092402821949792,0.87986841815354,0.378930595243393,0.426272600125762
gene_6055,728.613767523113,0.08139160308804,0.112363437553378,0.724360208803463,0.468844622023159,0.514648580587546
gene_2219,72.5929601609255,0.08158127674057,0.284259035282989,0.286996248542646,0.774115192694749,0.804849598478739
gene_1111,770.418239415037,0.081613534197896,0.093389680071458,0.873903135072836,0.382171007247584,0.429697234115356
gene_1019,3928.4368043542,0.081642350806233,0.061822781517901,1.32058682579,0.186639167938887,0.222565176136122
gene_5643,2693.11000069617,0.081807874840758,0.069697870972633,1.17374998259101,0.240495183527117,0.281076607632244
gene_3982,267.792175140824,0.081855268155416,0.149414959890603,0.547838504359587,0.583802797306108,0.628556230416552
gene_1802,3249.29815060501,0.082258857363166,0.061992371914468,1.32691901959584,0.184535472033019,0.220336359250325
gene_5111,570.089965654055,0.082347907780543,0.112278245000405,0.733427101396589,0.463297974672297,0.509070141678537
gene_2864,1066.19285710584,0.082637844984669,0.085027606302845,0.971894289136345,0.3311031411728,0.376855575225769
gene_1810,114.270059152292,0.082799776481109,0.240853567658236,0.343776416875001,0.731014437088244,0.765608332533625
gene_11,4593.16121036764,0.082886459986643,0.057477532488553,1.44206712428287,0.149283438383587,0.181543023218375
gene_376,3301.38387439957,0.083089817648503,0.057869103726244,1.43582347571113,0.151052577965688,0.183490777114853
gene_3918,3415.87818844463,0.083205865128369,0.06195303734858,1.34304739023867,0.179256629169433,0.214696396415941
gene_4691,20655.985502706,0.083974474283564,0.047079778651872,1.78366331975576,0.074478389829336,0.094994234887625
gene_813,856.488669788494,0.084125046999953,0.098527437290442,0.853823557309897,0.39320275980777,0.440518448988661
gene_1511,12944.8238993446,0.084300847221034,0.055915853477021,1.50763767302018,0.131647285289611,0.161619267383947
gene_5463,299.918233982966,0.084573130373322,0.1512133840867,0.559296591926216,0.575959320889824,0.621332777976172
gene_4767,530.737282715736,0.084637457055693,0.10420438221461,0.812225505846586,0.416662246659522,0.464032691849041
gene_556,2245.21436977428,0.084641463714132,0.068537426697266,1.2349670507473,0.216842767120912,0.255477237548979
gene_3237,3140.73039920044,0.084690039580383,0.063375545976825,1.33632047306311,0.181444547579652,0.217040038442412
gene_6587,3714.05072121559,0.084824896995617,0.058513038450785,1.44967513637089,0.147149132397449,0.179146369188448
gene_463,250.62011143725,0.085410383970476,0.137522749226815,0.62106367456056,0.534557728722311,0.580672277456908
gene_4560,1531.59094913824,0.086068346499668,0.074384063311278,1.15708046412434,0.247239487434705,0.28798602709699
gene_6166,590.792329651362,0.086200486732862,0.107282934971402,0.803487402314637,0.421693075228333,0.468995445551896
gene_5382,4843.41422548035,0.086378654418469,0.057522166553489,1.50165857084237,0.133185308502538,0.1633869042156
gene_244,2799.08283429629,0.087247705090505,0.064153257204104,1.35998870350301,0.173833498693366,0.208771713303762
gene_5023,851.350527753477,0.087419615318894,0.087245932444315,1.00199072747247,0.316348071253595,0.361250151554878
gene_1553,2170.33291573425,0.087930403297125,0.067715512810045,1.2985267281928,0.194106397876582,0.230674625428092
gene_293,1878.31450428798,0.087958115810831,0.06952287607298,1.26516796742556,0.205811122594371,0.243308724606619
gene_3100,563.805989041987,0.087988610775908,0.115690434276201,0.760552169471878,0.44692459769926,0.493308652486738
gene_668,561.262311271413,0.088081400819153,0.108683268198639,0.810441223189641,0.417686633418304,0.465015962306658
gene_6423,290.136030845838,0.088170748443654,0.148418022383925,0.594070363069354,0.552465052272745,0.598048878226079
gene_7125,4142.72251101327,0.088327167575142,0.056240369048416,1.57052965813761,0.116291940155284,0.144142357654286
gene_1303,88.5974706418343,0.08853477094312,0.269799519993307,0.328150216669458,0.742798086793075,0.776218096103479
gene_6346,1930.04456884494,0.088758804529613,0.067054652878155,1.32367853265747,0.185609830988729,0.221418043391818
gene_364,760.192042644122,0.088898351526641,0.100503181412282,0.884532711078708,0.376408712404308,0.423653162094781
gene_1495,1135.11099426091,0.089380865143066,0.080301546698615,1.11306529970745,0.265680385470524,0.307612678121852
gene_4818,2703.13568729595,0.089753522207746,0.065019105394087,1.38041767360134,0.16745808161787,0.201963664307203
gene_1644,1261.80071119428,0.08977014226423,0.08364400207139,1.07324063938991,0.283163161123347,0.326433937229182
gene_5943,1092.01602602789,0.090509631558445,0.082180210218993,1.10135556136029,0.270741938212659,0.312976918725256
gene_2380,3582.65624028144,0.09055237577859,0.059918897305804,1.51124903578323,0.130725013282346,0.160638532866865
gene_4616,941.455767645309,0.090597725887966,0.089084074242903,1.01699127097551,0.309157581960281,0.353838200631191
gene_7504,621.388510224102,0.090775373628628,0.100509363619205,0.903153401433763,0.366444485342894,0.413358435242636
gene_4605,930.111342726022,0.09134086340595,0.085240289159108,1.07156914068481,0.283913600200853,0.327167618183767
gene_2510,10199.7087031646,0.09141924720971,0.059679872536711,1.53182711899183,0.125565102046776,0.154702795830076
gene_4055,1217.6318716597,0.091550992378132,0.074577611709935,1.22759351337522,0.219599598061313,0.25844729777207
gene_2982,1859.65711096497,0.091861229459694,0.078376447571845,1.17205145557902,0.241176398095571,0.281746630388918
