log2FoldChange (1),log2FoldChange (2),padj (1),padj (2),Gene_id
-1.61765643230461,-1.31832167698626,1.33570368684068e-266,1.14917204908506e-164,gene_7444
-1.13530130792582,-1.18349543023823,9.88574523915794e-17,7.51476018333903e-10,gene_7455
-1.38734558729969,-1.04465806462632,8.09752823889184e-25,5.33362223815614e-10,gene_7508
-1.2312475787101,-1.52858201668308,1.64296362069655e-31,4.58226018668181e-26,gene_7514
-1.80121499864029,-1.17407058880715,2.02070042965337e-106,5.6860507108054e-26,gene_7540
-1.10671613184731,-1.50456669370234,3.0357603931408e-24,2.24666455647765e-43,gene_7590
-1.23036077014933,-2.15096685171638,1.70163166531212e-37,1.74167460845076e-295,gene_76
-1.18250892872528,-1.39674019923564,5.52821375043901e-121,9.69889123559592e-97,gene_7662
-2.47014718412821,-2.26161994078711,0.0,0.0,gene_778
-1.65195964789524,-1.05853445955181,9.05542219364096e-127,6.58289789379723e-26,gene_784
-1.34553686973405,-1.00075593855928,3.73671853766694e-77,4.66951008734447e-34,gene_815
-1.46766341401904,-1.3044477971354,3.13023351917313e-51,1.09606541409871e-14,gene_87
-2.09070703140195,-1.70812616038321,7.15044802225712e-151,7.90658610753897e-44,gene_904
-1.07728051720044,-1.08482086169847,1.05119525918382e-19,1.3509796549553e-16,gene_907
