#proteinId,ecNum
435807,5.99.1.2
435832,3.4.11.9
435881,3.4.19.12
435927,1.1.1.100
435936,3.1.-.-
436291,4.1.1.65
436291,4.1.1.65
436373,2.7.1.39
436453,2.7.1.33
436716,3.6.3.1
436833,6.3.2.19
437124,3.1.3.41
437308,5.3.1.9
437308,5.3.1.9
437308,5.3.1.9
437640,3.1.3.16
437761,1.6.5.2
437791,3.1.-.-
437873,3.1.22.-
437890,1.1.2.4
438317,3.6.3.1
438450,1.1.1.8
438579,6.3.2.17
438604,1.1.1.156
438612,2.7.7.6
438612,2.7.7.6
438612,2.7.7.6
438719,3.2.1.58
438737,1.3.1.42
438858,2.1.1.77
439024,1.1.2.3
439128,1.14.11.13
439150,3.6.3.44
439198,3.1.21.-
439406,2.3.1.7
439487,3.6.1.1
439515,1.14.11.-
439598,3.6.1.3
439754,3.6.1.3
439923,3.4.21.53
439956,3.4.19.12
439995,6.3.2.19
440256,3.2.2.-
440262,2.8.1.-
440646,2.7.4.2
440699,3.1.4.4
440699,3.1.4.4
440715,3.1.1.5
440755,2.3.1.50
440973,2.4.1.144
441118,3.2.1.58
441150,1.14.14.-
441288,2.3.1.22
441290,3.5.1.41
441458,1.1.1.1
441458,1.1.1.1
441458,1.1.1.1
441458,1.1.1.1
441458,1.1.1.1
441671,3.4.23.5
441687,2.4.1.34
442043,3.2.1.14
442358,1.1.1.116
442451,1.3.3.4
442489,3.1.4.-
442574,6.3.2.-
442574,6.3.2.-
442762,2.7.1.47
442873,1.1.1.-
442873,1.1.1.-
442873,1.1.1.-
442873,1.1.1.-
442873,1.1.1.-
442873,1.1.1.-
442873,1.1.1.-
442873,1.1.1.-
442873,1.1.1.-
442873,1.1.1.-
442873,1.1.1.-
442873,1.1.1.-
442910,5.99.1.2
443002,1.10.3.3
443019,3.4.-.-
443019,3.4.-.-
443173,3.2.1.20
443173,3.2.1.20
443296,2.1.1.-
443296,2.1.1.-
443296,2.1.1.-
443296,2.1.1.-
443296,2.1.1.-
443296,2.1.1.-
443296,2.1.1.-
443296,2.1.1.-
443648,1.14.11.1
443715,2.7.7.2
443792,1.14.11.13
443868,1.1.2.3
444074,3.5.2.2
444074,3.5.2.2
444074,3.5.2.2
444182,1.4.3.5
444200,6.3.2.17
444218,1.4.3.2
444218,1.4.3.2
444218,1.4.3.2
444218,1.4.3.2
444218,1.4.3.2
444218,1.4.3.2
444218,1.4.3.2
444218,1.4.3.2
444269,2.4.1.16
444285,2.3.1.48
444396,5.3.1.23
448467,1.17.4.1
448467,1.17.4.1
449418,3.4.23.-
449456,6.1.1.20
449456,6.1.1.20
449771,4.2.1.36
449927,2.1.1.14
449981,6.1.1.12
449981,6.1.1.12
450185,1.4.1.2
450185,1.4.1.2
450259,3.1.13.-
450402,2.3.1.7
450915,1.1.1.100
450953,3.1.3.15
451049,6.1.1.4
451049,6.1.1.4
451060,1.8.3.2
451657,1.14.11.12
451961,1.2.4.2
451961,1.2.4.2
451961,1.2.4.2
452245,2.1.1.-
452245,2.1.1.-
452245,2.1.1.-
452245,2.1.1.-
452245,2.1.1.-
452245,2.1.1.-
452245,2.1.1.-
452245,2.1.1.-
452572,6.2.1.12
453006,1.97.1.4
453219,3.1.3.43
453708,1.2.1.41
453708,1.2.1.41
454668,3.5.2.3
455159,2.1.2.2
455159,2.1.2.2
455560,2.7.7.7
455560,2.7.7.7
455560,2.7.7.7
455646,3.1.1.-
455646,3.1.1.-
455646,3.1.1.-
455953,2.7.7.6
455953,2.7.7.6
455953,2.7.7.6
456054,6.3.2.19
456252,3.2.1.23
456252,3.2.1.23
456252,3.2.1.23
456252,3.2.1.23
456252,3.2.1.23
456416,6.3.5.3
456742,1.15.1.1
457052,5.2.1.8
457280,3.4.24.-
457291,5.3.1.8
457480,3.2.1.20
457480,3.2.1.20
457550,2.1.1.127
457588,2.6.1.42
457588,2.6.1.42
457588,2.6.1.42
457674,1.1.1.41
458237,3.6.4.-
458477,2.7.4.3
458756,1.14.11.-
458766,1.14.11.-
458870,4.2.1.20
458921,1.14.11.-
459361,2.4.1.16
459503,2.7.7.7
459503,2.7.7.7
459503,2.7.7.7
459794,3.6.1.-
459794,3.6.1.-
459798,2.1.1.100
