Gene,ATSwo1,ATSwo2,ATSwo3,ATSAc1,ATSAc2,ATSAc3
gene_2575,2175,2314,2076,1958,2283,2149
gene_2576,113332,129572,124810,74131,87502,81769
gene_2577,700,967,862,123,118,135
gene_2578,974,1301,1306,680,836,789
gene_2579,605,741,597,581,574,545
gene_258,1166,1400,1166,836,942,920
gene_2580,2073,2434,2123,2147,2164,1932
gene_2581,2108,2577,2258,1461,1589,1336
gene_2582,319,449,428,168,146,150
gene_2583,4886,6072,5472,7015,7613,6903
gene_2584,869,1173,1001,911,918,826
gene_2585,9491,10749,10060,7846,8646,7875
gene_2586,190,175,164,129,136,158
gene_2587,814,756,787,611,580,528
gene_2588,1824,1955,2191,1667,1647,1361
gene_2590,1538,1790,1712,1558,1608,1559
gene_2591,370,497,477,382,397,382
gene_2592,1113,1238,1162,1231,1133,1066
gene_2593,1574,1918,1868,1997,2036,2367
gene_2594,2311,2534,2383,1569,1936,1561
gene_2595,6112,6613,6315,3729,4322,4181
gene_2596,1095,1278,1213,1234,1033,998
gene_2597,40,50,46,57,35,34
gene_2598,451,552,550,486,494,577
gene_2599,1075,1225,1079,920,924,844
gene_260,467,564,512,273,329,348
gene_2600,1685,2173,1758,1772,2012,1783
gene_2601,1756,2065,1993,1173,1369,1204
gene_2602,1387,1637,1453,1436,1468,1403
gene_2603,98,103,64,102,71,69
gene_2604,1079,1327,1307,871,795,814
gene_2605,391,478,311,125,173,172
gene_2606,6578,6461,7167,5341,5625,5149
gene_2607,2412,2859,2523,2214,2482,2417
gene_2608,529,537,456,307,316,342
gene_2609,2920,2798,2892,2659,2678,2557
gene_261,1075,1106,1151,1078,1189,977
gene_2610,2726,3375,2646,2655,3038,2989
gene_2611,728,944,754,854,887,776
gene_2612,2699,3152,2905,2539,2627,2577
gene_2613,4996,4800,5004,2753,2556,2544
gene_2614,2073,2329,2446,1497,1721,1593
gene_2615,3098,3356,3037,2731,3114,2799
gene_2616,323,416,295,371,425,338
gene_2617,633,648,583,164,247,263
gene_2618,1253,1515,1186,1195,1347,1094
gene_2619,10800,11144,12086,10019,10385,9627
gene_262,2340,2953,2390,2764,3078,2591
gene_2620,1373,1591,1390,1351,1398,1267
gene_2621,6687,7490,6976,5873,6766,6577
gene_2622,1360,1555,1474,1258,1507,1365
gene_2623,64,51,51,29,72,40
gene_2624,146,239,220,157,168,154
gene_2625,392,429,343,228,214,196
gene_2626,449,553,564,294,388,445
gene_2627,1603,2087,1619,1455,1436,1350
gene_2628,9864,12086,11293,7035,7700,6640
gene_2629,1782,2127,2245,1788,1877,1709
gene_263,534,524,471,470,438,387
gene_2630,1336,1615,1642,1570,1610,1503
gene_2631,84,106,79,17,33,14
gene_2632,10526,11583,11956,7059,7880,7157
gene_2634,331,371,358,169,198,238
gene_2635,50,78,65,23,41,22
gene_2636,7009,7917,7056,6101,6846,6124
gene_2637,2205,2020,2182,2537,2136,1949
gene_2638,1829,1796,1882,1313,1293,1269
gene_264,943,1033,903,616,714,747
gene_2640,303,311,291,519,594,488
gene_2642,1868,2266,2391,4281,4849,4831
gene_2644,336,419,372,810,714,659
gene_2645,39675,43533,40592,22359,24003,22708
gene_2646,6998,7674,7570,4615,5082,4624
gene_2647,2354,2956,2526,2900,3097,2886
gene_2648,845,1199,987,539,702,580
gene_2649,1861,1665,1981,1710,1680,1534
gene_265,1093,1137,1074,752,798,705
gene_2650,10976,11162,12563,6212,7230,6427
gene_2651,3728,3877,3810,2357,2796,2606
gene_2652,10581,12302,11001,4375,4675,4373
gene_2653,2145,2621,2531,1999,2338,1954
gene_2658,777,982,794,812,877,719
gene_2659,4954,6141,5339,4574,5047,4417
gene_266,11575,13269,13640,10240,10816,10717
gene_2660,1132,1398,1272,760,828,758
gene_2661,1107,1499,1388,934,1080,923
gene_2662,24632,25995,26432,13890,15758,15604
gene_2663,4508,5074,4473,3899,3985,3675
gene_2664,2432,2215,2454,1902,1671,1690
gene_2665,2668,2766,2693,1869,1784,1796
gene_2666,635,700,658,169,121,123
gene_2667,18628,22117,20477,12190,14649,13307
gene_2668,11257,12575,11765,8794,10020,9161
gene_2669,1584,2209,1872,1302,1437,1438
gene_267,175,192,207,125,151,169
gene_2670,100,79,81,35,57,31
gene_2672,40,32,56,11,39,14
gene_2674,598,672,619,473,642,480
gene_2675,328,402,355,357,315,333
gene_2676,769,1087,932,863,1026,874
gene_2677,2010,2513,2189,1841,1931,1691
gene_2678,1892,1973,2028,652,772,647
gene_2679,1260,1397,1428,1086,997,937
gene_268,4129,4708,4430,3369,4281,3543
gene_2680,934,951,996,598,647,613
gene_2681,10800,12772,12396,4718,5751,5302
gene_2683,1037,1265,1265,756,790,748
gene_2684,279,296,307,174,166,178
gene_2685,351,419,349,228,223,191
gene_2686,2313,2335,2303,1543,1662,1577
gene_2687,611,668,785,404,362,341
gene_2688,1951,1774,1916,1219,1168,1191
gene_2689,1720,2182,1868,1415,1584,1465
gene_269,3240,4035,3730,3795,4174,3833
gene_2690,143932,141110,163107,107703,109416,106107
gene_2692,8497,9741,9172,8192,9631,8764
gene_2693,10809,13216,11949,13184,14206,12796
gene_2695,1093,1214,1080,557,603,569
gene_2696,803,974,847,881,1048,969
gene_2697,863,941,909,726,755,728
gene_2698,1139,1141,1184,665,963,783
gene_2699,1815,1926,1898,1921,1793,1708
gene_27,213,264,214,125,183,96
gene_270,1560,1577,1582,1182,1273,1207
gene_2700,1023,1234,1126,745,1007,861
gene_2701,3000,3319,3283,2835,3090,3035
gene_2702,692,920,858,657,730,632
gene_2703,843,788,1026,536,519,525
gene_2704,4735,4330,4698,4114,4333,4229
gene_2706,1091,1318,1317,1295,1566,1336
gene_2707,312,361,414,333,375,396
gene_2709,520,600,614,527,534,600
gene_271,3794,3889,3759,3659,3769,3759
gene_2710,306,357,376,129,157,138
gene_2711,1719,2201,1950,1891,2044,1790
gene_2712,288,376,346,384,343,288
gene_2713,416,527,479,75,113,72
gene_2715,816,1051,1156,284,431,347
gene_2716,407,474,436,302,280,263
gene_2717,1604,1979,1580,1600,1635,1603
gene_2718,509,631,566,360,433,387
gene_2719,88,116,114,46,52,45
gene_272,28388,29770,32102,17816,20002,18957
gene_2721,926,1105,952,848,913,904
gene_2724,1551,1599,1826,1262,1366,1404
gene_2725,1709,1890,1724,1268,1347,1405
gene_2726,1386,1770,1493,1533,1563,1462
gene_2727,3323,4039,3605,2745,2642,2409
gene_2728,107,200,156,121,116,100
gene_2729,10998,13453,12747,8642,9817,8935
gene_273,7404,7838,8096,6587,6670,6400
gene_2730,1041,1255,1220,1159,1353,1206
gene_2731,839,908,818,682,760,649
gene_2733,2146,1835,2081,2183,2105,2180
gene_2734,1929,2367,2523,1597,1668,1431
gene_2736,1116,1340,1238,1046,1135,1064
gene_2737,825,862,813,512,465,465
gene_2738,1317,1493,1305,845,842,708
gene_2739,302,323,377,114,146,98
gene_274,308,252,281,287,189,284
gene_2740,2172,2527,2235,2221,2460,2081
gene_2741,3181,3870,3272,2887,3229,3159
gene_2742,948,1301,1161,1688,1624,1630
gene_2743,472,717,623,752,641,755
gene_2744,2207,2719,2446,2186,2431,2085
gene_2745,532,515,478,190,204,209
gene_2746,1666,1818,1658,1992,1949,1923
gene_2747,635,676,781,230,231,220
gene_2748,30,42,45,47,29,39
gene_2749,451,543,387,412,548,319
gene_2750,1387,1491,1682,1446,1606,1371
gene_2751,3914,4212,4121,4220,4617,3904
gene_2752,948,1048,984,535,658,660
gene_2753,769,871,876,654,719,776
gene_2754,3576,4154,4110,3057,3311,3136
gene_2755,18756,20445,19839,13842,14996,14013
gene_2756,547,524,631,484,509,406
gene_2757,1154,1467,1406,1130,1145,1163
gene_2758,1435,1617,1550,1329,1407,1157
gene_2759,693,810,784,504,639,543
gene_2760,7685,8313,8476,5882,6194,5572
gene_2761,41,51,36,36,35,34
gene_2762,638,783,620,739,878,700
gene_2763,556,643,590,652,652,499
gene_2764,1288,1640,1330,1434,1328,1520
gene_2765,27,57,47,15,30,28
gene_2766,472,605,592,266,343,279
gene_2767,568,624,569,354,485,366
gene_2768,598,742,609,599,622,641
gene_2769,3816,4255,3927,3796,4343,4046
gene_277,668,893,702,562,704,668
gene_2770,246,183,261,138,253,186
gene_2771,11071,11185,11716,7510,7845,6955
gene_2772,683,775,791,676,709,742
gene_2774,419,449,433,418,406,495
gene_2775,939,1230,963,1144,1332,1267
gene_2776,962,1041,1045,704,664,708
gene_2777,9395,11263,9982,9532,10811,10370
gene_2778,574,692,575,521,606,618
gene_2779,2264,2695,2337,1661,1757,1872
gene_278,1260,1539,1345,1319,1399,1250
gene_2780,185,255,184,211,257,182
gene_2781,1230,1408,1412,1009,973,995
gene_2782,4658,4505,4308,4929,4552,4515
gene_2783,1602,2025,1748,1374,1551,1359
gene_2784,2009,2324,1928,1771,1963,1719
gene_2785,2761,2955,3077,2073,2296,2281
gene_2787,1484,1667,1369,1235,1456,1393
gene_2788,1900,2236,2100,1259,1410,1475
gene_2789,2760,3139,3195,1834,2063,1827
gene_279,2183,2948,2581,1335,1700,1571
gene_2790,1329,1469,1472,335,328,325
gene_2791,2298,2700,2556,2313,2350,2149
gene_2792,1019,1087,1185,721,730,814
gene_2793,2474,2494,2671,2601,2880,2428
gene_2794,3914,4711,4367,6232,7413,6627
gene_2795,16834,20355,18306,33181,35942,32347
gene_2796,2908,3456,3397,2547,2980,2512
gene_2797,4142,4352,4496,3151,3336,3323
gene_2798,9362,11523,10711,6174,6673,6325
gene_2799,978,1237,1009,852,871,847
gene_280,1609,1489,1542,1783,1856,1669
gene_2800,2785,3603,3037,3286,3393,3126
gene_2801,2417,2950,2352,1780,2086,1889
gene_2802,843,900,881,380,406,370
gene_2803,4931,5983,4905,5578,6318,5906
gene_2804,1316,1505,1305,1151,1311,1126
gene_2805,4084,4923,4473,2723,3182,2945
gene_2806,1122,1336,1279,919,1155,949
gene_2807,544,610,677,560,515,574
gene_2808,2645,2808,2961,2104,2145,2144
gene_2809,427,454,485,475,529,387
gene_281,1030,1098,1045,1158,1309,1406
gene_2810,2270,2574,2535,1615,1829,1689
gene_2811,1771,2102,1904,1590,1749,1538
gene_2812,1691,1953,1881,1183,1296,1185
gene_2813,2497,2895,2857,1644,1949,1638
gene_2815,2248,2757,2419,878,1295,927
gene_2816,23113,24615,24007,13260,13928,13059
gene_2817,1120,1398,1179,957,989,854
gene_2818,4387,4722,5231,3116,3760,3419
gene_2819,4492,4659,4426,3354,3794,3521
gene_282,961,1202,1019,924,1112,819
gene_2820,1033,1020,1174,710,1016,933
gene_2821,16,36,19,30,49,35
gene_2822,4029,4838,4214,4273,4419,4155
gene_2823,3322,3607,3666,2392,2354,2289
gene_2824,2932,3093,3096,561,770,578
gene_2825,1458,1520,1396,1344,1354,1183
gene_2826,1697,1933,1863,1693,1643,1694
gene_2827,1462,1534,1495,1115,947,973
gene_2828,229,260,248,318,350,292
gene_2829,51,78,57,71,68,61
gene_283,96,71,83,22,48,67
gene_2830,838,907,859,777,679,726
gene_2831,1918,2090,2089,1746,2019,1807
gene_2832,1135,1477,1451,1400,1582,1678
gene_2833,11203,13636,11665,8510,9535,8613
gene_2834,2271,2701,2485,2688,2735,2605
gene_2835,181,221,189,169,176,165
gene_2837,76,74,89,28,58,36
gene_2838,3551,4187,3658,3648,3701,3537
gene_2839,910,980,900,920,824,809
gene_284,970,1275,1138,1112,1150,1010
gene_2840,491,419,538,446,461,432
gene_2841,1058,1069,1139,699,785,780
gene_2843,473,478,480,642,519,612
gene_2844,2833,3012,3079,2436,2379,2276
gene_2845,521,708,643,304,285,301
gene_2846,20378,24128,23073,11788,12876,11202
gene_2847,8439,10034,8963,7286,7527,7233
gene_2848,8370,8229,8353,5096,5655,4983
gene_285,1634,1625,1811,1575,1946,1617
gene_2850,1918,2417,1843,2094,2360,2173
gene_2851,3955,4735,4293,3407,3737,3371
gene_2852,821,950,842,704,854,803
gene_2853,2444,2999,2598,2002,2223,2029
gene_2854,2710,3233,2842,2326,2335,2210
gene_2855,4316,5119,4731,4760,5445,5132
gene_2856,526,449,584,270,286,345
gene_2857,1326,1488,1604,1129,1295,1182
gene_2858,2015,2179,1994,1680,1614,1585
gene_2859,9371,11419,10332,7222,7368,6925
gene_286,568,610,730,533,566,594
gene_2860,2167,2531,2278,2433,2622,2366
gene_2861,1462,1492,1523,1059,1177,897
gene_2862,2224,2575,2361,2122,2101,2145
gene_2863,5815,6584,6395,3604,4419,3620
gene_2864,1178,1438,1158,1339,1483,1311
gene_2865,2749,3266,3084,3288,3269,2858
gene_2866,3660,4207,3879,3009,3098,2810
gene_2867,12360,15140,13039,11942,12752,12453
gene_2868,238,299,321,218,209,195
gene_2869,552,494,552,223,190,201
gene_287,2710,3327,2934,2349,2532,2283
gene_2870,1965,2119,1998,1743,2068,1721
gene_2871,779,883,837,784,925,833
gene_2872,10208,9488,11326,6807,7277,6277
gene_2873,1949,2208,1933,891,968,788
gene_2874,1007,1092,1151,679,811,765
gene_2875,1056,1417,1145,1484,1664,1453
gene_2876,951,1215,1093,892,1041,866
gene_2877,1160,1412,1239,1304,1391,1324
gene_2878,405,524,439,218,294,236
gene_2880,2072,2559,2261,1842,2400,2247
gene_2881,2811,2927,2669,2860,3153,2856
gene_2882,2474,2835,2890,2032,2209,1989
gene_2884,4728,5255,5392,3788,4270,3949
gene_2885,62693,74967,68982,49826,55424,51928
gene_2886,1689,1718,1828,1585,1756,1949
gene_2887,992,956,1061,613,579,612
gene_2888,451,605,497,409,399,397
gene_2889,179,178,243,92,124,120
gene_289,6109,6705,6455,5045,5180,4999
gene_2891,178,204,170,221,209,197
gene_2892,38,45,30,39,23,16
gene_2893,89,85,87,96,69,56
gene_2894,285,401,307,268,255,315
gene_2895,3544,4367,3831,3436,3911,3408
gene_2896,864,890,916,916,1182,918
gene_2897,145,205,225,186,208,125
gene_2898,620,634,748,643,613,575
gene_2899,749,739,695,556,581,503
gene_29,3145,3573,3105,2577,2770,2474
gene_290,1005,1157,1095,768,896,759
gene_2902,575,611,576,518,567,545
gene_2903,2279,2498,2133,2495,2467,2278
gene_2904,1706,2122,2107,1521,1703,1624
gene_2905,73,106,84,50,81,66
gene_2906,261,313,202,146,182,169
gene_2907,14453,18557,15723,18490,19212,18222
gene_2908,17151,17359,21051,7128,7680,7650
gene_2909,1452,1630,1456,1394,1552,1301
gene_291,410,529,495,228,255,231
gene_2910,5204,5850,5121,4832,5455,5302
gene_2912,913,1178,982,727,671,619
gene_2913,1413,1726,1821,1281,1520,1310
gene_2917,8859,8567,9597,5870,6059,5636
gene_2918,1831,1870,2008,1225,1358,1177
gene_2919,81,146,88,107,132,69
gene_292,2661,3094,2856,2851,3329,3125
gene_2920,44,47,26,25,23,23
gene_2923,1535,1559,1585,1762,1750,1658
gene_2924,559,494,493,337,436,349
gene_2925,369,447,388,258,310,244
gene_2926,3205,2678,2750,3171,2680,2431
gene_2927,1494,1348,1615,1091,1471,1174
gene_2928,1297,1552,1754,1326,1303,1142
gene_293,1807,2004,2004,1608,1982,1790
gene_2934,457,537,526,407,564,422
gene_2936,2798,2617,2707,1631,1909,1598
gene_2938,6782,7565,6575,6091,6595,6089
gene_2939,2644,3114,2951,1845,2228,1765
gene_294,325,468,427,509,601,510
gene_2940,3024,3606,3112,3601,4213,3703
gene_2941,260,302,242,238,207,207
gene_2943,529,614,564,615,548,489
gene_2944,410,588,426,418,455,475
gene_2946,459,598,490,1139,1211,1023
gene_2947,1105,1254,1111,711,695,648
gene_2948,377,444,422,301,397,320
gene_2949,339,499,431,389,402,392
gene_295,203,273,282,156,162,136
gene_2950,1656,1970,1960,2162,2322,2083
gene_2951,383,354,422,283,402,334
gene_2952,599,858,763,721,889,746
gene_2953,1090,1115,1037,874,944,882
gene_2954,86,227,148,45,68,51
gene_2955,69,60,86,61,54,72
gene_2956,4027,4420,4581,2931,3323,3092
gene_2957,368,404,324,276,308,289
gene_2958,1448,1700,1510,1103,1329,1249
gene_2959,1595,1888,1606,1286,1393,1243
gene_296,2900,3788,3372,2796,2959,2646
gene_2960,3575,4193,3868,2900,3168,2829
gene_2961,72,79,59,17,30,21
gene_2964,76,93,60,111,107,85
gene_2965,469,473,420,597,584,619
gene_2966,115,116,130,52,106,73
gene_2967,485,520,498,380,490,463
gene_2968,74,63,73,70,64,67
gene_2969,61,61,71,71,48,58
gene_2970,749,781,703,699,757,724
gene_2971,374,485,413,340,375,297
gene_2972,60,38,51,30,47,34
gene_2974,57,64,60,34,50,65
gene_2975,2871,3664,3264,3624,4045,3685
gene_2976,917,1126,1054,972,1072,982
gene_2977,748,848,661,522,608,449
gene_2978,247,271,245,82,67,115
gene_2979,9620,10736,10186,12633,13058,12056
gene_298,990,1128,1050,860,964,882
gene_2981,17902,20721,19156,23569,25296,23192
gene_2982,1645,1917,1658,1477,1575,1323
gene_2983,4868,5611,5474,4199,4564,4191
gene_2984,487,640,644,313,364,407
gene_2985,8880,9708,10023,6388,7314,6816
gene_2986,1541,1720,1976,1563,1902,1771
gene_2987,577,669,621,289,477,399
gene_2988,2231,2444,2425,1731,1976,1778
gene_299,1914,1915,1871,2420,2479,2191
gene_2990,2887,3409,3247,2506,2868,2683
gene_2991,1279,1191,1401,1333,1467,1326
gene_2992,1741,2062,1926,1871,2025,1582
gene_2993,4700,5509,5353,3845,4405,3984
gene_2994,2547,2916,2610,1839,2024,1642
gene_2995,919,1014,897,421,491,415
gene_2996,427,507,462,222,275,251
gene_2998,181,264,236,303,369,295
gene_2999,1523,1345,1332,380,375,402
gene_3,1105,1531,1358,1173,1259,1075
gene_30,12902,14911,13213,11596,12438,11354
gene_300,10476,11187,10897,9095,10009,9219
gene_3000,71,52,61,29,34,59
gene_3001,613,720,575,579,528,492
gene_3002,581,629,594,644,606,592
gene_3003,1478,1682,1680,1756,2042,1610
gene_3004,100,114,103,141,115,144
gene_3005,117,179,146,97,76,104
gene_3006,1114,1279,1065,684,726,745
gene_3007,998,1233,1020,869,1065,920
gene_3008,280,418,373,345,430,465
gene_3009,1480,1759,1556,1417,1634,1502
gene_301,2541,2747,2772,1795,2110,1974
gene_3010,104,167,111,107,69,128
gene_3011,48,49,58,39,22,42
gene_3014,145,147,137,144,130,101
gene_3015,1720,1845,1822,1257,1352,1297
gene_3016,7080,8394,7673,6975,7162,6538
gene_3017,4734,4818,5079,2628,3123,2792
gene_3018,15021,17792,16820,10343,11587,10534
gene_3019,2263,2334,2275,1381,1548,1576
gene_3020,2758,3462,2974,2831,3047,2688
gene_3021,1271,1609,1484,1296,1484,1254
gene_3022,1182,1403,1110,1158,1385,1083
gene_3023,1329,1713,1487,1789,1965,1762
gene_3024,702,749,631,790,724,652
gene_3027,521,641,495,400,419,416
gene_303,985,1199,1054,1020,1015,1122
gene_3032,3087,3505,3261,3493,3784,3684
gene_3033,1750,1833,1670,1533,1847,1536
gene_3034,9235,9211,9892,7278,7869,7384
gene_3035,1290,1282,1352,932,989,1001
gene_3036,1941,2013,1860,1416,1527,1326
gene_3037,1322,1529,1510,809,807,742
gene_3038,5665,6140,6199,4744,5308,5052
gene_3039,930,1172,996,1159,1223,1271
gene_3040,951,1192,1043,1038,1138,980
gene_3041,1980,2249,2119,2262,2252,1768
gene_3042,2314,2591,2585,2017,2301,2132
gene_3043,115,110,158,104,91,129
gene_3044,74235,82593,78924,56581,61490,56449
gene_3045,59545,66599,64518,46693,48303,43288
gene_3046,893,927,877,382,510,493
gene_3047,52008,57939,57829,35574,40508,37011
gene_3048,1163,1149,1315,379,377,445
gene_3049,4705,5566,5324,3317,3831,3461
gene_305,2533,3120,2783,2303,2582,2478
gene_3050,211,220,260,253,277,211
gene_3051,19,23,28,31,29,11
gene_3052,52,33,28,26,36,33
gene_3053,984,1384,1216,1317,1204,1241
gene_3054,87,108,108,100,78,82
gene_3058,704,809,769,506,554,568
gene_3059,2338,2671,2669,1437,1629,1671
gene_306,615,672,727,357,409,386
gene_3060,19,19,12,17,19,11
gene_3061,25,42,33,16,13,41
gene_3062,1645,1995,1785,1582,1711,1631
gene_3063,2658,2619,2423,2233,2380,2239
gene_3065,1071,1264,1332,804,853,836
gene_3066,5580,4880,5148,4584,4460,4366
gene_3067,2018,2139,1982,1375,1579,1356
gene_3068,2133,2292,2476,1521,1576,1623
gene_3069,1700,2359,2060,1429,1913,1773
gene_307,31323,36362,33056,7674,8904,8464
gene_3075,8564,8806,9670,6941,7750,7523
gene_3076,28572,34610,30974,23681,27342,25332
gene_3078,164,198,263,209,132,122
gene_3079,1587,1834,1608,1664,1760,1639
gene_308,6221,6265,6215,4092,4110,3734
gene_3080,3304,3882,3412,3819,3984,3672
gene_3081,2487,3038,2988,1992,2315,1948
gene_3082,1268,1413,1316,1321,1431,1417
gene_3085,2240,2589,2460,1585,1638,1618
gene_3086,2536,3233,2797,2938,3054,2760
gene_3087,863,736,790,773,802,753
gene_3088,3698,3467,3777,2920,3299,3156
gene_3089,1410,1313,1317,1803,1554,1480
gene_309,84,84,108,71,57,71
gene_3090,107,86,88,55,58,69
gene_3091,1361,1613,1404,1076,1224,1120
gene_3092,5186,4983,5414,4533,4511,4484
gene_3093,659,723,862,412,503,384
gene_3094,262,266,264,154,225,225
gene_3095,1107,1380,1144,1125,1397,1402
gene_3096,444,623,543,506,506,443
gene_3097,6101,6844,6245,4860,5583,5300
gene_3099,2992,2528,2576,2851,2629,2626
gene_31,4459,5414,4960,6379,7048,6336
gene_310,2107,2426,2555,984,1055,1098
gene_3100,546,649,640,584,691,598
gene_3103,2168,2514,2509,2093,2124,1937
gene_3104,1836,2092,1831,2327,2414,2338
gene_3105,479,621,572,329,276,256
gene_3106,1109,1384,1215,1077,1174,1016
gene_3107,1562,1485,1658,1525,1568,1531
gene_3108,6278,7051,6587,5505,6201,5488
gene_311,1787,1998,1967,699,838,819
gene_3113,1502,1747,1470,1394,1390,1445
gene_3114,2624,3141,2679,3010,3243,3091
gene_3115,887,988,973,865,1006,928
gene_3116,2144,2341,2136,2104,2310,2250
gene_3117,711,871,878,722,604,596
gene_3118,706,643,594,403,501,460
gene_3119,6893,6371,6768,6623,6547,6253
gene_312,620,733,736,368,475,465
gene_3120,1507,1624,1682,1156,1470,1226
gene_3121,446,511,543,515,570,528
gene_3122,349,464,409,431,377,387
gene_3123,3070,3549,3351,2446,2860,2231
gene_3126,13929,16310,14613,11245,13286,12516
gene_3129,1452,1854,1664,1409,1557,1435
gene_313,1693,1937,1750,1218,1431,1292
gene_3130,1786,1888,1785,1609,1832,1483
gene_3131,902,950,867,196,331,266
gene_3133,24507,28617,25378,11969,12639,12131
gene_3134,3735,4451,3974,1025,982,912
gene_3135,605,778,894,74,110,89
gene_3136,34755,39684,36806,31453,34138,30314
gene_3137,2423,2262,2420,2726,2574,2590
gene_314,883,929,1027,627,740,653
gene_3141,1394,1718,1721,1524,1880,1577
gene_3142,2786,3117,2868,1765,1923,1950
gene_3143,134,136,118,61,84,67
gene_3144,5691,6357,6294,5239,6345,5680
gene_3146,2459,2741,2576,2220,2322,2358
gene_3147,2556,3065,3153,1737,1749,1727
gene_3148,819,859,723,914,811,849
gene_3149,11,14,12,14,13,18
gene_315,351,391,387,285,425,347
gene_3150,1442,1895,1645,1569,1606,1489
gene_3151,2007,2237,2237,1410,1604,1629
gene_3152,998,1202,988,1053,1216,1196
gene_3153,33,59,28,56,47,42
gene_3154,1032,1256,1128,879,884,884
gene_3155,1569,1832,1778,1160,1489,1361
gene_3157,2971,2988,3067,2770,3025,2760
gene_3158,1116,1243,1033,1128,1071,1017
gene_3159,1571,2010,1853,1622,1538,1555
gene_316,2891,3699,3327,2675,3044,2784
gene_3160,268,340,267,266,285,240
gene_3162,671,761,629,600,682,649
gene_3163,227,172,170,161,149,137
gene_3164,1542,1483,1671,317,294,248
gene_3165,2208,2242,2423,732,978,821
gene_3166,16300,20285,17054,13986,15108,13698
gene_3167,1178,1248,1318,1022,1066,980
gene_3168,12051,14121,12672,8252,9068,8490
gene_3169,647,778,622,436,367,437
gene_3170,1221,1363,1251,861,888,859
gene_3171,9892,12104,11175,5606,6663,6244
gene_3172,68,110,83,55,62,41
gene_3173,356,421,364,271,427,366
gene_3174,3033,3628,3304,2625,2907,2616
gene_3175,779,834,772,486,520,504
gene_3176,700,807,786,436,553,564
gene_3177,3927,4421,4254,4231,4713,4364
gene_3178,1521,1952,1378,1538,1641,1643
gene_3179,657,717,683,623,672,613
gene_318,3733,3559,3784,3612,3429,3267
gene_3180,1938,2388,2066,1631,1787,1653
gene_3181,3066,3618,3199,3014,3250,3055
gene_3182,1602,1747,1732,1654,1768,1796
gene_3183,1427,1764,1266,1539,1632,1518
gene_3184,4144,4405,4656,3482,3448,3347
gene_3185,8483,10464,9133,8772,9537,8849
gene_3186,908,859,835,927,831,886
gene_3187,403,425,414,490,494,378
gene_3188,1364,1501,1405,1193,1344,1220
gene_3189,624,810,821,500,599,476
gene_3190,1637,1930,1684,1412,1617,1392
gene_3191,1888,2368,2199,2137,2390,2353
gene_3192,1802,2170,1637,1862,2030,1887
gene_3193,1224,1504,1333,1328,1578,1376
gene_3194,550,673,589,633,718,615
gene_3195,2905,2913,3359,2055,2122,2004
gene_3196,836,849,970,108,168,120
gene_3197,6015,6781,6794,5932,6221,5856
gene_3198,1318,1590,1414,1375,1637,1397
gene_3199,335,453,389,177,277,180
gene_32,12155,14169,13686,9298,10371,9721
gene_3200,798,928,903,698,669,616
gene_3201,1080,1286,1224,1034,1069,958
gene_3202,2591,2580,2525,2176,2270,2056
gene_3203,1584,1881,1723,1507,1628,1542
gene_3205,2280,2744,2420,2189,2373,2094
gene_3206,1854,2082,2094,1932,2075,1692
gene_3207,767,776,734,764,844,748
gene_3208,526,634,524,376,454,394
gene_3209,4940,5500,5609,3830,4401,4083
gene_3210,1355,1572,1586,1344,1317,1262
gene_3211,1724,2042,1934,1306,1505,1385
gene_3212,4222,4720,4460,3162,3656,3568
gene_3213,1461,1899,1528,2048,2024,1823
gene_3214,235,219,241,139,187,193
gene_3215,20,36,31,52,38,32
gene_3216,20231,20738,22637,12277,13200,12230
gene_3217,8668,9617,8816,8154,8593,8622
gene_3218,1958,2212,2289,1543,1792,1634
gene_3219,2119,2885,2407,2524,2947,2493
gene_322,384,447,348,339,307,355
gene_3220,5314,5842,5257,4743,4793,4773
gene_3221,3615,4218,3907,3229,3643,3058
gene_3222,4637,5042,4694,2807,2997,2854
gene_3223,791,914,806,654,749,646
gene_3224,4124,4150,4269,2807,2733,2505
gene_3225,2709,2806,2837,911,894,948
gene_3226,14055,15402,16192,9578,11229,10497
gene_3227,299,328,346,223,202,200
gene_3228,1647,1986,2073,1767,2028,1812
gene_3229,45,78,100,84,31,66
gene_323,5474,6607,5779,5217,5705,5402
gene_3230,3243,3051,3660,2448,2195,2134
gene_3231,2482,2786,2573,2205,2440,2329
gene_3232,11210,11588,11863,6246,6751,6180
gene_3233,21047,24457,22552,17257,18126,16182
gene_3234,4121,4805,4441,3007,3127,2853
gene_3235,7294,8635,7753,6966,8131,7199
gene_3236,441,499,447,412,409,350
gene_3237,3764,4221,4360,3303,3521,3218
gene_3238,5964,6419,6470,4244,4554,3980
gene_324,10142,11884,11481,3446,3885,3848
gene_3240,5743,6814,6796,4833,5522,4593
gene_3241,2706,3420,3043,2254,2372,2056
gene_3242,1297,1566,1521,1199,1177,991
gene_3243,1564,1812,1698,1435,1609,1265
gene_3244,713,695,696,178,238,222
gene_3245,2489,2901,2486,2074,2240,1947
gene_3246,2513,2917,2468,1822,2262,2142
gene_3247,600,533,583,450,409,459
gene_3248,133,136,129,75,128,139
gene_3249,1640,1696,1581,1346,1469,1218
gene_325,8841,9438,9643,5728,6276,6119
gene_3251,4442,5359,5219,3878,4567,4017
gene_3252,3850,4342,4096,3866,4244,3834
