Gene,ATSwo1,ATSwo2,ATSwo3,ATSAc1,ATSAc2,ATSAc3
gene_3672,4423,4574,4858,2518,2990,2708
gene_3673,2574,2551,2538,2390,2681,2334
gene_3674,794,892,926,839,1060,921
gene_3675,836,1135,1008,845,921,876
gene_3676,1363,1487,1434,1127,1166,1120
gene_3677,1609,1732,1663,1313,1424,1283
gene_3678,737,812,902,682,894,689
gene_3679,942,1064,992,756,819,716
gene_368,339,344,412,230,364,297
gene_3680,1322,1306,1254,1143,1239,1112
gene_3681,7200,7841,7672,6450,6960,7010
gene_3682,12582,14235,13361,11046,11061,9764
gene_3683,21669,23064,23563,13756,15641,14604
gene_3684,2050,2028,2146,1958,2122,1923
gene_3685,2313,2585,2614,2521,2849,2358
gene_3686,668,744,675,807,776,777
gene_3687,1363,1590,1529,1258,1343,1281
gene_3688,341,422,373,248,285,270
gene_3689,735,789,869,670,767,742
gene_369,1981,2009,2006,813,850,888
gene_3691,384,515,349,384,478,391
gene_3692,52,91,67,66,69,78
gene_3693,63,58,62,66,90,97
gene_3694,2375,2881,2453,1005,1140,1107
gene_3695,17260,19598,17909,7792,8117,7695
gene_3696,32,139,53,40,64,37
gene_3697,1029,1196,1215,900,1044,929
gene_3698,102,155,127,94,182,98
gene_3699,158,239,306,137,138,195
gene_370,9187,11018,9504,6216,7100,6463
gene_3700,1010,1187,1046,1147,965,900
gene_3701,1001,1280,1084,855,1015,990
gene_3702,482,554,437,230,299,265
gene_3705,514,587,483,310,320,291
gene_3706,242,324,265,101,120,127
gene_3708,94,116,111,70,49,69
gene_3709,707,761,526,315,420,313
gene_371,1458,1863,1529,737,961,862
gene_3710,769,802,755,560,668,525
gene_3711,292,388,315,287,271,262
gene_3712,61,52,61,22,51,49
gene_3713,1292,1593,1347,1332,1579,1398
gene_3714,585,768,695,470,699,585
gene_3715,2787,3164,3150,2922,3305,3248
gene_3716,8726,10095,10081,2466,3037,2695
gene_3717,315,262,337,132,184,154
gene_3718,251,346,326,171,161,147
gene_3719,282,448,251,167,137,137
gene_372,19891,21566,20864,13721,14592,14490
gene_3720,1275,1587,1365,1460,1684,1303
gene_3721,69,76,92,145,136,93
gene_3722,159,184,176,128,127,128
gene_3723,155,185,120,272,267,168
gene_3724,2203,2639,2210,2597,3019,2625
gene_3725,35,48,47,47,86,58
gene_3726,1673,1958,1723,1493,1630,1430
gene_3727,1203,1411,1373,1112,1332,1201
gene_3728,120,99,125,101,102,81
gene_3729,500,591,549,474,460,503
gene_373,54,35,49,29,44,48
gene_3730,625,730,837,674,698,671
gene_3731,1105,1311,1350,923,944,898
gene_3732,1367,1355,1536,1271,1406,1184
gene_3733,499,689,506,337,319,318
gene_3736,713,681,663,40,53,51
gene_3737,2867,3397,3094,3504,3569,3191
gene_3738,1263,1258,1260,1104,1320,1366
gene_3739,1423,1489,1418,1281,1327,1107
gene_374,7255,8876,7421,8622,9194,8806
gene_3740,1819,1882,1762,2230,2401,2123
gene_3741,1470,1618,1717,436,408,368
gene_3742,4920,5667,5024,4080,4597,4493
gene_3743,3200,3538,3521,3305,3239,3040
gene_3744,28,71,42,59,77,60
gene_3746,234,370,300,319,338,358
gene_3747,1033,1061,947,1017,1012,1045
gene_3748,1551,1791,1615,1712,1676,1783
gene_3749,1027,1301,1124,1002,1164,1119
gene_375,2533,3056,2620,3097,3449,3232
gene_3750,3507,4335,3462,3745,3846,3550
gene_3752,3007,3555,3026,2455,2706,2391
gene_3753,466,500,442,224,243,266
gene_3754,2379,2915,2295,2387,2573,2208
gene_3755,3865,4025,3678,3260,3674,2975
gene_3756,2052,2358,2304,2394,2634,2415
gene_3757,5548,6685,6170,4951,5589,5190
gene_3758,238,266,235,130,162,159
gene_3759,1739,2184,1921,1745,1813,1696
gene_376,2348,2979,2621,2532,2779,2657
gene_3760,1289,1911,1468,1495,1545,1615
gene_3761,2229,2764,2488,2136,2272,2099
gene_3763,996,1017,1106,1040,973,982
gene_3764,908,896,992,744,767,637
gene_3765,1858,1952,2110,1826,1947,1677
gene_3766,779,959,777,546,643,560
gene_3769,741,1042,849,772,842,725
gene_377,686,851,736,555,769,576
gene_3770,307,397,368,256,248,221
gene_3771,953,1091,1210,746,894,827
gene_3772,3520,4516,4417,6471,7376,6785
gene_3773,6331,6978,6500,4820,5569,4923
gene_3774,6851,8223,7603,5076,5794,5491
gene_3775,4912,5554,5131,4098,4606,4095
gene_3778,4591,5488,4733,3017,3201,3115
gene_3779,22118,26419,24430,16766,17420,15789
gene_378,1987,2247,2148,2194,1906,1914
gene_3780,1052,1224,1050,764,942,881
gene_3781,364,319,294,155,150,188
gene_3783,53,76,87,74,67,53
gene_3784,1061,1442,1471,1082,1079,1061
gene_3785,282,368,370,214,271,305
gene_3786,12009,13067,12525,10113,11593,10192
gene_3787,3209,3320,3548,2100,2056,2268
gene_3788,574,561,594,628,467,473
gene_3789,331,367,422,270,314,296
gene_379,169,207,229,442,406,416
gene_3790,1144,1069,1217,844,931,842
gene_3791,1342,1615,1360,1189,1330,1142
gene_3792,558,517,543,310,394,400
gene_3794,1648,2074,1840,2073,2253,1847
gene_3795,1115,1239,993,952,999,873
gene_3796,1162,1225,1300,944,1197,1172
gene_3797,1580,1666,1623,1373,1555,1454
gene_3799,2745,3107,2813,1694,1799,1657
gene_38,737,918,871,1028,1057,938
gene_380,185,197,194,32,64,27
gene_3800,3115,3582,3243,2792,2822,2615
gene_3801,1925,2105,2229,2129,2068,1958
gene_3802,694,981,953,433,544,512
gene_3803,11116,12202,12172,8780,9822,8584
gene_3804,4474,4657,4649,3729,3862,3655
gene_3805,1473,1834,1520,1338,1473,1525
gene_3806,2052,2313,2263,2335,2617,2159
gene_3808,1030,1033,1102,274,258,251
gene_3809,4137,5029,4186,3604,4274,3941
gene_381,1882,2326,2104,1917,2225,1873
gene_3810,1694,1869,1760,1485,1597,1623
gene_3814,1750,2096,1887,1691,1845,1721
gene_3815,1094,1050,1132,973,986,1107
gene_3816,1731,1613,1754,2684,2878,2633
gene_3817,1106,1330,1271,1242,1484,1287
gene_3818,5363,5697,5532,4837,4861,4496
gene_3819,634,771,691,581,543,558
gene_382,1987,2392,2221,2007,2465,2261
gene_3820,1087,1136,1091,1112,1231,1075
