log2FoldChange,padj,Gene_id
-1.02437052731185,3.14351636491501e-47,gene_2437
-1.55815225961355,2.66130559774924e-196,gene_2444
-1.10453527492002,2.46946241684465e-96,gene_2473
-1.62968843325628,4.07741717745148e-95,gene_2477
-1.2219104770395,5.34738856944588e-79,gene_2495
-1.22528016801637,7.80896675645699e-94,gene_2528
-1.25021050969902,4.35318470889763e-117,gene_2529
-1.46217446047284,9.62852267359614e-26,gene_2531
-1.08849037093455,8.66386406245284e-48,gene_2549
-1.14988796707048,1.63881311463574e-14,gene_2554
-1.18970636752611,6.3088733507439e-97,gene_2561
-1.14991182635259,1.39562479412856e-31,gene_2573
-1.16350280108268,9.58659323644521e-52,gene_2578
-1.72576027566294,5.52789095474028e-92,gene_2608
-1.04008783006685,2.54871154195973e-67,gene_2628
-1.04898444416848,8.75149257119279e-47,gene_2648
-1.23436489358635,3.5780992695468e-14,gene_2664
-1.16769316957416,9.33615517089087e-108,gene_2681
-1.11875456235152,4.00545187159134e-39,gene_2687
-1.18752468473445,1.70788345833962e-46,gene_2688
-1.63789743886712,3.11871263595207e-76,gene_2697
-1.12448480981971,4.87261101500288e-43,gene_2734
-1.05862392682167,3.91138080544778e-54,gene_2738
-1.12857476207219,2.07813908863732e-54,gene_2776
-1.29027188517191,5.5972483142222e-120,gene_279
-1.17055430513067,4.58637416090885e-32,gene_2802
-1.54954816487399,4.10209970262702e-09,gene_283
-1.54015544075264,1.29053416164461e-232,gene_2846
-1.25606588635837,1.62362971269528e-133,gene_2848
-1.02150742417424,4.84076841512593e-53,gene_2861
-1.18667354965657,1.89130326500127e-114,gene_2863
-1.60493508762972,4.38245817852962e-140,gene_2873
-1.36570053040617,1.44126759692664e-76,gene_2874
-1.35454452983798,2.69172395342898e-78,gene_2887
-1.63359741417937,2.66780982204948e-81,gene_2912
-1.03935346058994,5.28545252234507e-52,gene_2917
-1.00055297978578,6.65043170763724e-13,gene_295
-1.48965773476113,0.00129827714742,gene_2972
-1.58685800431192,1.82046641783656e-158,gene_2979
-1.122515193298,6.44170526102374e-42,gene_2984
-1.07372796296158,8.36218428003982e-37,gene_2995
-2.77306345466072,5.04926343918651e-34,gene_3008
-2.13919211691956,0.0,gene_3018
-1.02036357629532,2.96736527266672e-13,gene_3027
