log2FoldChange,padj,Gene_id
-2.119198810005,3.52042118959952e-23,gene_962
-2.10904520137515,4.81239037720705e-10,gene_1338
-2.09378097023636,2.2961475440996e-26,gene_162
-2.09333649777328,1.03561907827626e-268,gene_7030
-2.09070703140195,7.15044802225712e-151,gene_904
-2.08876764815409,2.29559021989738e-84,gene_3566
-2.08793914807141,9.73910322882563e-122,gene_3196
-2.08244046679901,1.17610811364312e-124,gene_928
-2.07469289124462,0.0,gene_2795
-2.0687457445592,1.49564103114206e-189,gene_5561
-2.06754914340419,7.33151486325305e-223,gene_4301
-2.06597959970219,2.89332042429129e-134,gene_5903
-2.05775305912913,1.84379795648746e-108,gene_7216
-2.05442987730858,1.8900512724935e-86,gene_404
-2.05240949066557,1.34599316051685e-226,gene_1224
-2.05035173194986,2.12547878171263e-161,gene_3164
-2.04726206070085,7.40108455122797e-181,gene_5557
-2.03441976920977,1.00538167882917e-18,gene_2230
-2.03184034694649,2.63011952468488e-87,gene_5911
-2.02884636533984,1.90948045919313e-62,gene_517
-2.02718980005309,2.46161671268375e-10,gene_4431
-2.02639462779127,1.26473490317195e-173,gene_2104
-2.02517830235988,9.30776283141369e-42,gene_2016
-2.02340825310408,2.39514965702764e-185,gene_3134
-2.02197503103496,1.14027769857942e-128,gene_2522
-1.99032200066187,2.70377071455275e-125,gene_6621
-1.97993642688454,1.48859222019899e-154,gene_2664
-1.97780200000175,2.38286317331652e-154,gene_1715
-1.97489937981907,5.38506934594468e-102,gene_657
-1.97383843553719,1.29814951958927e-127,gene_6366
-1.97133935862254,6.32543326942494e-243,gene_1916
-1.96942261768441,1.68953850290611e-227,gene_658
-1.96886773271586,1.98160957582241e-192,gene_3520
-1.95954637609304,5.46104358748482e-189,gene_6439
-1.95895784598975,1.15077052702933e-127,gene_1702
-1.95382134581119,1.41203582691976e-103,gene_5270
-1.95199902470852,2.74359392832499e-157,gene_6227
-1.94830189676557,9.1412899620516e-159,gene_4672
-1.94347548669604,3.07561354861542e-66,gene_3639
-1.94008188322755,2.39947952768702e-182,gene_2437
-1.93769056985117,7.43389439826929e-244,gene_3222
-1.93168427514563,2.90879660139887e-96,gene_3555
-1.92750931991408,5.22143775961073e-197,gene_3741
-1.92663876617207,2.42025832740217e-285,gene_6522
-1.91819425198639,6.30551715664336e-174,gene_2642
-1.90394605595902,4.82961668795586e-138,gene_1504
-1.90311525129181,2.9259309663277e-201,gene_516
-1.89760026563414,5.42114164447631e-250,gene_2131
-1.89562761879969,1.36855541018267e-188,gene_22
-1.88943610336139,1.41388441392494e-210,gene_4223
-1.88860131293044,0.000884002890616,gene_5075
-1.8857512320972,3.90620930972811e-71,gene_649
-1.88200736367514,3.64613021862558e-174,gene_7339
-1.87784690259457,2.29664840391891e-51,gene_4319
-1.87523226274847,2.65635327286408e-68,gene_4225
-1.87297317485218,6.67118477565412e-129,gene_4732
-1.86904875147786,2.19048995513679e-179,gene_279
-1.86900633773389,2.3701251318778e-121,gene_3584
-1.86424442710148,9.60818853761277e-87,gene_3199
-1.85577600613959,4.32175149756664e-167,gene_1973
-1.852460087242,7.73264433776825e-91,gene_2715
-1.84792147695534,1.71350557849109e-93,gene_1908
-1.84706706395193,1.49781168036516e-155,gene_7927
-1.8440996933071,2.92784922051962e-89,gene_2984
-1.83659028879714,2.06174086486333e-229,gene_5747
-1.83398320681042,7.05985246408087e-51,gene_3567
-1.83307403325655,1.02175154928393e-47,gene_2739
-1.83188908472426,4.33554067653364e-127,gene_2688
-1.82736255383128,3.93721334324186e-81,gene_3368
-1.82293562124824,1.79908967691636e-85,gene_3608
-1.81425451222207,4.82017053739523e-82,gene_3135
-1.80985541519907,4.48752764691772e-182,gene_4926
-1.80867275860189,3.94314398704714e-140,gene_3977
-1.80348529352401,1.05237558156836e-140,gene_5881
