Reaction	Par_wo	Par_Ac	ATS_wo	ATS_Ac
r_0689	0.280636845751028	0.475177478413284	0.276622407018267	1.12244174622752
r_0690	0	0	0	0
r_0691	0	0	0	0
r_0692	0.0251752641059075	0.0354493942611919	0.0247729842153555	0.0792475459788408
r_0693	0.0251752641060763	0.035449394261176	0.0247729842158336	0.0792475459787485
r_0694	0	0	0	0
r_0696	0	0	0	0
r_0697	1000	1000	1000	1000
r_0698	0.00518404775711649	0.00842353090972658	0.00516977414743653	0.013950742657042
r_0699	-1.63836E-14	-9.31546506599545E-16	-2.50927750800045E-15	1.514067E-14
r_0700	0	0	0	0
r_0701	0.000251820723071494	0.000379578249407575	0.000233064019961656	0.000468105
r_0711	0.000222779636393311	0.000335779836553342	0.000206179745689396	0.000414094999999998
r_0712	0	0	0	0
r_0713	0	1.59070532700093	0	1.11846647424352
r_0714	0	0	0	0
r_0715	-0.0927075789027185	0	0	0
r_0717	0.094923643660766	0.172154511523265	0.0935528703055871	0.448615775805563
r_0718	2.80330027749458	4.16179985689255	3.46111084579117	10.2425300596089
r_0719	0.164854835504685	0.214664545611804	0.191505692727354	0.378598935192708
r_0722	4.53125168994721E-05	0.000122486842909089	4.13390925943641E-05	6.35002500413817E-05
r_0723	0	-0.000122486842909089	0	-3.381735E-14
r_0724	0.0556358750277681	0.0718048590277363	0.0547089091184082	0.126199788063644
r_0725	-0.0216747629866567	0.0400750597225397	-0.021204584696223	0.0928505398169435
r_0726	0.0311526419466944	0.052746414335145	0.0307072449674591	0.194125863032158
r_0727	0.0311526419466944	0.052746414335145	0.0307072449674591	0.194125863032158
r_0729	0.000173866187783329	0.000262070897505666	0.000160917183274865	0.000323179999999999
r_0730	0	0	0	0
r_0731	0.561273691499146	0.950354956839362	0.553244814041171	2.56244741882586
r_0732	-0.52849528643073	-0.903115554217386	0.0260316126860971	0.0928505398167943
r_0733	0.0556358750277681	0	0.0547089091184126	0
r_0734	0	0	0	0
r_0735	0.0158301492029866	0.0257483838724713	0.0157833592204007	0.0422598378299387
r_0736	0.0158301492022323	0.0257483838724811	0.0157833592202625	0.0422595650987533
r_0737	0.0158301492027304	0.025748383872302	0.0157833592194872	0.0422595650985492
r_0738	0.0158301492026061	0.0257483838725383	0.0157833592189568	0.0422595650986203
r_0739	0.0128760717781122	0.0219699127479051	0.0126918828457939	0.0384813667053056
