Rxns	ranges	minFlux	maxFlux
r_1695	0	0	0
r_1696	0.857878756295238	-1.65204423821706	-0.794165481921823
r_1697	-1.33226762955019e-15	2.6866	2.6866
r_1698	0	0	0
r_1699	0	0	0
r_1700	0.0705574147048879	0	0.0705574147048879
r_1702	0	0	0
r_1703	2.56245919444059	0.000304019389228799	2.56276321382981
r_1704	-0.0427421547582298	0	-0.0427421547582298
r_1705	0	0	0
r_1706	0	0	0
r_1707	0	0	0
r_1708	0	0	0
r_1709	0	0	0
r_1710	0	0	0
r_1711	0	0	0
r_1712	0	0	0
r_1713	0	0	0
r_1714	0	0	0
r_1715	0	0	0
r_1716	0	0	0
r_1717	0	0	0
r_1718	0.004	-0.636	-0.632
r_1719	0	0	0
r_1720	0	0	0
r_1721	0	0	0
r_1726	0	0	0
r_1727	0.0323532954896564	0	0.0323532954896564
r_1728	0	0	0
r_1729	1.53740278211717	0	1.53740278211717
r_1733	0	0	0
r_1737	0	0	0
r_1738	0	0	0
r_1743	0	0	0
r_1745	0	0	0
r_1746	0	0	0
r_1747	-1.25930357626203e-05	0	-1.25930357626203e-05
r_1748	-3.38173499619954e-14	-0.001238254875	-0.00123825487503382
r_1749	0.0426173372084122	0	0.0426173372084122
r_1750	0	0	0
r_1751	0	0	0
r_1752	0	0	0
r_1753	0.00579639978321314	0	0.00579639978321314
r_1754	0	0.000629718374966615	0.000629718374966615
r_1757	0.00573638567108255	0	0.00573638567108255
r_1758	0	0	0
r_1759	0	0	0
r_1760	0	0	0
r_1761	0.15098204562139	0	0.15098204562139
r_1762	0	0	0
r_1763	0	0	0
r_1764	0	0	0
r_1765	0	0	0
r_1766	-5.55150909336967e-14	5.3625e-08	5.36249444849091e-08
r_1770	0	0	0
r_1774	-0.00870024606194875	0	-0.00870024606194875
r_1775	0	0	0
r_1788	0.00579639978604973	0	0.00579639978604973
r_1790	0	0	0
r_1791	0	0	0
r_1793	0.116406374965209	0	0.116406374965209
r_1794	0.126199788064114	0	0.126199788064114
r_1795	0	0	0
r_1796	0	0	0
r_1798	0.106543343021011	0	0.106543343021011
r_1800	0	0	0
r_1801	0	0	0
r_1802	0	0	0
r_1803	0	0	0
r_1805	0	0	0
r_1806	0	0	0
r_1807	0	0	0
r_1808	0.129413181957029	0	0.129413181957029
r_1809	0	0	0
r_1810	0.213086686040469	0	0.213086686040469
r_1811	-4.28999555879273e-07	4.28999555879273e-07	0
r_1812	0	0	0
r_1813	0	0	0
r_1814	0	0	0
r_1815	0.213086686042107	0	0.213086686042107
r_1816	0	0	0
r_1817	0	0	0
r_1818	0	0	0
r_1819	0	0	0
r_1820	0	0	0
r_1822	0	0	0
r_1823	0	0	0
r_1824	200.027567390431	0	200.027567390431
r_1825	0	2.11818748994119e-05	2.11818748994119e-05
r_1826	0	0	0
r_1827	-6.29651788131014e-06	0	-6.29651788131014e-06
r_1829	-2.56244741882827	0	-2.56244741882827
r_1830	-8.81512503383419e-05	0	-8.81512503383419e-05
r_1831	994.875105162353	0	994.875105162353
r_1832	200.888713976665	-200.029170542287	0.859543434377883
r_1833	0	0	0
r_1835	0	0	0
r_1836	0	0	0
r_1837	0	0	0
r_1838	0.842280572310662	0.00807485249993989	0.850355424810602
r_1839	0	0	0
r_1840	0	0	0
r_1841	0	0	0
r_1842	0	0	0
r_1843	0.0411769215320887	0	0.0411769215320887
