Rxns	ranges	m1000lux	maxFlux
t_0343_EXP_1	0.0701150995401499	0	0.0701150995401499
t_0343_EXP_2	0.0701150995401499	0	0.0701150995401499
t_0343_EXP_3	0.0701091901245924	0	0.0701091901245924
t_0346_EXP_1	0.0701150995481804	0	0.0701150995481804
t_0346_EXP_2	0.0701150995481804	0	0.0701150995481804
t_0346_EXP_3	0.0701150995452693	0	0.0701150995452693
t_0348	0.0108918259593853	0	0.0108918259593853
t_0348_REV	0.0107148288918417	0	0.0107148288918417
t_0349	0.00865775708067944	0	0.00865775708067944
t_0349_REV	0.00945774870094023	0	0.00945774870094023
t_0351	0.00781247262896427	0	0.00781247262896427
t_0351_REV	0.00945776785633222	0	0.00945776785633222
t_0366	0.00354522031431102	0	0.00354522031431102
t_0367	0.0035453123438933	0	0.0035453123438933
t_0369	0.00354394510485619	0	0.00354394510485619
t_0370	0.00354403466006095	0	0.00354403466006095
t_0373	0.0998330896337569	0	0.0998330896337569
t_0376	0.0998330896337495	0	0.0998330896337495
t_0379	0	0	0
t_0382	0	0	0
t_0385_EXP_1	0.0645051101869305	0	0.0645051101869305
t_0385_EXP_2	0.0645051101794277	0	0.0645051101794277
t_0387_EXP_1	0.0627766651295142	0	0.0627766651295142
t_0387_EXP_2	0.0627714122924325	0	0.0627714122924325
t_0388_EXP_1	0.0627748586267562	0	0.0627748586267562
t_0388_EXP_2	0.0627861978936267	0	0.0627861978936267
t_0391	0.0645103659917619	0	0.0645103659917619
t_0393	0.0627766651249078	0	0.0627766651249078
t_0394	0.0627748586425948	0	0.0627748586425948
t_0397	0.0645103659917619	0	0.0645103659917619
t_0399	0.0627766651249078	0	0.0627766651249078
t_0400	0.0627748586425948	0	0.0627748586425948
t_0403	0.000158341977820581	0	0.000158341977820581
t_0406	0.000158341951702241	0	0.000158341951702241
t_0409	0.18697359881816	0	0.18697359881816
t_0412	0.18697359882358	0	0.18697359882358
t_0415	0	0	0
t_0418	0	0	0
t_0421_EXP_1	0.186973598818907	0	0.186973598818907
t_0421_EXP_2	0.186973598812261	0	0.186973598812261
t_0424_EXP_1	0.186973598836589	0	0.186973598836589
t_0424_EXP_2	0.186973598802226	0	0.186973598802226
t_0427	0.0934867994152926	0	0.0934867994152926
t_0430	0.0934867993974118	0	0.0934867993974118
t_0432	0.00354522031431102	0	0.00354522031431102
t_0433	0.0035453123438933	0	0.0035453123438933
t_0435	0.00354394510485619	0	0.00354394510485619
t_0436	0.00354403466006095	0	0.00354403466006095
t_0438	0.00354522031431102	0	0.00354522031431102
t_0439	0.0035453123438933	0	0.0035453123438933
t_0441	0.00354394510485619	0	0.00354394510485619
t_0442	0.00354403466006095	0	0.00354403466006095
t_0445	0.000158317863314947	0	0.000158317863314947
t_0448	0.000158317889440957	0	0.000158317889440957
t_0451_EXP_1	0.186973598840897	0	0.186973598840897
t_0451_EXP_2	0.186973598790525	0	0.186973598790525
t_0454_EXP_1	0.186973598799323	0	0.186973598799323
t_0454_EXP_2	0.186973598800667	0	0.186973598800667
t_0457_EXP_1	0.186973598773715	0	0.186973598773715
t_0457_EXP_2	0.186973598772216	0	0.186973598772216
t_0460_EXP_1	0.186973598812034	0	0.186973598812034
t_0460_EXP_2	0.186973598812034	0	0.186973598812034
t_0463	0.000158317863314947	0	0.000158317863314947
t_0466	0.000158317889440957	0	0.000158317889440957
t_0469	0.000158338180512155	0	0.000158338180512155
t_0472	0.000158338180511734	0	0.000158338180511734
t_0475	0.186973598797815	0	0.186973598797815
t_0478	0.186973598815534	0	0.186973598815534
t_0481	0	0	0
t_0484	0	0	0
t_0487	0.0934867994152926	0	0.0934867994152926
t_0490	0.0934867993974118	0	0.0934867993974118
t_0493	0.186973598806983	0	0.186973598806983
t_0496	0.186973598800781	0	0.186973598800781
t_0499	0.186973598788351	0	0.186973598788351
t_0502	0.186973598831656	0	0.186973598831656
t_0504_EXP_1	0.186973598833529	0	0.186973598833529
t_0504_EXP_2	0.186957840338077	0	0.186957840338077
t_0505_EXP_1	0.186973598798092	0	0.186973598798092
t_0505_EXP_2	0.186957840346659	0	0.186957840346659
t_0507_EXP_1	0.186973598834061	0	0.186973598834061
t_0507_EXP_2	0.186973598805098	0	0.186973598805098
t_0508_EXP_1	0.186973598784733	0	0.186973598784733
t_0508_EXP_2	0.186957840357307	0	0.186957840357307
t_0511_EXP_1	0.186973598786206	0	0.186973598786206
t_0511_EXP_2	0.186973598829059	0	0.186973598829059
t_0514_EXP_1	0.186957840342693	0	0.186957840342693
t_0514_EXP_2	0.186973598820461	0	0.186973598820461
t_0517	0	0	0
t_0520	0	0	0
t_0522	0.0726216070851846	0	0.0726216070851846
t_0523	0.0726109376822061	0	0.0726109376822061
t_0525	0.0706485766372591	0	0.0706485766372591
t_0526	0.070642242712215	0	0.070642242712215
t_0529	0.0036161475631095	0	0.0036161475631095
t_0532	0.00361180650062462	0	0.00361180650062462
t_0535_EXP_1	0.00359398599427635	0	0.00359398599427635
