Gene	ATS_Ac_1	ATS_Ac_2	ATS_Ac_3
gene_371	737	961	862
gene_372	13721	14592	14490
gene_373	29	44	48
gene_374	8622	9194	8806
gene_375	3097	3449	3232
gene_376	2532	2779	2657
gene_377	555	769	576
gene_378	2194	1906	1914
gene_379	442	406	416
gene_380	32	64	27
gene_381	1917	2225	1873
gene_382	2007	2465	2261
gene_383	2744	2684	2763
gene_384	6774	7450	6819
gene_385	2397	2492	2378
gene_386	3364	3997	3599
gene_387	7585	8357	7944
gene_388	4134	4386	4135
gene_389	13570	15038	13808
gene_390	4317	4505	4273
gene_391	2005	2045	1977
gene_392	9825	10582	9907
gene_393	2929	3176	2981
gene_394	3519	4329	4147
gene_395	715	757	677
gene_396	12065	12763	12364
gene_397	3273	3598	3308
gene_398	687	835	811
gene_399	5663	6356	5725
gene_400	770	802	727
gene_401	4576	4919	4339
gene_402	3354	3344	3300
gene_403	5227	5971	5477
gene_404	134	126	140
gene_405	4104	4448	4690
gene_406	240	256	277
gene_407	1876	1991	1902
gene_408	2018	2545	2131
gene_409	68285	77279	73688
gene_410	2547	2845	2681
gene_411	1736	1969	1898
gene_412	8231	8599	8551
gene_413	36	36	67
gene_414	39478	43250	40339
gene_415	1424	1460	1397
gene_416	3339	4105	3901
gene_417	6459	7024	6484
gene_418	1079	1217	1021
gene_419	747	810	753
gene_420	4726	4728	4560
gene_421	652	684	660
gene_422	9368	9605	9316
gene_423	250	315	309
gene_424	503	614	483
gene_425	139	114	107
gene_426	3278	3680	3345
gene_427	696	780	646
gene_428	2971	3169	3327
gene_429	2918	3547	3289
gene_430	1138	1264	1204
gene_431	126	100	137
gene_432	10	0	0
gene_433	11225	11755	10594
gene_434	1910	1803	1697
gene_435	1690	2028	1879
gene_436	1805	1530	1762
gene_437	3903	3971	3998
gene_439	2751	3166	3014
gene_440	137	214	186
gene_441	123	200	166
gene_442	9078	10293	9244
gene_443	1541	1612	1516
gene_444	6247	7689	6754
gene_445	8165	8789	7981
gene_446	4342	4685	4602
gene_448	491	464	418
gene_449	324	302	322
gene_450	9149	10298	9402
gene_451	2704	2497	2433
gene_452	1935	1768	1850
gene_453	1080	1265	1092
gene_454	785	937	933
gene_455	26	38	26
gene_456	388	384	384
gene_457	805	810	884
gene_458	243	280	317
gene_459	1422	1535	1429
gene_460	1001	1188	987
gene_461	1178	1437	1366
gene_462	751	763	829
gene_463	277	263	310
gene_464	1685	1844	1667
gene_465	6533	7323	6270
gene_466	10001	10394	9599
gene_467	415	441	338
gene_468	17449	19938	17316
gene_469	2050	2376	2034
gene_470	1304	1374	1274
gene_471	4550	5553	5134
gene_472	1142	1337	1168
gene_473	1988	2242	1958
gene_474	1742	1776	1871
gene_475	1214	1230	1221
gene_476	2409	2562	2409
gene_477	1528	1383	1216
gene_478	3498	4083	3857
gene_479	33	32	18
gene_480	840	881	855
gene_484	297	358	321
gene_485	57	78	45
gene_486	2015	2127	2047
gene_487	170	167	170
gene_488	1684	1750	1531
gene_489	1046	1093	1031
gene_493	5340	5816	5372
gene_494	551	564	472
gene_495	3102	3186	3041
gene_496	1404	1551	1598
gene_497	560	628	582
gene_498	4975	5507	5114
gene_499	794	767	792
gene_500	4857	5637	4980
gene_501	20	22	11
gene_502	2630	2784	2794
gene_503	133	155	191
gene_505	8	11	0
gene_506	992	1007	958
gene_507	1860	1897	1650
gene_508	2653	2974	2779
gene_509	2116	2274	2161
gene_511	1163	1104	1087
gene_512	33	55	67
gene_513	2250	2450	2289
gene_514	829	753	894
gene_515	2562	2795	2633
gene_516	998	1054	961
gene_517	139	164	104
gene_518	2060	2336	2048
gene_519	3688	3971	3648
gene_520	1814	1926	2034
gene_521	1899	2234	2127
gene_522	4	2	0
gene_524	0	0	0
gene_525	588	765	699
gene_526	954	1052	913
gene_527	354	370	221
gene_528	16982	18791	17045
gene_529	199296	206439	188779
gene_530	1500	1535	1451
gene_531	557	665	570
gene_532	1804	2032	2053
gene_533	493	500	501
gene_534	1729	2016	1677
gene_535	1077	1114	934
gene_538	1998	2320	2149
gene_539	1638	1838	1553
gene_540	1336	1323	1339
gene_541	4	14	12
gene_542	676	676	597
gene_543	21	29	56
gene_544	8	2	5
gene_545	1344	1425	1300
gene_546	623	681	688
gene_547	2444	2364	2166
gene_549	616	613	586
gene_550	0	0	0
gene_551	0	0	0
gene_552	5892	5767	5799
gene_554	2468	2707	2591
gene_555	11	16	20
gene_556	2091	2452	2373
gene_557	1277	1398	1272
gene_558	3000	3538	3083
gene_559	2639	2584	2290
gene_560	3471	4076	3319
gene_561	3677	4118	3391
gene_562	0	0	0
gene_563	1388	1637	1515
gene_564	432	401	393
gene_565	54	43	63
gene_566	922	1043	965
gene_567	214	277	305
gene_568	10406	11242	10530
