Gene	Par_Ac_1	Par_Ac_2	Par_Ac_3
gene_394	4816	5139	3848
gene_395	491	585	459
gene_396	11697	12212	9825
gene_397	3307	3467	2993
gene_398	1035	988	820
gene_399	6426	7191	5533
gene_400	879	997	811
gene_401	5365	5695	4706
gene_402	3394	3284	2617
gene_403	6670	6627	5571
gene_404	334	349	292
gene_405	2833	2957	2313
gene_406	303	326	196
gene_407	2282	2139	1878
gene_408	1341	1403	1140
gene_409	42629	43105	34988
gene_410	1342	1494	1166
gene_411	1256	1394	1190
gene_412	7596	7089	6834
gene_413	35	35	35
gene_414	57247	58845	48678
gene_415	1191	1235	1027
gene_416	9556	9434	8401
gene_417	7302	7906	6094
gene_418	1282	1327	1083
gene_419	696	774	616
gene_420	4207	4272	4016
gene_421	582	613	541
gene_422	16158	16260	15466
gene_423	329	370	284
gene_424	343	397	314
gene_425	105	125	82
gene_426	1845	2170	1592
gene_427	1819	1707	1524
gene_428	3457	3451	2847
gene_429	3030	3401	2936
gene_430	1452	1534	1174
gene_431	141	160	141
gene_432	2	12	0
gene_433	390	454	318
gene_434	508	559	374
gene_435	1188	1236	952
gene_436	2463	2217	2554
gene_437	3571	3657	3053
gene_439	3099	3120	2820
gene_440	186	261	216
gene_441	454	562	449
gene_442	8825	9197	7008
gene_443	2095	2024	1794
gene_444	12120	12113	10772
gene_445	10007	9845	9225
gene_446	4883	4902	4245
gene_448	429	421	340
gene_449	367	369	326
gene_450	12242	11919	10547
gene_451	2429	2490	2227
gene_452	2336	2243	2219
gene_453	918	965	886
gene_454	746	757	529
gene_455	50	30	19
gene_456	519	504	463
gene_457	212	248	215
gene_458	637	578	567
gene_459	1866	1798	1676
gene_460	1094	1229	973
gene_461	2105	2197	1826
gene_462	704	816	731
gene_463	268	259	224
gene_464	1468	1362	1300
gene_465	5786	5707	4837
gene_466	9478	9544	9525
gene_467	349	305	296
gene_468	12151	12635	10491
gene_469	2332	2296	2015
gene_470	1671	1751	1499
gene_471	7876	7764	6605
gene_472	1483	1652	1204
gene_473	1303	1391	1216
gene_474	1626	1749	1513
gene_475	1159	1150	940
gene_476	3183	3306	2806
gene_477	1180	1308	982
gene_478	3714	3947	3044
gene_479	23	30	38
gene_480	904	1001	732
gene_484	308	369	297
gene_485	28	31	37
gene_486	2595	2641	2270
gene_487	153	206	123
gene_488	1999	2126	1712
gene_489	1045	1078	902
gene_493	8128	7614	7513
gene_494	796	744	610
gene_495	3305	3200	3200
gene_496	3212	3322	2697
gene_497	1067	1118	1002
gene_498	5712	5792	5194
gene_499	738	774	673
gene_500	5743	5622	4814
gene_501	85	40	26
gene_502	2142	2313	1890
gene_503	166	149	154
gene_505	3	0	0
gene_506	715	809	587
gene_507	2900	2785	3260
gene_508	2281	2150	1852
gene_509	2730	2787	2269
gene_511	1337	1463	1142
gene_512	103	94	89
gene_513	4738	4451	4462
gene_514	1381	1343	1356
gene_515	3164	3159	2681
gene_516	1948	2029	1826
gene_517	324	259	249
gene_518	2399	2663	1988
gene_519	1040	971	774
gene_520	226	285	144
gene_521	353	230	244
gene_522	6	0	0
gene_524	0	0	0
gene_525	1087	1154	1011
gene_526	889	1052	736
gene_527	514	572	395
gene_528	6225	6067	5323
gene_529	53032	55770	47500
gene_530	951	997	911
gene_531	663	821	619
gene_532	1899	1864	1552
gene_533	714	877	671
gene_534	1754	1606	1527
gene_535	1066	1223	1005
gene_538	2904	2778	2400
gene_539	1419	1666	1163
gene_540	3533	3125	3436
gene_541	19	4	1
gene_542	239	236	243
gene_543	6	20	14
gene_544	1	4	2
gene_545	1031	1249	902
gene_546	1026	1027	897
gene_547	2299	2378	1928
gene_549	762	879	805
gene_550	0	0	0
gene_551	0	0	0
gene_552	5394	4730	4589
gene_554	2545	2639	2213
gene_555	18	15	20
gene_556	2417	2204	2090
gene_557	2338	2473	2038
gene_558	2693	2698	2145
gene_559	2131	2354	1834
gene_560	3665	4181	3286
gene_561	3496	3692	2990
gene_562	0	0	0
gene_563	2541	2643	2252
gene_564	854	989	797
gene_565	153	109	115
gene_566	2150	2440	2060
gene_567	644	665	625
gene_568	10870	11609	9180
gene_569	663	703	595
gene_570	1428	1469	1209
gene_571	2214	2396	1861
gene_572	843	810	702
gene_573	585	586	642
gene_574	1954	2010	1810
gene_575	4691	4609	3957
gene_576	2667	2548	2141
gene_577	889	922	789
gene_578	1015	1020	887
gene_579	1930	2056	2035
gene_580	7180	7300	6091
gene_581	1533	1488	1420
gene_582	1373	1424	1064
gene_583	1655	1744	1623
gene_584	4570	4686	3951
gene_585	1077	1193	999
gene_586	970	1116	907
gene_587	4218	4161	4033
gene_588	1231	1196	1205
gene_589	5968	5911	5698
gene_590	4637	4203	4297
gene_591	46674	47442	43544
gene_592	2343	2293	1836
gene_593	3992	3535	3688
gene_594	12357	12264	10524
gene_595	1557	1867	1428
gene_596	1896	1795	1743
gene_597	3288	3529	2496
gene_598	16687	17114	14156
gene_599	652	747	671
gene_601	2001	2248	1843
gene_602	3188	3224	2594
gene_603	223	186	149
gene_604	1606	1381	1467
gene_605	979	1084	853
gene_606	898	982	873
gene_607	6260	5887	5162
gene_608	0	0	0
gene_609	407	417	304
gene_610	746	746	688
gene_611	1738	1758	1553
gene_612	2788	2834	2454
gene_613	926	1060	781
gene_614	239	270	222
gene_615	21	35	34
gene_616	60	30	61
gene_617	698	683	565
gene_618	357	405	328
gene_619	1788	1947	1568
gene_620	1197	1256	1128
gene_621	2498	2723	1979
gene_622	39	71	51
gene_623	19376	20930	16665
gene_624	932	945	747
gene_625	2576	2529	2346
gene_626	286	311	302
gene_627	1020	986	970
gene_628	988	1080	800
gene_629	1438	1482	1221
gene_630	672	778	563
gene_631	2027	2029	1911
gene_632	2319	2525	2147
gene_633	3585	4045	3101
gene_634	42	63	44
gene_635	1489	1456	1318
gene_636	2141	2451	2033
gene_637	1785	1666	1606
gene_638	2054	1659	1958
gene_639	3966	3940	3355
gene_640	780	988	767
gene_641	1274	1179	1032
gene_642	28958	32775	25597
gene_643	5549	5488	4941
gene_644	531	555	485
gene_645	357	267	354
gene_646	1326	1317	1335
gene_647	1704	1677	1488
gene_648	710	713	619
gene_649	660	785	804
gene_650	3019	3368	2405
gene_651	0	0	0
gene_652	1480	1422	1289
gene_653	18876	18234	16064
gene_654	959	970	870
gene_655	3036	3002	2706
gene_656	196	212	193
gene_657	427	490	402
gene_658	11151	10174	10455
gene_659	1863	1557	1737
gene_660	1117	1090	933
gene_661	692	732	563
gene_662	3412	3705	2877
gene_663	1150	1204	899
gene_664	3898	3723	3254
gene_665	849	720	632
gene_666	1080	1136	1061
gene_667	1212	1129	1106
gene_668	512	648	522
gene_669	1923	2014	1791
gene_670	632	670	585
gene_671	1054	1020	789
gene_672	784	882	736
gene_673	766	790	682
gene_674	1011	975	903
gene_675	2043	1840	1618
gene_676	5771	6283	4740
gene_677	1581	1614	1358
gene_678	430	412	365
gene_679	3526	3512	3318
gene_680	1113	1342	1211
gene_682	426	536	357
gene_683	6209	6537	5657
gene_684	1898	1976	1607
gene_685	2153	2187	1833
gene_686	384	422	325
gene_687	2410	2442	2081
gene_688	22	19	18
gene_689	1464	1743	1563
gene_690	4631	4894	4088
gene_691	2005	1842	1577
gene_692	29	13	14
gene_693	2020	1702	1901
gene_695	3365	3551	2881
gene_696	777	744	754
gene_697	0	2	10
gene_698	3836	4002	3545
gene_699	2331	2468	2018
gene_700	2476	2633	2003
gene_701	1087	1044	912
gene_702	1716	1540	1342
gene_703	4	1	1
gene_704	421	488	376
gene_705	809	862	757
gene_706	1696	1841	1518
gene_707	4018	3691	3657
gene_708	2097	2081	2164
gene_709	1732	1930	1706
gene_710	2725	2492	2320
gene_711	3327	3318	2814
gene_712	1739	1776	1826
gene_713	560	570	469
gene_714	902	936	943
gene_715	141	135	102
gene_716	14461	14082	12926
gene_718	84	115	69
gene_720	827	830	656
gene_721	598	654	561
gene_722	812	792	684
gene_723	383	420	399
gene_724	34013	30097	33389
gene_725	7931	8421	6870
gene_726	871	945	857
gene_727	1267	1210	1076
gene_728	1693	1736	1440
gene_729	0	0	0
gene_730	0	0	1
gene_732	2	7	5
gene_734	2335	2540	2205
gene_735	33	22	19
gene_736	15	8	3
gene_737	106	139	94
gene_738	702	739	573
gene_739	993	951	1036
gene_740	1438	1315	1128
gene_741	2828	2948	2304
gene_742	4303	4512	3818
gene_744	5640	5666	4805
gene_745	1875	1998	1738
gene_746	1856	2117	1523
gene_748	2448	2414	2059
gene_749	3186	3166	2822
gene_750	2866	2950	2472
gene_751	18608	18796	16312
gene_752	74	112	74
gene_753	7380	7792	6819
gene_755	0	0	0
gene_756	0	0	0
