Gene	ATS_wo_1	ATS_wo_2	ATS_wo_3
gene_484	359	463	484
gene_485	66	126	87
gene_486	2071	2362	2311
gene_487	260	333	236
gene_488	1481	1774	1594
gene_489	1027	1271	964
gene_493	6523	6959	7272
gene_494	871	1032	889
gene_495	3961	4049	3876
gene_496	2019	2348	2072
gene_497	524	603	539
gene_498	7220	8096	8441
gene_499	830	1036	984
gene_500	5089	5508	5389
gene_501	22	17	23
gene_502	2289	3067	2555
gene_503	92	101	146
gene_505	11	8	2
gene_506	867	1074	919
gene_507	2205	1720	2052
gene_508	1153	1233	1261
gene_509	1664	2107	1900
gene_511	1445	1677	1678
gene_512	95	75	124
gene_513	2956	2850	3202
gene_514	1070	1178	1366
gene_515	2730	2912	2625
gene_516	1794	2084	2095
gene_517	201	255	247
gene_518	1915	2078	2153
gene_519	3433	4316	3656
gene_520	2053	2504	2245
gene_521	2299	2668	2661
gene_522	0	10	0
gene_524	0	0	0
gene_525	970	982	1183
gene_526	1176	1314	1209
gene_527	582	692	633
gene_528	12896	16246	14362
gene_529	122833	149823	132121
gene_530	1529	1734	1598
gene_531	508	532	569
gene_532	2475	3097	2638
gene_533	757	826	913
gene_534	2452	2297	2670
gene_535	1508	1594	1481
gene_538	1861	2319	1968
gene_539	1468	1773	1330
gene_540	3536	3131	4409
gene_541	13	29	9
gene_542	1306	1442	1335
gene_543	66	62	81
gene_544	0	7	4
gene_545	1132	1425	1123
gene_546	683	703	748
gene_547	1860	2312	1877
gene_549	566	701	716
gene_550	0	0	0
gene_551	0	0	0
gene_552	5834	5637	5571
gene_554	2708	3240	2862
gene_555	23	14	33
gene_556	2323	2588	2243
gene_557	2314	2850	2724
gene_558	3521	4003	4222
gene_559	2447	2785	2522
gene_560	5180	5794	5285
gene_561	2728	3560	3001
gene_562	0	0	0
gene_563	1609	1594	1667
gene_564	515	673	556
gene_565	105	83	124
gene_566	1477	1459	1550
gene_567	494	442	447
gene_568	10138	12385	11081
gene_569	277	353	302
gene_570	1038	1330	1228
gene_571	2085	2682	2371
gene_572	2431	2437	2807
gene_573	573	654	652
gene_574	2585	2855	2910
gene_575	4515	4876	4457
gene_576	2183	2539	2347
gene_577	927	1150	1119
gene_578	809	853	899
