Gene	Par_wo_1	Par_wo_2	Par_wo_3
gene_690	3644	3380	3981
gene_691	1945	1390	1588
gene_692	12	5	19
gene_693	1390	1248	1269
gene_695	3142	2950	3260
gene_696	541	534	532
gene_697	97	91	135
gene_698	3042	2584	2768
gene_699	2416	1975	2049
gene_700	1813	1597	1631
gene_701	2715	2574	3000
gene_702	947	817	742
gene_703	6	5	8
gene_704	604	550	756
gene_705	715	625	783
gene_706	1611	1517	1613
gene_707	3596	3246	3680
gene_708	2607	2401	2403
gene_709	2133	1833	2243
gene_710	6286	5731	5688
gene_711	4024	3156	3634
gene_712	1523	1397	1386
gene_713	770	615	767
gene_714	3419	3249	2936
gene_715	166	170	132
gene_716	17022	15604	17511
gene_718	94	108	101
gene_720	747	663	640
gene_721	670	591	681
gene_722	531	542	524
gene_723	300	219	292
gene_724	45083	39670	42881
gene_725	12065	11133	12295
gene_726	2289	2095	2519
gene_727	1262	1012	1297
gene_728	1385	1385	1455
gene_729	0	0	0
gene_730	0	0	0
gene_732	14	6	9
gene_734	3715	3026	3194
gene_735	41	16	30
gene_736	5	5	9
gene_737	64	73	74
gene_738	601	642	556
gene_739	4821	4749	4745
gene_740	1173	970	1275
gene_741	2884	2521	2818
gene_742	5294	4763	5090
gene_744	4904	4175	4673
gene_745	1295	1161	1232
gene_746	1340	1172	1314
gene_748	3161	2635	3004
gene_749	2164	1790	1887
gene_750	4277	3902	4313
gene_751	21618	19800	22400
gene_752	85	68	61
gene_753	8521	7725	8546
gene_755	0	0	0
gene_756	0	0	0
gene_757	0	0	0
gene_758	0	0	0
gene_759	3141	2881	2738
gene_760	4478	4027	4161
gene_761	4000	3668	4072
gene_762	43	11	9
gene_763	1875	1605	1800
gene_764	101	47	58
gene_765	165	166	169
gene_766	0	0	0
gene_768	930	751	856
gene_769	1145	1065	1064
gene_770	1931	1506	1769
gene_771	2904	2751	3021
gene_772	4387	4228	4625
gene_773	750	673	832
gene_775	4295	3732	3805
gene_777	4462	3933	4251
