#node	identifier	node_degree
473393	STRG0A79TGQ.473393	3
473472	STRG0A79TGQ.473472	0
475966	STRG0A79TGQ.475966	0
476133	STRG0A79TGQ.476133	43
476343	STRG0A79TGQ.476343	0
476350	STRG0A79TGQ.476350	2
476354	STRG0A79TGQ.476354	2
476438	STRG0A79TGQ.476438	2
476764	STRG0A79TGQ.476764	1
47686	STRG0A79TGQ.47686	0
477246	STRG0A79TGQ.477246	32
477349	STRG0A79TGQ.477349	73
477411	STRG0A79TGQ.477411	0
477510	STRG0A79TGQ.477510	66
477832	STRG0A79TGQ.477832	10
478082	STRG0A79TGQ.478082	0
478188	STRG0A79TGQ.478188	0
478299	STRG0A79TGQ.478299	44
478511	STRG0A79TGQ.478511	4
478687	STRG0A79TGQ.478687	1
478721	STRG0A79TGQ.478721	0
479447	STRG0A79TGQ.479447	49
479717	STRG0A79TGQ.479717	40
479867	STRG0A79TGQ.479867	3
479871	STRG0A79TGQ.479871	6
480067	STRG0A79TGQ.480067	3
480189	STRG0A79TGQ.480189	2
480348	STRG0A79TGQ.480348	0
480527	STRG0A79TGQ.480527	32
480781	STRG0A79TGQ.480781	91
480866	STRG0A79TGQ.480866	17
480884	STRG0A79TGQ.480884	1
481237	STRG0A79TGQ.481237	1
481267	STRG0A79TGQ.481267	0
481394	STRG0A79TGQ.481394	2
481432	STRG0A79TGQ.481432	1
481470	STRG0A79TGQ.481470	2
481551	STRG0A79TGQ.481551	84
481584	STRG0A79TGQ.481584	59
481615	STRG0A79TGQ.481615	75
481971	STRG0A79TGQ.481971	15
482143	STRG0A79TGQ.482143	4
482207	STRG0A79TGQ.482207	1
482331	STRG0A79TGQ.482331	4
482424	STRG0A79TGQ.482424	79
482639	STRG0A79TGQ.482639	5
482656	STRG0A79TGQ.482656	3
482667	STRG0A79TGQ.482667	36
482731	STRG0A79TGQ.482731	3
482766	STRG0A79TGQ.482766	0
482862	STRG0A79TGQ.482862	0
483359	STRG0A79TGQ.483359	0
483635	STRG0A79TGQ.483635	4
483682	STRG0A79TGQ.483682	38
483691	STRG0A79TGQ.483691	0
483803	STRG0A79TGQ.483803	7
484040	STRG0A79TGQ.484040	4
484052	STRG0A79TGQ.484052	63
484239	STRG0A79TGQ.484239	75
484352	STRG0A79TGQ.484352	76
484356	STRG0A79TGQ.484356	0
484425	STRG0A79TGQ.484425	45
484474	STRG0A79TGQ.484474	47
484575	STRG0A79TGQ.484575	85
484822	STRG0A79TGQ.484822	0
484825	STRG0A79TGQ.484825	27
484855	STRG0A79TGQ.484855	1
484901	STRG0A79TGQ.484901	0
485018	STRG0A79TGQ.485018	7
485479	STRG0A79TGQ.485479	23
485668	STRG0A79TGQ.485668	0
485890	STRG0A79TGQ.485890	8
485898	STRG0A79TGQ.485898	80
485973	STRG0A79TGQ.485973	0
486541	STRG0A79TGQ.486541	68
486543	STRG0A79TGQ.486543	5
486663	STRG0A79TGQ.486663	0
486913	STRG0A79TGQ.486913	78
487303	STRG0A79TGQ.487303	59
487323	STRG0A79TGQ.487323	97
487510	STRG0A79TGQ.487510	42
487747	STRG0A79TGQ.487747	101
487952	STRG0A79TGQ.487952	0
488095	STRG0A79TGQ.488095	76
488166	STRG0A79TGQ.488166	0
488169	STRG0A79TGQ.488169	0
488204	STRG0A79TGQ.488204	2
488290	STRG0A79TGQ.488290	5
488377	STRG0A79TGQ.488377	0
488500	STRG0A79TGQ.488500	0
488524	STRG0A79TGQ.488524	6
488685	STRG0A79TGQ.488685	0
488765	STRG0A79TGQ.488765	5
488846	STRG0A79TGQ.488846	19
488884	STRG0A79TGQ.488884	0
488988	STRG0A79TGQ.488988	64
489449	STRG0A79TGQ.489449	4
489899	STRG0A79TGQ.489899	10
490186	STRG0A79TGQ.490186	2
490432	STRG0A79TGQ.490432	16
490577	STRG0A79TGQ.490577	0
490583	STRG0A79TGQ.490583	40
490704	STRG0A79TGQ.490704	0
490857	STRG0A79TGQ.490857	6
491218	STRG0A79TGQ.491218	0
