median,mean,std,rxns
0,0,0,r_0045
0,0.00352746003092187,0.0143365277808848,r_0057_EXP_1
0,0.000570753111238327,0.00593372794218674,r_0057_EXP_2
0,0,0,r_0058
0,0,0,r_0060
0.0091280475,0.00986687908153771,0.0061376552046515,r_0060_REV
0,0.00171037695327318,0.00407895472314293,r_0061_EXP_1
0.0091280475,0.0079001309389441,0.0069963314054903,r_0061_EXP_2
0,0.000256371189320677,0.00200987577275883,r_0061_EXP_3
0,0.00134951347949808,0.0099218912617805,r_0062
0,0.000124489510697121,0.00230302361918302,r_0063
0,0.000582750892521889,0.0058997438341737,r_0064
0.018638602125,0.0194916559963058,0.0063073711599883,r_0065
0,0.000372672450774816,0.00469539997988669,r_0066
0,0.000372672450774816,0.00469539997988669,r_0067
0,0,0,r_0068
0,0,0,r_0069
0,0.000680512592188724,0.0059602169952725,r_0072
0,0.0182432446259525,0.815699528528486,r_0073
0,0.0182432446259525,0.815699528528486,r_0073_REV
0,0,0,r_0075
0.000598744575000865,0.000816704444322995,0.00300879119870751,r_0079
0.00723888745263446,0.00816474301206399,0.0199631946574913,r_0080_EXP_1
0,0.00330340953721274,0.0193102643585893,r_0080_EXP_2
4.29e-07,4.29954476054945e-07,4.46347435305391e-09,r_0081
0,0,0,r_0085
0,0,0,r_0086
0,0.0510881739324496,1.36450100100679,r_0088
0,0.0510881739324496,1.36450100100679,r_0088_REV
0,0.0472942196995371,1.31099213243292,r_0089
0,0.0472942196995371,1.31099213243292,r_0089_REV
0,0.00179371165168951,0.0677755840513504,r_0090_EXP_1
0,0.00402453988799842,0.100802547578305,r_0090_EXP_2
0,0,0,r_0091_EXP_1
0,0,0,r_0091_EXP_2
0,0.0362145086594836,1.14482273818438,r_0092
0,0.0362145086594836,1.14482273818438,r_0092_REV
0,0,0,r_0095
0.0180405225,0.0204162078066033,0.0120358889358753,r_0096
0.0180405225,0.0204162078066033,0.0120358889358753,r_0097
0,0,0,r_0099
0,0,0,r_0099_REV
0,0.00030433554280123,0.00447802729534245,r_0100_EXP_1
0,1.49465832915041e-05,0.00105683018934081,r_0100_EXP_2
0,3.68394825830015e-05,0.00151364781607554,r_0100_EXP_3
0,-1.36384376014931e-15,1.3638437601493e-13,r_0101_EXP_1
0,0,0,r_0101_EXP_2
0,0,0,r_0101_EXP_3
0,0.00259856837319719,0.0119955813583103,r_0102_EXP_1
0,0.000104333310606686,0.00269685373435129,r_0102_EXP_2
0,0.00139531145835633,0.00967661955870408,r_0102_EXP_3
0.003778471125,0.00383079657836126,0.00584889262664247,r_0103_EXP_1
0,3.87803620424728e-05,0.00117767743250361,r_0103_EXP_2
0,0.0010644213941787,0.00317617700457787,r_0103_EXP_3
0,0.0154603244160245,0.296362579485238,r_0104_EXP_1
0,0.00228402954142003,0.0922782089151689,r_0104_EXP_2
0,0.00309972519362332,0.108359248396711,r_0104_EXP_3
0,0.00258223954840426,0.0119610125237518,r_0105_EXP_1
0,0.00010863522017077,0.00273583444053355,r_0105_EXP_2
0,0.00140733837358517,0.00971098994398495,r_0105_EXP_3
0,0.00243166886511103,0.0114643105910786,r_0106_EXP_1
0,9.42967097751925e-05,0.00252395395785335,r_0106_EXP_2
0,0.00135280088088211,0.00928011948862156,r_0106_EXP_3
0,0.00257609044443034,0.0119406729725472,r_0107_EXP_1
