Protein_ID,log2FoldChange,padj,Gene_id
484474,-2.70126414366966,1.4953621268922E-139,gene_2577
484476,-1.16350280108268,9.58659323644521E-52,gene_2578
484491,-1.0517880148569,3.04200537610895E-17,gene_2582
509293,-2.21330957127664,8.73492015684399E-118,gene_2605
484575,-1.72576027566294,5.52789095474028E-92,gene_2608
539074,-1.61543027812236,2.64977690010047E-78,gene_2617
484637,-1.04008783006685,2.54871154195973E-67,gene_2628
545286,-1.04898444416848,8.75149257119279E-47,gene_2648
484724,-1.50028209047551,1.81101644791917E-120,gene_2652
504651,-1.23436489358635,3.5780992695468E-14,gene_2664
484765,-3.29183149626517,5.07169788850126E-210,gene_2666
484814,-2.77397180119901,5.24578020448802E-225,gene_2678
484825,-1.16769316957416,9.33615517089087E-108,gene_2681
471717,-1.11875456235152,4.00545187159134E-39,gene_2687
545315,-1.18752468473445,1.70788345833962E-46,gene_2688
437001,-1.63789743886712,3.11871263595207E-76,gene_2697
534687,-2.16520878258556,1.12504993933028E-106,gene_2713
484931,-2.30186331711561,2.76199520188701E-173,gene_2715
436647,-1.12448480981971,4.87261101500288E-43,gene_2734
484989,-1.05862392682167,3.91138080544778E-54,gene_2738
210209,-1.77733796327755,1.41588612840202E-43,gene_2739
539178,-2.04459101960869,1.33537817750617E-24,gene_2745
485018,-1.70477196607365,1.25228472506282E-76,gene_2747
485129,-1.12857476207219,2.07813908863732E-54,gene_2776
537102,-1.29027188517191,5.5972483142222E-120,gene_279
485175,-2.92501982489221,8.42881011646753E-208,gene_2790
485202,-1.17055430513067,4.58637416090885E-32,gene_2802
485289,-1.50632053006836,1.83830864937429E-103,gene_2815
485315,-2.59282741901636,0,gene_2824
469842,-1.54954816487399,4.10209970262702E-09,gene_283
524239,-1.54015544075264,1.29053416164461E-232,gene_2846
485400,-1.25606588635837,1.62362971269528E-133,gene_2848
545441,-1.02150742417424,4.84076841512593E-53,gene_2861
436192,-1.18667354965657,1.89130326500127E-114,gene_2863
485479,-1.50148226018894,3.46636203502461E-42,gene_2869
485495,-1.60493508762972,4.38245817852962E-140,gene_2873
539293,-1.36570053040617,1.44126759692664E-76,gene_2874
451569,-1.35454452983798,2.69172395342898E-78,gene_2887
485637,-1.63359741417937,2.66780982204948E-81,gene_2912
219661,-1.03935346058994,5.28545252234507E-52,gene_2917
509591,-1.10506416988878,0.013247234017494,gene_2937
476873,-1.00055297978578,6.65043170763724E-13,gene_295
471933,-2.6673276388514,4.45189156073902E-16,gene_2954
509624,-1.48965773476113,0.00129827714742,gene_2972
539380,-1.58685800431192,1.82046641783656E-158,gene_2979
485890,-1.122515193298,6.44170526102374E-42,gene_2984
