Protein_ID,log2FoldChange (1),log2FoldChange (2),padj (1),padj (2),Gene_id
487323,-2.76723940153127,-2.50125198329875,3.23662312255526E-275,4.58907811709633E-151,gene_3365
487413,-2.51027002820666,-2.148568289231,3.24039402016E-121,1.98721108804716E-42,gene_3396
487471,-1.01590101416414,-1.11047028635764,3.78534995886788E-25,9.68885771558774E-21,gene_3418
452245,-2.31546426737157,-1.76348248931574,2.8254805572457E-163,5.27427551694206E-68,gene_3451
247650,-2.41572537478662,-2.40251793295946,3.45519614505589E-102,5.48064827400821E-41,gene_3492
487747,-3.02885369866944,-2.35606797939223,2.45028262585175E-264,8.55758798526509E-97,gene_3505
251548,-2.41389696892518,-1.76398677242692,1.20831896171182E-86,1.56753183125397E-14,gene_3566
251553,-2.32736053313368,-2.03082275049135,3.42280639952708E-57,8.29963846142895E-20,gene_3567
488243,-3.38661656410545,-2.71904817212395,0,0,gene_3663
488415,-1.01998779381264,-1.00634594617907,0.000291458675145,3.08517880948986E-08,gene_3706
488485,-4.20382506090689,-3.59722088718607,1.79710545067478E-79,1.73236418291891E-95,gene_3736
488500,-2.13355330208861,-1.74212281776448,2.89752412366497E-113,4.41079928221E-76,gene_3741
18376,-2.01579809130883,-1.99568529499838,7.80999725595158E-18,1.97287379647961E-13,gene_380
488765,-1.52415895499428,-1.77218982600425,2.49899929224469E-83,1.05005334798256E-59,gene_3808
263082,-1.58703314757553,-1.52163529565079,8.40099218162708E-07,1.80895052401409E-11,gene_3842
438142,-1.45839018660325,-1.26668921698619,3.84922566629085E-39,1.0685433338012E-17,gene_3862
264447,-2.6523934928255,-1.12741777727456,5.48661483010046E-79,7.51002289275599E-71,gene_3876
489236,-1.87851818630576,-1.52051204937669,3.19503138940769E-150,1.64672843077819E-56,gene_3969
546211,-2.37225257609072,-1.10723744541124,0,3.79172408968281E-88,gene_3972
540265,-1.26738537605576,-1.0197996704474,3.504466361757E-32,4.83736935868943E-13,gene_4013
489460,-1.13634665210116,-2.14263965564652,1.08496944762483E-38,5.9905331771493E-93,gene_4029
477349,-2.2192212801013,-1.45991289827314,3.21283694166046E-104,1.18970197211985E-20,gene_404
438635,-3.27332330364965,-2.87845806052417,0,3.30073369889704E-291,gene_4071
490232,-2.48825710685283,-1.49458791668707,0,4.57345747059275E-80,gene_4223
540450,-1.38535131264835,-1.156432680324,1.24671819006207E-31,2.65304034725943E-11,gene_4225
438449,-1.92151797805948,-1.24510427462689,3.0468779028331E-120,1.77781016825895E-44,gene_4301
490583,-2.53933625659528,-2.05093199543297,2.25735281340901E-80,1.81663230240706E-24,gene_4319
490627,-2.08901724369858,-1.15195175035159,2.55138196417307E-241,1.082866364501E-129,gene_4325
505271,-1.02895257875343,-1.20582466873293,2.41466391646746E-11,1.20051290524691E-08,gene_4352
491498,-1.49874125638587,-1.36456847058413,5.18990647547996E-70,1.99014665836585E-36,gene_4577
477510,-1.44549586859975,-1.28137124476103,1.85567240544179E-62,3.23808719171483E-27,gene_458
491608,-2.25083969537737,-1.16658024996136,1.6088289179035E-146,2.40668213710209E-21,gene_4610
546706,-1.59445697340225,-1.04124448707524,6.49235449026218E-55,4.19750531904631E-12,gene_4660
453963,-1.39107099110497,-1.14247649338191,2.58173976452749E-50,6.04628723923458E-17,gene_4670
491829,-1.99437112653238,-1.6490455271093,1.29843341143273E-129,6.76528646857394E-51,gene_4672
546719,-1.15454882723187,-1.10000938125025,4.48995314781146E-27,9.34459817108969E-18,gene_4679
439189,-1.20088589484398,-1.08930726265793,1.06253431496889E-13,2.01952047192642E-19,gene_4788
492304,-2.36837775941398,-1.81245326794088,5.25691279248122E-182,1.13827207305913E-90,gene_4819
492360,-1.338429319648,-1.03583947672485,3.49195147688818E-36,2.24931799951803E-11,gene_4834
492427,-1.23583817419594,-1.22872891588613,9.00935473319165E-13,2.17504223149162E-08,gene_4849
492599,-1.12852065663806,-1.16916503535183,2.52962378995237E-42,1.8660543211137E-17,gene_4894
315141,-1.8667445653555,-2.22831304241735,5.80800235908743E-113,2.60888035409412E-42,gene_4901
315259,-1.24100369201512,-1.26489910032704,1.571821469794E-89,6.09669305209576E-158,gene_4910
511418,-1.54204864647348,-1.05479032762017,1.92896747914547E-66,7.34007442714505E-98,gene_4968
492908,-2.80722563091149,-1.67952364265043,2.12806197776031E-270,1.79643552618523E-131,gene_4978
320532,-1.11270556248024,-1.31515892479977,1.06359672271167E-12,5.19366742537153E-17,gene_4987
493108,-2.05279557993175,-1.83269929374171,2.26465762393805E-96,3.75366813733715E-41,gene_5039
473590,-1.61949773611543,-1.14508087525631,1.82481372958519E-15,6.15396050155023E-35,gene_5076
473614,-2.45739753959112,-1.05681138080772,4.29518049896041E-265,5.3311040051815E-37,gene_5107
465499,-1.30523457655889,-1.48249710008538,2.44045437838004E-70,6.99738549387513E-58,gene_5119
465504,-1.96718826311336,-1.18133817111789,1.44374324217397E-195,2.84964104360712E-146,gene_5121
440490,-2.35333628584128,-1.71918293799663,1.09059276051125E-31,2.16637338801982E-18,gene_5142
493510,-1.40505305528121,-1.43408569327827,1.34615061333898E-151,2.51492557685023E-129,gene_5170
493527,-1.54505888225818,-1.23305625374833,1.29420421989584E-16,2.10978637923565E-15,gene_5174
493623,-2.1360600838363,-1.78832006578127,5.93703822515788E-101,2.3903148588831E-23,gene_5202
493652,-2.29860759768863,-1.57067114216163,3.58451114135695E-88,1.86395613378467E-19,gene_5210
336144,-1.85852103126017,-2.48112037075561,2.96558697508407E-96,2.06898385673376E-162,gene_5292
493994,-2.2839146353172,-2.35074343385754,3.87375492147777E-133,3.944830868467E-42,gene_5301
494268,-2.02406991701228,-1.24967890677067,7.18138368884716E-140,1.65635601617726E-51,gene_5361
494295,-1.64315114947126,-1.53101426746392,1.73947758524657E-74,1.16189253716348E-30,gene_5375
511782,-1.34727285079201,-1.2798743627915,2.82129234343949E-17,1.33797757870272E-35,gene_5378
547225,-2.59773776299345,-2.74205371627413,3.69211109846974E-23,1.02529126609334E-49,gene_5379
494306,-1.00473001031037,-1.43399944292684,1.41912489669304E-08,4.56101343776845E-11,gene_5380
434519,-1.62285501275016,-1.22992652304929,2.68675449132486E-93,2.60215500079547E-12,gene_540
343415,-1.85922696853996,-1.91852043263191,6.31177677738447E-83,3.53545480758567E-31,gene_5420
343552,-1.92387654644386,-1.07831010421215,8.56503801131234E-158,2.66769625558043E-38,gene_5423
440118,-1.2200457698643,-1.22759410610031,5.34177754396367E-92,1.32169769524222E-50,gene_5475
347512,-1.38738469906432,-1.326515447918,1.2677661411323E-117,2.98314198720945E-121,gene_5492
494782,-1.21566837896768,-1.78223593677758,9.27815617543339E-14,9.07087355207647E-25,gene_5503
494802,-1.89886734089699,-1.6091823091379,6.94140022279393E-44,1.98395575312089E-16,gene_5511
541602,-1.63033549030724,-1.33675713764767,3.75436475393042E-145,7.51484611315695E-84,gene_5620
455650,-1.17780363757459,-1.21496479998312,4.76417332166454E-89,2.59193380765427E-205,gene_5621
515432,-1.95365135189413,-1.33769427589804,8.92401197252164E-163,8.821390871702E-51,gene_572
