Protein_ID,log2FoldChange,padj,Gene_id
471269,-1.2897551259732,7.20067053626086E-33,gene_2111
483025,-1.89760026563414,5.42114164447631E-250,gene_2131
522523,-3.85485461573384,2.40539040026876E-34,gene_2144
534468,-1.60442367532594,1.38309287567402E-65,gene_2146
483073,-1.20661867881758,1.7972756136934E-58,gene_2155
471301,-2.55677034345684,0,gene_2156
435637,-1.22469712813795,0.002460479985937,gene_2165
471317,-1.43717944945425,5.57291890749865E-67,gene_2177
483232,-1.58515220405201,7.84270313925816E-110,gene_2192
475895,-1.89562761879969,1.36855541018267E-188,gene_22
483381,-1.07058613300557,2.23555986955415E-51,gene_2226
483389,-1.14286943822742,7.82468555565561E-80,gene_2228
522936,-1.52307748396699,5.05379766391601E-143,gene_2229
429619,-2.03441976920977,1.00538167882917E-18,gene_2230
436660,-1.1358747811429,0.000158046234939,gene_2251
483482,-1.03105456984431,8.67791051820621E-13,gene_2261
538760,-2.70378616107624,0,gene_2263
538803,-1.40700504515947,3.35062257622353E-89,gene_2313
483682,-1.39836386746866,4.00223170199711E-28,gene_2319
483691,-1.33194890346153,5.31032466251694E-74,gene_2323
476614,-1.2094843445062,2.32147008832504E-64,gene_233
538818,-2.1509322437757,3.77744198290751E-91,gene_2332
483718,-1.02607083123458,7.64526012067199E-77,gene_2333
483803,-1.16317466046314,2.43090054326849E-65,gene_2368
193431,-1.05250782962328,1.7404743848412E-91,gene_2379
193714,-1.15336486644816,4.9917663697159E-106,gene_2388
545106,-2.63363109410803,9.74318599390821E-292,gene_2392
509110,-1.13893582805845,1.43384819425744E-43,gene_2412
195606,-1.43842404611475,1.85267958768005E-36,gene_2424
484037,-1.07384954794884,2.13085666217395E-69,gene_2436
484040,-1.94008188322755,2.39947952768702E-182,gene_2437
484052,-1.73976248283751,8.96988177864989E-64,gene_2441
538938,-1.05635964673251,1.0525331858062E-34,gene_2469
523481,-1.37722354314584,0.000985447296868,gene_2471
484156,-1.37179951410081,7.05460689851139E-152,gene_2473
198211,-1.00427347239974,2.16709379323147E-43,gene_2477
198829,-2.26820272964181,7.63189727932724E-235,gene_2495
484239,-2.17286794051862,1.6811566540627E-127,gene_2501
451122,-1.2520500516488,6.86924074138785E-46,gene_2517
436112,-2.02197503103496,1.14027769857942E-128,gene_2522
484304,-1.28656847572696,3.18784087675367E-115,gene_2528
484308,-1.22372053938421,1.36761995873187E-112,gene_2529
484352,-1.76360148032275,7.81834830942391E-225,gene_2536
484377,-1.29315025074501,8.12740076471756E-56,gene_2547
201057,-1.03102699705452,8.33711388817702E-39,gene_2549
