Gene_gattii	Norm_Par_wo_1	Norm_Par_wo_2	Norm_Par_wo_3	Norm_Par_Ac_1	Norm_Par_Ac_2	Norm_Par_Ac_3	Norm_ATS_wo_1	Norm_ATS_wo_2	Norm_ATS_wo_3	Norm_ATS_Ac_1	Norm_ATS_Ac_2	Norm_ATS_Ac_3
CGB_D1110W	0.959720476010979	1	0.984381264748229	0.633368080742694	0.641066446880289	0.698107953098882	0.739033554413763	0.770036135592886	0.743590228812868	0.507846623858251	0.546159527707636	0.524341397494216
CGB_D0510C	0.841298409514604	0.837816739474216	0.844564381390347	0.947269303697063	0.978130922449522	1	0.789073170870782	0.721370355840722	0.694380883568198	0.84727919723615	0.865211062602949	0.822284960632389
CGB_E2660C	0.871447436382704	0.934958598732575	1	0.581612532226658	0.593650087875708	0.583737807344959	0.641079897171821	0.664704666589728	0.68470652154334	0.750716434733655	0.931794377273288	0.75230032595651
CGB_H2490W	0.871439698966715	1	0.941270420446194	0.305772880932673	0.333758704828556	0.361378418221001	0.412239003645284	0.410616791932775	0.43093060695158	0.2101380378054	0.216833309627327	0.257672210998869
CGB_E3390C	0.919467575153565	0.926287370891561	1	0.757633822210012	0.800116400628026	0.756097883217293	0.595326037567507	0.618381772521221	0.640731020969891	0.609258017805808	0.53264891491533	0.542751750881225
CGB_C3530C	0.783499657715338	0.915451265823101	1	0.39680107338828	0.381070030704847	0.247269980287323	0.287005826980602	0.245067882126515	0.255337283940839	0.201803635389852	0.116894637465114	0.15759275652785
CGB_D6180C	0.540469590643224	0.601243248396044	0.526203097291639	0.52334752148503	0.372196942006447	0.541708397942268	1	0.909450538700647	0.90380274567176	0.711996296572626	0.604409535918756	0.614740944148455
CGB_E2340W	0.899007801668987	1	0.954073278191897	0.850649751891797	0.857234142233522	0.802196592120387	0.712456859787799	0.783425265452563	0.778788140758832	0.881362477299744	0.817520438868433	0.797330182244687
CGB_E3300W	0.923902191293084	1	0.92660534072545	0.657623321581487	0.60300527081732	0.687184500063195	0.537450771524388	0.421933910580781	0.533826535665336	0.267273986190594	0.319656029478335	0.276535621985858
CGB_G2530W	0.897838121387443	0.99784729898871	1	0.784839494704207	0.824834878100489	0.797796197176477	0.69999246457796	0.790502586693904	0.769054900863634	0.763600274286134	0.801587985130245	0.732439441041184
CGB_G2520C	0.744876960937594	0.695107534693298	0.686418994451156	0.757543313311401	0.791495283174423	0.751917138696712	0.773817722014941	0.885620348589455	0.76808106627924	0.961249682507898	0.930646679031024	1
CGB_E3360W	1	0.910580772355924	0.923573633492006	0.31771104800182	0.329097702425263	0.295393994456258	0.49564725128827	0.528285626073879	0.52359449519429	0.290770572846293	0.3166850281742	0.295709025839669
