Rxn	Norm_Par_wo_1	Norm_Par_wo_2	Norm_Par_wo_3	Norm_Par_Ac_1	Norm_Par_Ac_2	Norm_Par_Ac_3	Norm_ATS_wo_1	Norm_ATS_wo_2	Norm_ATS_wo_3	Norm_ATS_Ac_1	Norm_ATS_Ac_2	Norm_ATS_Ac_3
r_0025	0.920475676140803	1	0.951914931417335	0.562082254108281	0.5201634755936	0.556076320053385	0.526624773849373	0.524849581700745	0.540680482305317	0.466588547881447	0.507056604373627	0.524992611265236
r_0026	0.885720209404356	0.90932025962891	0.907852664099129	0.878113962780855	1	0.863082780587169	0.80218937786118	0.866075707688806	0.80053153015472	0.829995110988169	0.848786110447806	0.801168765208274
r_0027	0.916298892106588	1	0.961107013423834	0.651869253250197	0.634046284098747	0.704826780043782	0.815182455906572	0.825624986699203	0.819682035408713	0.694663682219634	0.718152787303762	0.72258179393328
r_0028	0.997734995153685	1	0.969978495676347	0.468827358516765	0.461296372620642	0.511162633241804	0.361212729288285	0.322550071549024	0.372976781486541	0.305099195946911	0.320718376442951	0.312171698285089
r_0029	0.885720209404356	0.90932025962891	0.907852664099129	0.878113962780855	1	0.863082780587169	0.80218937786118	0.866075707688806	0.80053153015472	0.829995110988169	0.848786110447806	0.801168765208274
r_0030	0.885720209404356	0.90932025962891	0.907852664099129	0.878113962780855	1	0.863082780587169	0.80218937786118	0.866075707688806	0.80053153015472	0.829995110988169	0.848786110447806	0.801168765208274
r_0032	0.81509566945055	0.732097178999869	0.959056616145501	0.964229963793422	0.878593891472734	0.776531780540028	0.837449937887309	1	0.937122017276073	0.878773116130086	0.808299336536043	0.805479326157372
r_0033	1	0.979450393816322	0.885851290794114	0.34728366967369	0.382928234265499	0.404726289880147	0.473456630739983	0.386601017994621	0.447772994615921	0.418942690063702	0.438671749388473	0.452611929239664
r_0034	1	0.979450393816322	0.885851290794114	0.34728366967369	0.382928234265499	0.404726289880147	0.473456630739983	0.386601017994621	0.447772994615921	0.418942690063702	0.438671749388473	0.452611929239664
r_0035	1	0.979450393816322	0.885851290794114	0.34728366967369	0.382928234265499	0.404726289880147	0.473456630739983	0.386601017994621	0.447772994615921	0.418942690063702	0.438671749388473	0.452611929239664
r_0036	1	0.979450393816322	0.885851290794114	0.34728366967369	0.382928234265499	0.404726289880147	0.473456630739983	0.386601017994621	0.447772994615921	0.418942690063702	0.438671749388473	0.452611929239664
r_0037	1	0.979450393816322	0.885851290794114	0.34728366967369	0.382928234265499	0.404726289880147	0.473456630739983	0.386601017994621	0.447772994615921	0.418942690063702	0.438671749388473	0.452611929239664
r_0038	0.840515567667166	0.887798791647426	1	0.387506162068396	0.4146345219508	0.423963910627174	0.876080640542881	0.900206856913532	0.859336435102504	0.535368865776907	0.554892789128362	0.485362812899288
r_0039	0.808997252986303	0.850079892282716	0.772491919529136	0.883728689070077	0.731984786079537	1	0.639173217212152	0.523732690878595	0.667959793583216	0.5406814910233	0.449314257123431	0.47113106414511
r_0040	0.808997252986303	0.850079892282716	0.772491919529136	0.883728689070077	0.731984786079537	1	0.639173217212152	0.523732690878595	0.667959793583216	0.5406814910233	0.449314257123431	0.47113106414511
r_0041	0.612839823645478	0.527384276001043	0.628692184286621	0.630495912737211	0.745402035430221	0.630171971010343	0.899816247828291	0.915299887322159	0.735955210305712	1	0.8712051924755	0.89028585495555
r_0042	0.942741376739583	0.976214676933708	1	0.696417182939096	0.686650648239815	0.62810485213226	0.470945009771211	0.520902338818128	0.46371733290792	0.346165037485215	0.432729062436401	0.382850058405336
r_0043	0.786353564598952	0.726006976982477	0.673093714556794	0.881642933607889	0.877106476421855	0.816233222782743	1	0.994533700110253	0.918242987372623	0.868670685191776	0.98603726809273	0.960044040046318
r_0045	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
r_0057	1	0.95065674873944	0.918651819357898	0.754120936000739	0.7554664537349	0.734073511024121	0.981442128468181	0.909821742526447	0.988220880822114	0.698194563613493	0.735756990850233	0.740923477093363
r_0058	0.666585602920637	0.691415449716706	0.69314759512695	0.542222793233321	0.637613906505258	0.535160328660043	0.918975910277912	0.925414679816306	1	0.909340459073345	0.900790804550265	0.839659076434859
r_0060	0.95883056489345	1	0.936417545513818	0.348721384662578	0.326666222456264	0.394322805907705	0.677108969651304	0.641756902688722	0.727258157667809	0.406238452650998	0.436805683391705	0.398585068163413
r_0061	0.8888571743259	0.926081426545832	0.950886376055217	0.901789585133787	0.910885638928544	0.886628574143241	0.807912822069956	0.829401060881823	0.822273695031885	1	0.969318433635846	0.971000862772646
r_0062	0.720346567905925	0.738507021215821	0.72096635392003	0.671220627653828	0.647909852960357	0.654472261135309	0.942051899105352	0.977761091703153	0.921961762790161	0.949842573631732	0.998631606627478	1
