Gene,Par_wo_1,Par_wo_2,Par_wo_3,Par_Ac_1,Par_Ac_2,Par_Ac_3,ATS_wo_1,ATS_wo_2,ATS_wo_3,ATS_Ac_1,ATS_Ac_2,ATS_Ac_3,Norm_Par_wo_1,Norm_Par_wo_2,Norm_Par_wo_3,Norm_Par_Ac_1,Norm_Par_Ac_2,Norm_Par_Ac_3,Norm_ATS_wo_1,Norm_ATS_wo_2,Norm_ATS_wo_3,Norm_ATS_Ac_1,Norm_ATS_Ac_2,Norm_ATS_Ac_3
PAPLA_03876,2739.19692548815,2701.85846074128,2711.78782073466,1844.71366693774,1470.41343146628,1639.69164227201,1777.50048518685,1621.56540285555,1543.87693346426,1587.07962885577,1772.44916474614,1621.83244255625,1,0.986368827885488,0.9899937443349,0.673450546681303,0.53680457136328,0.598603052965899,0.648912996596652,0.591985697620689,0.563623929005808,0.579395958752742,0.647068908501448,0.592083185938603
PAPLA_03893,3016.5718068708,2897.78649815882,2824.98053390838,2558.23499094196,2565.48711396358,2550.76139215067,1333.8440298545,1229.31849634906,1180.08983994682,1369.09778537964,1333.56646870288,1418.9692184377,1,0.960622416333195,0.93648708360728,0.848060366113317,0.850464460391829,0.845582852143894,0.442172146148294,0.407521708433746,0.391202303641156,0.453858841437577,0.44208013403342,0.470391328065102
PAPLA_03899,668.962949216973,645.155305529569,653.034883694575,651.07541186038,630.890216352133,597.633687019255,871.023148805849,890.483934558347,834.935743902225,755.956737966484,767.298318932774,842.580057846896,0.751235281463846,0.724499657424529,0.733348304614233,0.731147847359305,0.708480177876578,0.671133598065038,0.978145831724466,1,0.937620221431988,0.848927991431328,0.861664415443195,0.946204670457969
PAPLA_03913,1161.32735803807,1142.01148881492,1156.11360891114,1647.13889572854,1611.16583732966,1640.86117981999,1508.24030387283,1654.11355041672,1607.7614962283,1713.78828663993,1688.8524607379,1596.07203314437,0.677637586329278,0.666366725527083,0.674595349917946,0.961109904046512,0.940119529284756,0.957446840202811,0.880062208168023,0.965179633512253,0.938133087244104,1,0.985449879605071,0.931312254603889
PAPLA_03918,7509.27706552883,8588.35938602617,8065.70640794321,8545.87663240637,7613.60708879386,8442.89155888846,5502.10662314982,5053.30855084423,5691.93708515704,5816.7864340404,5749.26379828098,5732.76444453538,0.87435524388359,1,0.939144025699093,0.995053449476169,0.886503084766306,0.983062210068387,0.640646993895262,0.588390439164236,0.662750221470494,0.677287264376092,0.669425153264477,0.667504023395081
PAPLA_03939,299.449698932131,295.515769143578,385.04871660806,401.291763285014,513.097422792716,491.205770152812,337.293892606885,354.691351628208,293.691531595788,379.052171167853,373.199571465357,378.892688433063,0.583611777471555,0.575944754380421,0.750439779081904,0.782096626213479,1,0.957334315731405,0.657368128592505,0.691274864912931,0.572389410956826,0.738752826129444,0.72734641587963,0.738442002633348
PAPLA_03964,2741.11647484028,2794.95134039823,2823.04561573447,2309.47504584437,2248.04551776108,2391.704285625,2866.03986587271,3018.63204432759,2808.25890483586,3374.96026623389,3183.64114431381,3355.29332589732,0.81219222112475,0.828143480194838,0.836467807926136,0.684296958678423,0.666095402737784,0.708661464715227,0.849206994982171,0.894420024593675,0.832086508671579,1,0.943312185380608,0.994172689814059
PAPLA_03969,10005.6509979727,10252.123991058,10103.1752450703,4000.63319111692,3837.2499868,3867.6606711794,7004.59759930776,6767.5109890662,7248.23601693654,4497.08354915289,4593.83792502424,4577.83942256944,0.975958836110422,1,0.985471425617012,0.390224815326688,0.37428829285979,0.377254574228015,0.683233796764186,0.660108187822239,0.706998473999975,0.438648962212639,0.448086457892143,0.446525951750318
PAPLA_03979,7546.70827789535,7775.42040204512,8087.95796694317,7451.53761467249,8195.58334849844,7039.44650130899,5852.81561375811,6002.21223743546,6235.84315424531,6889.51481646727,6506.61012864135,6376.77467983237,0.920826249577222,0.948733003059471,0.986867880298602,0.909213816492725,1,0.858931719924333,0.714142650361849,0.732371569198325,0.760878498708431,0.840637514561979,0.793916656321171,0.778074532180884
PAPLA_03982,5027.29975322597,5558.51089579587,5651.89598599067,2968.74008552689,3158.44405781353,3224.41501978882,2439.63139368503,2451.12588172246,2445.35909691236,2093.91425999239,2208.34626421767,2144.55408353898,0.889489078653803,0.983477210050172,1,0.525264458667586,0.558829119580819,0.570501479110933,0.431648317614502,0.433682057808221,0.432661730324419,0.370479970824404,0.39072662867319,0.379439764789493
PAPLA_03983,332.082037918325,317.165276040543,305.717071477756,141.271079931969,140.752405863371,111.106067058374,296.09037731684,399.758017482145,248.439966304594,137.44667963027,162.217413730275,233.99038549124,0.830707636609583,0.793393158286585,0.764755322240437,0.353391486233991,0.352094016149802,0.277933305148374,0.740674018701988,1,0.621475881507969,0.343824697990977,0.405789018946994,0.585330062834052
PAPLA_04010,3650.02309307338,3804.90083714167,3952.07037021087,3258.4481697352,3026.67584806909,3177.6335178695,3718.85681024807,4055.16535896814,3656.50393264726,2966.91543608153,3024.40932715525,2862.62549589512,0.900092294633862,0.938285002047327,0.974576871808872,0.803530283303744,0.746375444684516,0.783601465435202,0.917066625168241,1,0.901690463635663,0.731638582757197,0.745816522738503,0.70592078065678
PAPLA_04028,2623.06418968434,3030.93096557516,2742.74651151721,417.6710189293,465.181710158377,464.306406549206,1223.64858198577,1243.50615041419,1235.10154677141,850.451330212294,742.41834750175,794.279290199622,0.865431848985244,1,0.904918832751025,0.137802880921124,0.153478160816541,0.153189370468257,0.403720373668612,0.41027201362807,0.40749906903176,0.280590795327108,0.244947297029864,0.26205786249206
PAPLA_04031,11949.1947170033,12293.6724914418,11232.1999995467,9666.83194056221,9012.14695130864,10211.2323314386,10205.0566939299,10094.9331512819,10399.8744466291,8702.09290409145,9001.57366374441,9161.04559709969,0.971979262122177,1,0.913657005859393,0.786325806815803,0.733071989479337,0.83060878175721,0.830106438985919,0.821148697291998,0.845953432863039,0.707851369080264,0.732211930162515,0.745183801136489
PAPLA_04047,3714.3279963697,3471.4984309284,3332.89655455972,3243.09261756868,3398.02262098522,3105.12218989456,4316.78689259664,4243.77770124573,4035.37488126177,3212.81613635756,3205.53551917311,3339.1930700149,0.860438119551334,0.804185732884354,0.77207808434456,0.751274662905097,0.787164783791594,0.71931329184211,1,0.983087144867836,0.934809843910179,0.744261001595328,0.742574419105714,0.773536695948941
PAPLA_04072,10588.2342263438,11082.3825805566,11713.0271657633,3604.45994522075,3698.49406896306,3384.64166386247,7103.29439174671,7585.38751752654,7249.12330253048,5276.66393518082,5142.192495364,5007.1795794341,0.903970773438721,0.946158702077457,1,0.307730861903611,0.315759027672505,0.288963870395148,0.606443944099212,0.647602657295829,0.618894091163672,0.450495321192825,0.439014818508611,0.427488087287109
PAPLA_04074,1369.59846274407,1362.83645916397,1415.39264421506,896.764246524674,944.338836501769,833.880271711798,1020.50566939299,1191.76294147078,1013.28014828517,618.510058336214,739.432750930028,699.824455689396,0.967645598796802,0.962868123367819,1,0.633579841035557,0.667192132417415,0.589151197810729,0.721005350397971,0.842001649748364,0.71590039161685,0.436988323250206,0.522422349693712,0.494438386796549
PAPLA_04079,4861.25873426681,5182.89195113352,5232.98620133919,6479.01931079299,6416.71251694859,6564.61425682794,6031.0447729197,6008.05421263875,5841.88835053374,7579.96962117245,7393.33231044303,7556.38676081802,0.641329580093341,0.683761572956257,0.690370339575288,0.85475531362233,0.846535387031811,0.866047568118425,0.795655533509491,0.792622465907646,0.770700760358738,1,0.975377564811328,0.996888792233605
