ReactionID,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM,SUBSYSTEM
r_0024,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of secondary metabolites,Pyruvate metabolism,"Valine, leucine and isoleucine biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0025,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of secondary metabolites,Pyruvate metabolism,"Valine, leucine and isoleucine biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0023,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of secondary metabolites,"Valine, leucine and isoleucine biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0060,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids,Biosynthesis of secondary metabolites,"Valine, leucine and isoleucine biosynthesis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_2219,ABC transporters,Peroxisome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_2220,ABC transporters,Peroxisome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_2221,ABC transporters,Peroxisome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_2222,ABC transporters,Peroxisome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_2223,ABC transporters,Peroxisome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_2224,ABC transporters,Peroxisome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_2225,ABC transporters,Peroxisome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_2226,ABC transporters,Peroxisome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_2227,ABC transporters,Peroxisome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_2228,ABC transporters,Peroxisome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0477,"Alanine, aspartate and glutamate metabolism",Amino sugar and nucleotide sugar metabolism,Biosynthesis of antibiotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0207,"Alanine, aspartate and glutamate metabolism",Arginine biosynthesis,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0208,"Alanine, aspartate and glutamate metabolism",Arginine biosynthesis,Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0476,"Alanine, aspartate and glutamate metabolism",Arginine biosynthesis,Biosynthesis of amino acids,Glyoxylate and dicarboxylate metabolism,Nitrogen metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0471,"Alanine, aspartate and glutamate metabolism",Arginine biosynthesis,Nitrogen metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0470,"Alanine, aspartate and glutamate metabolism",Arginine biosynthesis,Nitrogen metabolism,Taurine and hypotaurine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0472,"Alanine, aspartate and glutamate metabolism",Biosynthesis of amino acids,Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Nitrogen metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0156,"Alanine, aspartate and glutamate metabolism",Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Carbon metabolism,"Glycine, serine and threonine metabolism",Glyoxylate and dicarboxylate metabolism,Peroxisome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0151,"Alanine, aspartate and glutamate metabolism",Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Purine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0152,"Alanine, aspartate and glutamate metabolism",Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Purine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0915,"Alanine, aspartate and glutamate metabolism",Biosynthesis of antibiotics,Biosynthesis of secondary metabolites,Purine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0211,"Alanine, aspartate and glutamate metabolism",Biosynthesis of secondary metabolites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0679,"Alanine, aspartate and glutamate metabolism",Biosynthesis of secondary metabolites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_1023,"Alanine, aspartate and glutamate metabolism",Butanoate metabolism,Lysine degradation,Nicotinate and nicotinamide metabolism,Tyrosine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0068,"Alanine, aspartate and glutamate metabolism",Butanoate metabolism,Propanoate metabolism,"Valine, leucine and isoleucine degradation",beta-Alanine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0153,"Alanine, aspartate and glutamate metabolism",Purine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0214,"Alanine, aspartate and glutamate metabolism",Pyrimidine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r_0250,"Alanine, aspartate and glutamate metabolism",Pyrimidine metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
