Rxn	Par_wo_1	Par_wo_2	Par_wo_3	Par_Ac_1	Par_Ac_2	Par_Ac_3	ATS_wo_1	ATS_wo_2	ATS_wo_3	ATS_Ac_1	ATS_Ac_2	ATS_Ac_3
r_0132	2400.39646483737	2331.65189280317	2248.37491808325	4730.53377076543	4739.66257474672	4526.11031069377	3610.57780495098	4210.39498579837	3567.77537325276	4805.26477613638	4684.40102103316	4769.96914276638
r_0133	2400.39646483737	2331.65189280317	2248.37491808325	4730.53377076543	4739.66257474672	4526.11031069377	3610.57780495098	4210.39498579837	3567.77537325276	4805.26477613638	4684.40102103316	4769.96914276638
r_0134	2400.39646483737	2331.65189280317	2248.37491808325	4730.53377076543	4739.66257474672	4526.11031069377	3610.57780495098	4210.39498579837	3567.77537325276	4805.26477613638	4684.40102103316	4769.96914276638
r_0135	2400.39646483737	2331.65189280317	2248.37491808325	4730.53377076543	4739.66257474672	4526.11031069377	3610.57780495098	4210.39498579837	3567.77537325276	4805.26477613638	4684.40102103316	4769.96914276638
r_0137	3651.94264242551	3548.35418041263	3664.73502138526	4673.20637601043	4554.98743230187	4213.84378538234	3919.12505898341	3942.4986943333	3935.11160914598	4708.62257952135	5041.67741078266	4745.28208374666
r_0139	1206.43676781311	1245.92912192036	1338.96337634562	805.654637003331	854.496875312383	812.828595848106	533.729256198963	539.96542236106	683.209907337634	257.712524306756	283.631674313671	338.10537353092
r_0142	4575.24588079958	4844.07716819601	4817.94625303553	5226.00625400509	4564.96987243403	5535.421214603	2984.85930531377	2809.99007278159	3308.68797982083	2733.90036202083	2895.03347571393	2729.53004726708
r_0143	2816.93867424938	2798.19876643278	2711.78782073466	2639.10756568563	2666.30975929833	2898.11404390159	2252.7782429511	2212.43946627383	2285.64769000227	2557.79680374455	2585.52663111199	2314.14344550052
r_0144	10634.3034107949	10483.7737148555	9410.47453881056	6263.01787698397	5723.93117177711	7171.60424423106	3884.62909269407	3269.83697806898	3959.0683201825	2729.60515328239	2744.75844827055	2798.22447236542
r_0145	3713.36822169364	3929.38550179922	4053.65357434114	2056.6202868357	1944.5793377436	2272.41145573075	1127.82645340427	1240.16787886945	1301.64796631728	535.82729012113	655.836046921788	691.237652552103
r_0146	1794.77864424066	1703.81619279118	1779.15726091011	2238.83950587838	2351.86289513548	2397.55197336492	3550.20986394463	3977.55054555303	3763.8654895146	7880.63423286367	7649.09841675396	7568.1936151318
r_0147	7632.12822406509	7955.11130928994	6872.82935372779	5853.53648587681	5113.00583568928	6887.40662007122	5787.65656632269	4507.50115327988	5223.45029155409	5396.92977985731	4683.40582217592	5005.03287864978
