Rxn	mean_Par_wo	mean_Par_Ac	mean_ATS_wo	mean_ATS_Ac	norm_Par_wo	norm_Par_Ac	norm_ATS_wo	norm_ATS_Ac
r_2175	1403.1584896229267	1234.4692090153433	1118.6933723542268	1227.6491634499034	1.0	0.8797788832443899	0.7972680068770102	0.8749183877152835
r_2176	1403.1584896229267	1234.4692090153433	1118.6933723542268	1227.6491634499034	1.0	0.8797788832443899	0.7972680068770102	0.8749183877152835
r_2177	1403.1584896229267	1234.4692090153433	1118.6933723542268	1227.6491634499034	1.0	0.8797788832443899	0.7972680068770102	0.8749183877152835
r_2178	1403.1584896229267	1234.4692090153433	1118.6933723542268	1227.6491634499034	1.0	0.8797788832443899	0.7972680068770102	0.8749183877152835
r_2179	1403.1584896229267	1234.4692090153433	1118.6933723542268	1227.6491634499034	1.0	0.8797788832443899	0.7972680068770102	0.8749183877152835
r_2180	1403.1584896229267	1234.4692090153433	1118.6933723542268	1227.6491634499034	1.0	0.8797788832443899	0.7972680068770102	0.8749183877152835
r_2181	1403.1584896229267	1234.4692090153433	1118.6933723542268	1227.6491634499034	1.0	0.8797788832443899	0.7972680068770102	0.8749183877152835
r_2182	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
r_2183	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
r_2185	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
r_2187	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
r_2188	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
r_2189	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
r_2190	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
r_2191	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
r_2192	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
r_2219	2851.0149821548334	3317.97623124932	3567.731015154863	4204.40633577171	0.678101675829469	0.7891664045455095	0.8485695078518175	1.0
r_2220	2851.0149821548334	3317.97623124932	3567.731015154863	4204.40633577171	0.678101675829469	0.7891664045455095	0.8485695078518175	1.0
r_2221	2851.0149821548334	3317.97623124932	3567.731015154863	4204.40633577171	0.678101675829469	0.7891664045455095	0.8485695078518175	1.0
r_2222	2851.0149821548334	3317.97623124932	3567.731015154863	4204.40633577171	0.678101675829469	0.7891664045455095	0.8485695078518175	1.0
